Agency_ID,Route_ID,Color,Hidden_Shapes
BART,Oakland Airport - Coliseum,#FF0000,
Muni,F,#FF0000,
Muni,J,#FF0000,
Muni,L,#FF0000,
Muni,M,#FF0000,
Muni,N,#FF0000,
Muni,KT,#FF0000,
Muni,PM,#FF0000,
Muni,PH,#FF0000,
Muni,C,#FF0000,
Muni,1,#FF0000,
Muni,5,#FF0000,
Muni,6,#FF0000,
Muni,7,#FF0000,
Muni,8,#FF0000,
Muni,9,#FF0000,
Muni,14,#FF0000,
Muni,19,#FF0000,
Muni,21,#FF0000,
Muni,22,#FF0000,
Muni,24,#FF0000,
Muni,28,#FF0000,
Muni,29,#FF0000,
Muni,30,#FF0000,
Muni,38,#FF0000,
Muni,43,#FF0000,
Muni,44,#FF0000,
Muni,45,#FF0000,
Muni,47,#FF0000,
Muni,49,#FF0000,
AC,1,#FF0000,
AC,6,#FF0000,
AC,40,#FF0000,"400032,400027"
AC,51A,#FF0000,
AC,51B,#FF0000,
AC,57,#FF0000,
AC,72R,#FF0000,
AC,73,#FF0000,
VTA,901,#FF0000,
VTA,900,#FF0000,
VTA,22,#FF0000,
VTA,23,#FF0000,
SamTrans,120,#FF0000,"1200231,1200228,1200236"
