Agency_ID,Route_ID,Color,Hidden_Shapes
BART,Antioch - SFIA/Millbrae,#FF0000,
BART,Warm Springs/South Fremont - Richmond,#FF0000,
BART,Warm Springs/South Fremont - Daly City,#FF0000,
BART,Richmond - Daly City/Millbrae,#FF0000,
BART,Dublin/Pleasanton - Daly City,#FF0000,
BART,Oakland Airport - Coliseum,#FF0000,
Muni,F,#FF0000,
Muni,J,#FF0000,
Muni,L,#FF0000,
Muni,M,#FF0000,
Muni,N,#FF0000,
Muni,KT,#FF0000,
Muni,PM,#FF0000,
Muni,PH,#FF0000,
Muni,C,#FF0000,
Muni,1,#FF0000,
Muni,2,#FF0000,
Muni,3,#FF0000,
Muni,5,#FF0000,
Muni,6,#FF0000,
Muni,7,#FF0000,
Muni,8,#FF0000,
Muni,9,#FF0000,
Muni,10,#FF0000,
Muni,12,#FF0000,
Muni,14,#FF0000,
Muni,18,#FF0000,
Muni,19,#FF0000,
Muni,21,#FF0000,
Muni,22,#FF0000,
Muni,23,#FF0000,
Muni,24,#FF0000,
Muni,25,#FF0000,
Muni,27,#FF0000,
Muni,28,#FF0000,
Muni,29,#FF0000,
Muni,30,#FF0000,
Muni,31,#FF0000,
Muni,33,#FF0000,
Muni,38,#FF0000,
Muni,43,#FF0000,
Muni,44,#FF0000,
Muni,45,#FF0000,
Muni,47,#FF0000,
Muni,48,#FF0000,
Muni,49,#FF0000,
Muni,54,#FF0000,
Muni,55,#FF0000,
AC,1,#FF0000,
AC,6,#FF0000,
AC,10,#FF0000,
AC,12,#FF0000,
AC,14,#FF0000,
AC,18,#FF0000,
AC,33,#FF0000,
AC,40,#FF0000,
AC,45,#FF0000,
AC,51A,#FF0000,
AC,51B,#FF0000,
AC,54,#FF0000,
AC,57,#FF0000,
AC,60,#FF0000,
AC,62,#FF0000,
AC,71,#FF0000,
AC,72R,#FF0000,
AC,72M,#FF0000,
AC,73,#FF0000,
AC,76,#FF0000,
AC,80,#FF0000,
AC,88,#FF0000,
AC,90,#FF0000,
AC,97,#FF0000,
AC,98,#FF0000,
AC,99,#FF0000,
AC,200,#FF0000,
AC,210,#FF0000,
AC,216,#FF0000,
AC,217,#FF0000,
AC,M,#FF0000,
VTA,901,#FF0000,
VTA,902,#FF0000,
VTA,900,#FF0000,
VTA,10,#FF0000,
VTA,22,#FF0000,
VTA,23,#FF0000,
VTA,25,#FF0000,
VTA,26,#FF0000,
VTA,27,#FF0000,
VTA,48,#FF0000,
VTA,55,#FF0000,
VTA,57,#FF0000,
VTA,60,#FF0000,
VTA,62,#FF0000,
VTA,64,#FF0000,
VTA,66,#FF0000,
VTA,68,#FF0000,
VTA,70,#FF0000,
VTA,72,#FF0000,
VTA,73,#FF0000,
VTA,77,#FF0000,
SamTrans,ECR,#FF0000,
SamTrans,120,#FF0000,"1200231,1200228,1200236"
SamTrans,121,#FF0000,
SamTrans,122,#FF0000,
SamTrans,130,#FF0000,
SamTrans,281,#FF0000,
SamTrans,292,#FF0000,
GGT,30,#FF0000,
GGT,40,#FF0000,
GGT,70,#FF0000,
MarinT,17,#FF0000,
MarinT,22,#FF0000,
MarinT,23,#FF0000,
MarinT,35,#FF0000,
MarinT,49,#FF0000,
CC,4,#FF0000,
CC,10,#FF0000,
CC,11,#FF0000,
CC,15,#FF0000,
CC,20,#FF0000,
CC,93X,#FF0000,
TriDelta,380,#FF0000,
TriDelta,387,#FF0000,
TriDelta,391,#FF0000,
Wheels,10R,#FF0000,
Wheels,14,#FF0000,
Wheels,30R,#FF0000,
Wheels,70X,#FF0000,
Napa,10,#FF0000,
Napa,11,#FF0000,
SolTrans,1,#FF0000,
SolTrans,2,#FF0000,
SolTrans,7,#FF0000,
SantaRosa,1,#FF0000,
SantaRosa,2,#FF0000,
SantaRosa,4,#FF0000,
Caltrain,Bullet,#FF0000,
SMART,SMART,#FF0000,
WestCat,JL,#FF0000,
