Agency_ID,Route_ID,Color,Hidden_Shapes
Caltrain,Bullet,#0000ff ,
AC,7,#0000ff ,
AC,39,#0000ff ,
AC,47,#0000ff ,
AC,54,#0000ff ,
AC,65,#0000ff ,
AC,67,#0000ff ,
AC,88,#0000ff ,
AC,94,#0000ff ,
AC,95,#0000ff ,
AC,210,#0000ff ,
AC,215,#0000ff ,
AC,239,#0000ff ,
VTA,13,#0000ff ,
VTA,16,#0000ff ,
VTA,17,#0000ff ,
VTA,26,#0000ff ,
VTA,27,#0000ff ,
VTA,31,#0000ff ,
VTA,32,#0000ff ,
VTA,35,#0000ff ,
VTA,37,#0000ff ,
VTA,39,#0000ff ,
VTA,40,#0000ff ,
VTA,42,#0000ff ,
VTA,47,#0000ff ,
VTA,48,#0000ff ,
VTA,52,#0000ff ,
VTA,53,#0000ff ,
VTA,54,#0000ff ,
VTA,55,#0000ff ,
VTA,57,#0000ff ,
VTA,60,#0000ff ,
VTA,62,#0000ff ,
VTA,63,#0000ff ,
VTA,64,#0000ff ,
VTA,65,#0000ff ,
VTA,71,#0000ff ,
VTA,77,#0000ff ,
VTA,81,#0000ff ,
VTA,82,#0000ff ,
SamTrans,110,#0000ff ,
SamTrans,112,#0000ff ,
SamTrans,17,#0000ff ,
SamTrans,121,#0000ff ,
SamTrans,122,#0000ff ,
SamTrans,130,#0000ff ,
SamTrans,140,#0000ff ,
SamTrans,141,#0000ff ,
SamTrans,250,#0000ff ,
SamTrans,251,#0000ff ,
SamTrans,260,#0000ff ,
SamTrans,270,#0000ff ,
SamTrans,274,#0000ff ,
SamTrans,275,#0000ff ,
SamTrans,280,#0000ff ,
SamTrans,286,#0000ff ,
SamTrans,295,#0000ff ,
MarinT,22,#0000ff ,
MarinT,23,#0000ff ,
MarinT,49,#0000ff ,
MarinT,61,#0000ff ,
MarinT,219,#0000ff ,
MarinT,233,#0000ff ,
MarinT,251,#0000ff ,
CC,6,#0000ff ,
CC,9,#0000ff ,
CC,10,#0000ff ,
CC,11,#0000ff ,
CC,15,#0000ff ,
CC,16,#0000ff ,
CC,20,#0000ff ,
CC,21,#0000ff ,
CC,28,#0000ff ,
CC,36,#0000ff ,
CC,93X,#0000ff ,
Wheels,8,#0000ff ,
Napa,1,#0000ff ,
Napa,2,#0000ff ,
Napa,3,#0000ff ,
Napa,4,#0000ff ,
Napa,5,#0000ff ,
Napa,6,#0000ff ,
Napa,7,#0000ff ,
Napa,8,#0000ff ,
SolTrans,1,#0000ff ,
SolTrans,2,#0000ff ,
SolTrans,3,#0000ff ,
SolTrans,4,#0000ff ,
SolTrans,5,#0000ff ,
SolTrans,6,#0000ff ,
SolTrans,7,#0000ff ,
SolTrans,8,#0000ff ,
SantaRosa,1,#0000ff ,
SantaRosa,2,#0000ff ,
SantaRosa,3,#0000ff ,
SantaRosa,4,#0000ff ,
SantaRosa,5,#0000ff ,
SantaRosa,6,#0000ff ,
SantaRosa,7,#0000ff ,
SantaRosa,8,#0000ff ,
SantaRosa,9,#0000ff ,
SantaRosa,10,#0000ff ,
SantaRosa,12,#0000ff ,
SantaRosa,15,#0000ff ,
SantaRosa,16,#0000ff ,
SantaRosa,18,#0000ff ,
SantaRosa,19,#0000ff ,
GGFerry,LF,#0000ff ,
GGFerry,SF,#0000ff ,
GGFerry,TF,#0000ff ,
SFBayFerry,Vallejo - SF Ferry Building,#0000ff ,"p_298493,p_298504,p_298494,p_298484,p_298489,p_298497,p_298488"
