service_id,date,exception_type
72969,20180903,2
72969,20181112,2
72969,20181122,2
72969,20181123,2
72969,20181224,2
72969,20181225,2
72969,20190101,2
72969,20190121,2
72969,20190218,2
72969,20190527,2
72969,20190704,2
72969,20190902,2
72969,20191111,2
72969,20191128,2
72969,20191129,2
72969,20191224,2
72969,20191225,2
72971,20180903,1
72971,20181112,1
72971,20181122,1
72971,20181123,1
72971,20181224,1
72971,20181225,1
72971,20190101,1
72971,20190121,1
72971,20190218,1
72971,20190527,1
72971,20190704,1
72971,20190902,1
72971,20191111,1
72971,20191128,1
72971,20191129,1
72971,20191224,1
72971,20191225,1
