route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"388","3D",388,Pittsburg BART / Kaiser Deer Valley,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=388","",""
"201","3D",201,Pittsburg / Concord BART,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=201","",""
"379","3D",379,Antioch Deer Valley,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=379","",""
"390","3D",390,Antioch BART / Pittsburg Bay Point BART,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=390","",""
"387","3D",387,Pittsburg BART / Antioch,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=387","",""
"300","3D",300,Brentwood Park & Ride / Pittsburg Bay Point BART,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=300","",""
"393","3D",393,Weekend BART / Brentwood,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=393","",""
"394","3D",394,Weekend BART / Antioch,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=394","",""
"383","3D",383,Antioch / Oakley,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=383","",""
"391","3D",391,Pittsburg BART / Brentwood,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=391","",""
"395","3D",395,Weekend Antioch / Brentwood,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=395","",""
"389","3D",389,Pittsburg BART / Bay Point,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=389","",""
"200","3D",200,Martinez / Pittsburg,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=200","",""
"392","3D",392,Weekend BART / Antioch,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=392","",""
"385","3D",385,Antioch / Brentwood,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=385","",""
"380","3D",380,Pittsburg Bay Point BART/ Antioch,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=380","",""
"381","3D",381,Los Medanos College / Pittsburg Marina,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=381","",""
"384","3D",384,Antioch BART / Brentwood Park & Ride,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=384","",""
"396","3D",396,Bay Point / Kaiser,"",3,"http://70.232.147.132/RTT/Public/Schedule.aspx?RouteNo=396","",""
