fare_id,price,currency_type,payment_method,transfers,transfer_duration
1821,6.00,USD,1,0,0
1822,12.00,USD,1,0,0
1823,13.00,USD,1,0,0
1824,14.00,USD,1,0,0
1825,15.00,USD,1,0,0
1826,16.00,USD,1,0,0
1827,17.00,USD,1,0,0
1828,18.00,USD,1,0,0
1829,19.00,USD,1,0,0
1830,20.00,USD,1,0,0
1831,22.00,USD,1,0,0
1832,7.00,USD,1,0,0
1833,23.00,USD,1,0,0
1834,24.00,USD,1,0,0
1835,25.00,USD,1,0,0
1836,26.00,USD,1,0,0
1837,27.00,USD,1,0,0
1838,29.00,USD,1,0,0
1839,31.00,USD,1,0,0
1840,32.00,USD,1,0,0
1841,33.00,USD,1,0,0
1842,35.00,USD,1,0,0
1843,7.50,USD,1,0,0
1844,36.00,USD,1,0,0
1845,37.00,USD,1,0,0
1846,39.00,USD,1,0,0
1847,40.00,USD,1,0,0
1848,42.00,USD,1,0,0
1849,43.00,USD,1,0,0
1850,8.50,USD,1,0,0
1851,9.00,USD,1,0,0
1852,9.50,USD,1,0,0
1853,10.00,USD,1,0,0
1854,11.00,USD,1,0,0
1855,11.50,USD,1,0,0
