shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
2a7eeb4f-8f1b-422c-81ca-732d6e52ed3d,-122.392478,37.789337,1,0.00000000
2a7eeb4f-8f1b-422c-81ca-732d6e52ed3d,-122.291808,37.840423,2,10522.65955620
9ad44d47-6671-446c-80ae-d246cdbdae6d,-121.500699,38.584004,1,0.00000000
9ad44d47-6671-446c-80ae-d246cdbdae6d,-121.737758,38.543494,2,21144.78097740
9ad44d47-6671-446c-80ae-d246cdbdae6d,-121.968163,38.286164,3,56085.56014830
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.041192,38.243446,4,64043.67057650
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.13883,38.019079,5,90378.35928510
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.353896,37.936766,6,111366.72221000
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.300908,37.867439,7,120362.81865190
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.291808,37.840423,8,123466.52817540
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.271521,37.793715,9,128949.89816040
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.198218,37.752481,10,136865.30665360
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.099321,37.665962,11,149836.90313510
9ad44d47-6671-446c-80ae-d246cdbdae6d,-122.007382,37.559142,12,164205.46859140
9ad44d47-6671-446c-80ae-d246cdbdae6d,-121.967132,37.406877,13,181475.74794440
9ad44d47-6671-446c-80ae-d246cdbdae6d,-121.936453,37.353218,14,188021.64883250
9ad44d47-6671-446c-80ae-d246cdbdae6d,-121.902496,37.329935,15,191987.92194830
c0dd93fb-caed-41df-8b09-c8aa40f5bc1b,-122.291808,37.840423,1,0.00000000
c0dd93fb-caed-41df-8b09-c8aa40f5bc1b,-122.392478,37.789337,2,10522.65955620
