stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"ARN","ARN",Auburn-Conheim,38.903831,-121.082922,,"Robert F. Conheim Memorial Auburn Station","http://capitolcorridor.org/stations/auburn.php","0","","","1"
"BKY","BKY",Berkeley,37.867439,-122.300908,,"Berkeley Station","http://capitolcorridor.org/stations/berkeley.php","0","","","1"
"DAV","DAV",Davis,38.543494,-121.737758,,"Davis Station","http://capitolcorridor.org/stations/davis.php","0","","","1"
"EMY","EMY",Emeryville,37.840423,-122.291808,,"Emeryville Station","http://capitolcorridor.org/stations/emeryville.php","0","","","1"
"FFV","FFV",Fairfield-Vacaville,38.286164,-121.968163,,"Fairfield-Vacaville station","https://www.capitolcorridor.org/stations/fairfieldvacaville/","0","","","1"
"FMT","FMT",Fremont,37.559142,-122.007382,,"Fremont Centerville Station","http://capitolcorridor.org/stations/fremont.php","0","","","1"
"GAC","GAC",Great America-Santa Clara,37.406877,-121.967132,,"Great America/Santa Clara Station","http://capitolcorridor.org/stations/santa-clara-great-america.php","0","","","1"
"HAY","HAY",Hayward,37.665962,-122.099321,,"Hayward Platform","http://capitolcorridor.org/stations/hayward.php","0","","","1"
"MTZ","MTZ",Martinez,38.019079,-122.13883,,"Martinez Station","http://capitolcorridor.org/stations/martinez.php","0","","","1"
"OAC","OAC",Oakland Coliseum,37.752481,-122.198218,,"Oakland Coliseum Intermodal Station. Transfer to BART here.","http://capitolcorridor.org/stations/oakland-coliseum.php","0","","","1"
"OKJ","OKJ",Oakland Jack London,37.793715,-122.271521,,"Oakland Jack London Station","http://capitolcorridor.org/stations/oakland-jack-london.php","0","","","1"
"RIC","RIC",Richmond,37.936766,-122.353896,,"Richmond Intermodal Station. Transfer to BART here.","http://capitolcorridor.org/stations/richmond.php","0","","","1"
"RLN","RLN",Rocklin,38.791051,-121.237397,,"Rocklin Station","http://capitolcorridor.org/stations/rocklin.php","0","","","1"
"RSV","RSV",Roseville,38.749959,-121.286271,,"Roseville Station","http://capitolcorridor.org/stations/roseville.php","0","","","1"
"SAC","SAC",Sacramento,38.584004,-121.500699,,"Sacramento Valley Station","http://capitolcorridor.org/stations/sacramento.php","0","","","1"
"SJC","SJC",San Jose,37.329935,-121.902496,,"San Jose Diridon Station","http://capitolcorridor.org/stations/san-jose.php","0","","","1"
"SFC","SFC",SF Transbay Temp Terminal,37.789337,-122.392478,,"San Francisco Transbay Temporary Terminal","http://www.capitolcorridor.org/stations/san-francisco.php","0","","","1"
"SUI","SUI",Suisun-Fairfield,38.243446,-122.041192,,"Suisun-Fairfield Station","http://capitolcorridor.org/stations/suisun-fairfield.php","0","","","1"
"SCC","SCC",University-Santa Clara,37.353218,-121.936453,,"University/Santa Clara Station","http://capitolcorridor.org/stations/santa-clara-university.php","0","","","1"
