trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"RTD7512117","7:45:00","7:45:00","12081171","1",,"0","0",,1
"RTD7512117",,,12081170,2,,"0","0",,0
"RTD7512117","7:50:00","7:50:00","1188115","3",,"0","0",,1
"RTD7512117",,,12081173,4,,"0","0",,0
"RTD7512117",,,1188108,5,,"0","0",,0
"RTD7512117",,,1127106,6,,"0","0",,0
"RTD7512117",,,1188113,7,,"0","0",,0
"RTD7512117","8:05:00","8:05:00","1182421","8",,"0","0",,1
"RTD7512117","8:15:00","8:15:00","1188116","9",,"0","0",,1
"RTD7512117","8:22:00","8:22:00","1188114","10",,"0","0",,1
"RTD7511534","15:37:00","15:37:00","1182421","1",,"0","0",,1
"RTD7511534","15:41:00","15:41:00","1188116","2",,"0","0",,1
"RTD7511534","15:44:00","15:44:00","1188114","3",,"0","0",,1
"RTD5657322","6:39:00","6:39:00","1188114","1",,"0","0",,1
"RTD5657322","6:42:00","6:42:00","1188116","2",,"0","0",,1
"RTD5657322",,,12088930,3,,"0","0",,0
"RTD5657322","6:51:00","6:51:00","1188119","4",,"0","0",,1
"RTD5657322",,,12081175,5,,"0","0",,0
"RTD5657322","6:54:00","6:54:00","1188117","6",,"0","0",,1
"RTD5657322","6:57:00","6:57:00","1188108","7",,"0","0",,1
"RTD5657322",,,12088932,8,,"0","0",,0
"RTD5657322",,,12081173,9,,"0","0",,0
"RTD5657322","6:59:00","6:59:00","1188115","10",,"0","0",,1
"RTD5657322",,,12081170,11,,"0","0",,0
"RTD5657322","7:04:00","7:04:00","12081171","12",,"0","0",,1
"RTD5657322","7:07:00","7:07:00","1188118","13",,"0","0",,1
"RTD7512115","7:08:00","7:08:00","1188118","1",,"0","0",,1
"RTD7512115","7:13:00","7:13:00","12081171","2",,"0","0",,1
"RTD7512115",,,12081170,3,,"0","0",,0
"RTD7512115","7:18:00","7:18:00","1188115","4",,"0","0",,1
"RTD7512115",,,12081173,5,,"0","0",,0
"RTD7512115",,,1188108,6,,"0","0",,0
"RTD7512115",,,1127106,7,,"0","0",,0
"RTD7512115",,,1188113,8,,"0","0",,0
"RTD7512115","7:33:00","7:33:00","1182421","9",,"0","0",,1
"RTD5657318","6:00:00","6:00:00","1188118","1",,"0","0",,1
"RTD5657318","6:02:00","6:02:00","12081171","2",,"0","0",,1
"RTD5657318",,,12081170,3,,"0","0",,0
"RTD5657318","6:08:00","6:08:00","1188115","4",,"0","0",,1
"RTD5657318",,,12081173,5,,"0","0",,0
"RTD5657318","6:10:00","6:10:00","1188108","6",,"0","0",,1
"RTD5657318",,,12088932,7,,"0","0",,0
"RTD5657318",,,12088933,8,,"0","0",,0
"RTD5657318",,,1127106,9,,"0","0",,0
"RTD5657318","6:14:00","6:14:00","1188117","10",,"0","0",,1
"RTD5657318",,,12088935,11,,"0","0",,0
"RTD5657318",,,12088937,12,,"0","0",,0
"RTD5657318","6:18:00","6:18:00","1188119","13",,"0","0",,1
"RTD5657318","6:22:00","6:22:00","1182421","14",,"0","0",,1
"RTD5657318","6:26:00","6:26:00","1188116","15",,"0","0",,1
"RTD5657318","6:29:00","6:29:00","1188114","16",,"0","0",,1
