route_id,direction_id,direction
2,0,Inbound
2,1,Outbound
27,0,Inbound
27,1,Outbound
4,0,Inbound
4,1,Outbound
5,0,Outbound
5,1,Inbound
6,0,Inbound
6,1,Outbound
7,0,Inbound
7,1,Outbound
8,0,Inbound
8,1,Outbound
9,0,Inbound
9,1,Outbound
10,0,Inbound
10,1,Outbound
11,0,Inbound
11,1,Outbound
12,0,Inbound
12,1,Outbound
13,0,Inbound
13,1,Outbound
14,0,Inbound
14,1,Outbound
15,0,Inbound
15,1,Outbound
18,0,Inbound
18,1,Outbound
19,0,Inbound
19,1,Outbound
20,0,Inbound
20,1,Outbound
21,0,Inbound
21,1,Outbound
22,0,Inbound
22,1,Outbound
23,0,Inbound
23,1,Outbound
24,0,Inbound
24,1,Outbound
25,0,Inbound
25,1,Outbound
29,0,Inbound
30,0,Inbound
30,1,Outbound
31,0,Inbound
31,1,Outbound
32,0,Inbound
33,0,Inbound
33,1,Outbound
34,0,Inbound
35,0,Inbound
35,1,Outbound
36,0,Outbound
36,1,Inbound
37,0,Inbound
37,1,Outbound
38,0,Inbound
38,1,Outbound
39,0,Inbound
39,1,Outbound
40,0,Inbound
40,1,Outbound
42,0,Inbound
42,1,Outbound
26,0,Inbound
26,1,Outbound
28,0,Inbound
28,1,Outbound
3,0,Inbound
3,1,Outbound
1,0,Inbound
1,1,Outbound
16,0,Inbound
16,1,Outbound
17,0,Inbound
17,1,Outbound
41,0,Inbound
41,1,Outbound
