fare_id,route_id,origin_id,destination_id,contains_id
2261,260MTH,,,
2261,311,,,
2261,315,,,
2261,10,,,
2261,14,,,
2261,301,,,
2261,16,,,
2261,18,,,
2261,36,,,
2261,316,,,
2261,321,,,
2261,1M,,,
2261,310,,,
2261,20,,,
2261,314,,,
2261,25,,,
2261,260F,,,
2261,1,,,
2261,11,,,
2261,15,,,
2261,17,,,
2261,28,,,
2261,19,,,
2263,9,,,
2263,6,,,
2261,2,,,
2261,21,,,
2261,320,,,
2261,35,,,
2261,4,,,
2261,ALAMOCR,,,
2263,5,,,
2261,7,,,
2261,250,,,
2262,99X,,,
2262,95X,,,
2262,92X,,,
2262,97X,,,
2262,96X,,,
2262,93X,,,
2262,91X,,,
2262,98X,,,
