trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"428643","5:30:00","5:30:00","888","1",,"0","0",,1
"428643",,,521,2,,"0","0",,0
"428643",,,522,3,,"0","0",,0
"428643",,,523,4,,"0","0",,0
"428643",,,524,5,,"0","0",,0
"428643",,,525,6,,"0","0",,0
"428643",,,527,7,,"0","0",,0
"428643",,,528,8,,"0","0",,0
"428643",,,529,9,,"0","0",,0
"428643",,,530,10,,"0","0",,0
"428643","5:35:00","5:35:00","531","11",,"0","0",,1
"428643",,,532,12,,"0","0",,0
"428643",,,533,13,,"0","0",,0
"428643",,,534,14,,"0","0",,0
"428643",,,535,15,,"0","0",,0
"428643",,,536,16,,"0","0",,0
"428643",,,537,17,,"0","0",,0
"428643","5:40:00","5:40:00","538","18",,"0","0",,1
"428643",,,539,19,,"0","0",,0
"428643",,,540,20,,"0","0",,0
"428643",,,541,21,,"0","0",,0
"428643","5:44:00","5:44:00","542","22",,"0","0",,1
"428643",,,444,23,,"0","0",,0
"428643",,,445,24,,"0","0",,0
"428643",,,446,25,,"0","0",,0
"428643",,,450,26,,"0","0",,0
"428643","5:49:00","5:49:00","498","27",,"0","0",,1
"428643",,,499,28,,"0","0",,0
"428643",,,452,29,,"0","0",,0
"428643",,,453,30,,"0","0",,0
"428643","5:52:00","5:52:00","454","31",,"0","0",,1
"428643",,,500,32,,"0","0",,0
"428643","6:01:00","6:01:00","447","33",,"0","0",,1
"428644","6:00:00","6:00:00","888","1",,"0","0",,1
"428644",,,521,2,,"0","0",,0
"428644",,,522,3,,"0","0",,0
"428644",,,523,4,,"0","0",,0
"428644",,,524,5,,"0","0",,0
"428644",,,525,6,,"0","0",,0
"428644",,,527,7,,"0","0",,0
"428644",,,528,8,,"0","0",,0
"428644",,,529,9,,"0","0",,0
"428644",,,530,10,,"0","0",,0
"428644","6:05:00","6:05:00","531","11",,"0","0",,1
"428644",,,532,12,,"0","0",,0
"428644",,,533,13,,"0","0",,0
"428644",,,534,14,,"0","0",,0
"428644",,,535,15,,"0","0",,0
"428644",,,536,16,,"0","0",,0
"428644",,,537,17,,"0","0",,0
"428644","6:10:00","6:10:00","538","18",,"0","0",,1
"428644",,,539,19,,"0","0",,0
"428644",,,540,20,,"0","0",,0
"428644",,,541,21,,"0","0",,0
"428644","6:14:00","6:14:00","542","22",,"0","0",,1
"428644",,,444,23,,"0","0",,0
"428644",,,445,24,,"0","0",,0
"428644",,,446,25,,"0","0",,0
"428644",,,450,26,,"0","0",,0
"428644","6:19:00","6:19:00","498","27",,"0","0",,1
"428644",,,499,28,,"0","0",,0
"428644",,,452,29,,"0","0",,0
"428644",,,453,30,,"0","0",,0
"428644","6:22:00","6:22:00","454","31",,"0","0",,1
"428644",,,500,32,,"0","0",,0
"428644","6:31:00","6:31:00","447","33",,"0","0",,1
"428645","6:30:00","6:30:00","888","1",,"0","0",,1
"428645",,,521,2,,"0","0",,0
"428645",,,522,3,,"0","0",,0
"428645",,,523,4,,"0","0",,0
"428645",,,524,5,,"0","0",,0
"428645",,,525,6,,"0","0",,0
"428645",,,527,7,,"0","0",,0
"428645",,,528,8,,"0","0",,0
"428645",,,529,9,,"0","0",,0
"428645",,,530,10,,"0","0",,0
"428645","6:37:00","6:37:00","531","11",,"0","0",,1
"428645",,,532,12,,"0","0",,0
"428645",,,533,13,,"0","0",,0
"428645",,,534,14,,"0","0",,0
"428645",,,535,15,,"0","0",,0
"428645",,,536,16,,"0","0",,0
"428645",,,537,17,,"0","0",,0
"428645","6:42:00","6:42:00","538","18",,"0","0",,1
"428645",,,539,19,,"0","0",,0
"428645",,,540,20,,"0","0",,0
"428645",,,541,21,,"0","0",,0
"428645","6:46:00","6:46:00","542","22",,"0","0",,1
"428645",,,444,23,,"0","0",,0
"428645",,,445,24,,"0","0",,0
"428645",,,446,25,,"0","0",,0
"428645",,,450,26,,"0","0",,0
"428645","6:51:00","6:51:00","498","27",,"0","0",,1
"428645",,,499,28,,"0","0",,0
"428645",,,452,29,,"0","0",,0
"428645",,,453,30,,"0","0",,0
"428645","6:54:00","6:54:00","454","31",,"0","0",,1
"428645",,,500,32,,"0","0",,0
"428645","7:03:00","7:03:00","447","33",,"0","0",,1
"428646","7:00:00","7:00:00","888","1",,"0","0",,1
"428646",,,521,2,,"0","0",,0
"428646",,,522,3,,"0","0",,0
"428646",,,523,4,,"0","0",,0
"428646",,,524,5,,"0","0",,0
"428646",,,525,6,,"0","0",,0
"428646",,,527,7,,"0","0",,0
"428646",,,528,8,,"0","0",,0
"428646",,,529,9,,"0","0",,0
"428646",,,530,10,,"0","0",,0
"428646","7:07:00","7:07:00","531","11",,"0","0",,1
"428646",,,532,12,,"0","0",,0
"428646",,,533,13,,"0","0",,0
"428646",,,534,14,,"0","0",,0
"428646",,,535,15,,"0","0",,0
"428646",,,536,16,,"0","0",,0
"428646",,,537,17,,"0","0",,0
"428646","7:12:00","7:12:00","538","18",,"0","0",,1
"428646",,,539,19,,"0","0",,0
"428646",,,540,20,,"0","0",,0
"428646",,,541,21,,"0","0",,0
"428646","7:16:00","7:16:00","542","22",,"0","0",,1
"428646",,,444,23,,"0","0",,0
"428646",,,445,24,,"0","0",,0
"428646",,,446,25,,"0","0",,0
"428646",,,450,26,,"0","0",,0
"428646","7:21:00","7:21:00","498","27",,"0","0",,1
"428646",,,499,28,,"0","0",,0
"428646",,,452,29,,"0","0",,0
"428646",,,453,30,,"0","0",,0
"428646","7:24:00","7:24:00","454","31",,"0","0",,1
"428646",,,500,32,,"0","0",,0
"428646","7:33:00","7:33:00","447","33",,"0","0",,1
"428647","7:30:00","7:30:00","888","1",,"0","0",,1
"428647",,,521,2,,"0","0",,0
"428647",,,522,3,,"0","0",,0
"428647",,,523,4,,"0","0",,0
"428647",,,524,5,,"0","0",,0
"428647",,,525,6,,"0","0",,0
"428647",,,527,7,,"0","0",,0
"428647",,,528,8,,"0","0",,0
"428647",,,529,9,,"0","0",,0
"428647",,,530,10,,"0","0",,0
"428647","7:37:00","7:37:00","531","11",,"0","0",,1
"428647",,,532,12,,"0","0",,0
"428647",,,533,13,,"0","0",,0
"428647",,,534,14,,"0","0",,0
"428647",,,535,15,,"0","0",,0
"428647",,,536,16,,"0","0",,0
"428647",,,537,17,,"0","0",,0
"428647","7:42:00","7:42:00","538","18",,"0","0",,1
