stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1321","1321",1010 Camino Pablo,37.826134,-122.129548,,"","","0","","",""
"2218","2218",1021 Arnold Dr,37.996033,-122.109919,,"","","0","","",""
"704","704",1026 Mohr Ln,37.94527,-122.044433,,"","","0","","",""
"789","789",1080 San Miguel Rd,37.962366,-122.029896,,"","","0","","",""
"794","794",1080 San Miguel Rd,37.962563,-122.029747,,"","","0","","",""
"569","569",1200 Concord Ave,37.980693,-122.053603,,"","","0","","",""
"1783","1783",1301 Montego,37.90891,-122.047591,,"","","0","","",""
"1990","1990",1321 Galindo St,37.971269,-122.032606,,"","","0","","",""
"767","767",1336 Pennsylvania Blvd,37.942798,-121.955746,,"","","0","","",""
"1758","1758",1347 Locust St,37.898039,-122.061779,,"","","0","","",""
"1863","1863",1357 Oakland Blvd,37.896987,-122.070261,,"","","0","","",""
"2176","2176",1370 Monument Blvd,37.950756,-122.046807,,"","","0","","",""
"955","955",1401 Danville Blvd,37.845128,-122.028867,,"","","0","","",""
"1824","1824",141 N Civic Dr,37.908713,-122.058717,,"","","0","","",""
"1739","1739",1459 Creekside Dr,37.885111,-122.051349,,"","","0","","",""
"1952","1952",1461 Concord Ave,37.979718,-122.046372,,"","","0","","",""
"1786","1786",1485 Montego,37.910252,-122.042173,,"","","0","","",""
"1362","1362","1500 St Mary's Rd",37.841277,-122.122449,,"","","0","","",""
"1365","1365","1500 St Mary's Rd",37.841751,-122.121762,,"","","0","","",""
"1870","1870",1670 Riviera Ave,37.909151,-122.067467,,"","","0","","",""
"1063","1063",1700 Tice Valley Blvd,37.883338,-122.077207,,"","","0","","",""
"852","852",1750 West St,37.976678,-121.991732,,"","","0","","",""
"1547","1547",181 Viking Dr,37.966388,-122.067028,,"","","0","","",""
"671","671",185 Mason Cir,38.009379,-122.040581,,"","","0","","",""
"1933","1933",1895 Ygnacio Valley Rd,37.918115,-122.038566,,"","","0","","",""
"2084","2084",1924 Trinity Ave,37.901316,-122.068684,,"","","0","","",""
"2085","2085",1924 Trinity Ave,37.901468,-122.068431,,"","","0","","",""
"2159","2159",1935 Arnold Industrial Way,38.004185,-122.042426,,"","","0","","",""
"2160","2160",1935 Arnold Industrial Way,38.003998,-122.042494,,"","","0","","",""
"1899","1899",1963 Tice Valley Blvd,37.876678,-122.072513,,"","","0","","",""
"1383","1383",196 Moraga Way,37.866049,-122.175478,,"","","0","","",""
"2011","2011",1970 Diamond Blvd,37.970512,-122.054727,,"","","0","","",""
"753","753",1970 Olivera Rd,37.998825,-122.051306,,"","","0","","",""
"1455","1455",1972 Contra Costa Blvd,37.949121,-122.05997,,"","","0","","",""
"2009","2009",2001 Diamond Blvd,37.973115,-122.057385,,"","","0","","",""
"1445","1445",200 Coggins Dr,37.933089,-122.058052,,"","","0","","",""
"1546","1546",201 Viking Dr,37.965842,-122.069004,,"","","0","","",""
"482","482",2047 Arnold Industrial Way,38.006901,-122.037439,,"","","0","","",""
"2141","2141",2067 Ygnacio Valley Rd,37.921126,-122.032896,,"","","0","","",""
"2184","2184",20709 San Ramon Valley Blvd,37.734039,-121.949173,,"","","0","","",""
"2012","2012",2070 Diamond Blvd,37.973695,-122.057443,,"","","0","","",""
"484","484",2099 Arnold Industrial Way,38.006982,-122.036933,,"","","0","","",""
"1897","1897",2100 Tice Valley Blvd,37.876351,-122.068897,,"","","0","","",""
"1813","1813",2121 N California Blvd,37.908269,-122.066123,,"","","0","","",""
"1444","1444",225 Coggins Dr,37.933358,-122.056846,,"","","0","","",""
"496","496",2333 Bisso Ln,37.982376,-122.046537,,"","","0","","",""
"494","494",2380 Bisso Ln,37.984232,-122.04662,,"","","0","","",""
"1667","1667",2410 San Ramon Valley Blvd,37.774902,-121.976587,,"","","0","","",""
"2230","2230",2425 Bisso Ln,37.983875,-122.046769,,"","","0","","",""
"497","497",2470 Bates Ave,38.014061,-122.031767,,"","","0","","",""
"1051","1051",2471 San Miguel Dr,37.883847,-122.034852,,"","","0","","",""
"1406","1406",24 Orinda Way,37.881589,-122.186819,,"","","0","","",""
"1231","1231","250 St Mary's Rd",37.853972,-122.103616,,"","","0","","",""
"1230","1230","250 St Mary's Rd",37.854239,-122.103696,,"","","0","","",""
"1680","1680",2550 San Ramon Valley Blvd,37.77352,-121.974741,,"","","0","","",""
"1676","1676",2551 San Ramon Valley Blvd,37.772146,-121.974317,,"","","0","","",""
"1579","1579",2600 Bishop Dr,37.763537,-121.964264,,"","","0","","",""
"2102","2102",2600 Bishop Dr,37.763706,-121.964172,,"","","0","","",""
"1428","1428",277 Boyd Rd,37.943554,-122.068842,,"","","0","","",""
"1993","1993",2820 Shadelands Dr,37.929048,-122.019352,,"","","0","","",""
"1303","1303",2860 Howe Rd,37.999236,-122.117088,,"","","0","","",""
"2101","2101",3285 Mt Diablo Blvd,37.896651,-122.100787,,"","","0","","",""
"1224","1224","3333 St Mary's Rd",37.88114,-122.10405,,"","","0","","",""
"435","435",3400 Delta Fair Blvd,38.003731,-121.841434,,"","","0","","",""
"2210","2210",3470 Buskirk Ave,37.93978,-122.058992,,"","","0","","",""
"1010","1010",3550 Pacheco Blvd,38.011974,-122.105354,,"","","0","","",""
"1201","1201",3697 Mt Diablo Blvd,37.889642,-122.130711,,"","","0","","",""
"1199","1199",3849 Mt Diablo Blvd,37.888183,-122.139994,,"","","0","","",""
"1256","1256",3850 Alhambra Ave,37.995976,-122.132198,,"","","0","","",""
"1266","1266",3850 Alhambra Ave,37.995993,-122.13252,,"","","0","","",""
"1420","1420",400 Ellinwood Way,37.959422,-122.053815,,"","","0","","",""
"1471","1471",400 Longbrook Way,37.956921,-122.057201,,"","","0","","",""
"1401","1401",433 Moraga Way,37.860535,-122.165512,,"","","0","","",""
"587","587",4367 Concord Blvd,37.975743,-121.985882,,"","","0","","",""
"1021","1021",4639 Pacheco Blvd,38.003426,-122.083193,,"","","0","","",""
"1102","1102",480 Diablo Rd,37.823053,-121.992499,,"","","0","","",""
"980","980",5000 Marsh Dr,37.998713,-122.057525,,"","","0","","",""
"2229","2229",501 Orindawoods Dr,37.889186,-122.179795,,"","","0","","",""
"1956","1956",5099 Commercial Cir,38.019932,-122.030612,,"","","0","","",""
"1955","1955",5130 Commercial Cir,38.0197,-122.030037,,"","","0","","",""
"1368","1368",521 Altarinda Rd,37.883129,-122.183839,,"","","0","","",""
"540","540",5350 Clayton Rd,37.953656,-121.962135,,"","","0","","",""
"1448","1448",550 Contra Costa Blvd,37.978041,-122.06615,,"","","0","","",""
"1380","1380",550 Miner Rd,37.904921,-122.181967,,"","","0","","",""
"1447","1447",571 Contra Costa Blvd,37.977935,-122.065701,,"","","0","","",""
"1125","1125",585 San Ramon Valley Blvd,37.815325,-121.996531,,"","","0","","",""
"928","928",590 Center Ave,37.992444,-122.118636,,"","","0","","",""
"926","926",597 Center Ave,37.992587,-122.118487,,"","","0","","",""
"1130","1130",620 San Ramon Valley Blvd,37.815432,-121.99621,,"","","0","","",""
"1277","1277",6638 Alhambra Ave,37.959632,-122.094123,,"","","0","","",""
"1225","1225","711 St Mary's Rd",37.877164,-122.100874,,"","","0","","",""
"603","603",715 Contra Costa Blvd,37.969996,-122.063035,,"","","0","","",""
"2219","2219",757 Arnold Dr,37.996962,-122.116439,,"","","0","","",""
"1551","1551",80 W Hookston,37.940616,-122.062543,,"","","0","","",""
"1298","1298",825 Howe Rd,38.006739,-122.110609,,"","","0","","",""
"1711","1711",860 Bancroft Rd,37.932894,-122.045601,,"","","0","","",""
"1300","1300",874 Howe Rd,38.007069,-122.110817,,"","","0","","",""
"1297","1297",901 Howe Rd,38.004776,-122.110616,,"","","0","","",""
"1647","1647",9199 Fircrest Ln,37.728942,-121.925806,,"","","0","","",""
"1301","1301",950 Howe Rd,38.003339,-122.111165,,"","","0","","",""
"1602","1602",9870 Broadmoor Dr,37.745514,-121.947076,,"","","0","","",""
"1164","1164",Acalanes Ave/Nogales St,37.901218,-122.09416,,"","","0","","",""
"1166","1166",Acalanes Rd/Hidden Valley Rd,37.886685,-122.156095,,"","","0","","",""
"1165","1165",Acalanes Rd/Valente Dr,37.888106,-122.154652,,"","","0","","",""
"2094","2094",Ace Train Station,37.659086,-121.88246,,"","","0","","",""
"472","472",Airport Plaza,37.979229,-122.054233,,"","","0","","",""
"1562","1562",Alcosta Blvd/Belle Meade Dr,37.728586,-121.933847,,"","","0","","",""
"1574","1574",Alcosta Blvd/Bollinger Canyon Rd,37.765759,-121.95167,,"","","0","","",""
"1572","1572",Alcosta Blvd/Canyon Hills Dr,37.759129,-121.9424,,"","","0","","",""
"1573","1573",Alcosta Blvd/Canyon Woods Dr,37.763261,-121.948301,,"","","0","","",""
"1563","1563",Alcosta Blvd/Davona Blvd,37.724438,-121.936884,,"","","0","","",""
"1558","1558",Alcosta Blvd/Davona Dr,37.724161,-121.936723,,"","","0","","",""
"1559","1559",Alcosta Blvd/Elmwood Dr,37.728381,-121.933561,,"","","0","","",""
"1560","1560",Alcosta Blvd/Fircrest Ln,37.731458,-121.92773,,"","","0","","",""
"1561","1561",Alcosta Blvd/Fircrest Ln,37.731744,-121.927879,,"","","0","","",""
"1570","1570",Alcosta Blvd/Montevideo Dr,37.753784,-121.938527,,"","","0","","",""
"1575","1575",Alcosta Blvd/Overlook Dr/Woodland,37.769257,-121.955326,,"","","0","","",""
"1556","1556",Alcosta Blvd/San Ramon Valley Blvd,37.723144,-121.942187,,"","","0","","",""
"1557","1557",Alcosta Blvd/San Ramon Valley Blvd,37.722895,-121.942027,,"","","0","","",""
"1571","1571",Alcosta Blvd/Terra Alta Dr,37.757389,-121.940498,,"","","0","","",""
"1564","1564",Alcosta Blvd/Village Pkwy,37.729442,-121.931751,,"","","0","","",""
"1576","1576",Alcosta Blvd/Woodland Dr,37.770577,-121.956334,,"","","0","","",""
"2099","2099",Alhambra Ave/Alhambra Valley Rd,37.98353,-122.125662,,"","","0","","",""
"1254","1254",Alhambra Ave/Alhambra Way,37.986962,-122.127969,,"","","0","","",""
"1260","1260",Alhambra Ave/Allen Dr,38.009396,-122.131334,,"","","0","","",""
"1275","1275",Alhambra Ave/Benham Dr,37.965855,-122.098513,,"","","0","","",""
"1259","1259",Alhambra Ave/Bertola St,38.007363,-122.130501,,"","","0","","",""
"1264","1264",Alhambra Ave/Contra Costa Regional Medical Center,38.005747,-122.131107,,"","","0","","",""
"1258","1258",Alhambra Ave/C St,38.004971,-122.130898,,"","","0","","",""
