route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"Foster City-Lincoln Centre Caltrain","CM",,"Foster City-Lincoln Centre Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/106-foster-city-lincoln-centre-caltrain","",""
"So. San Francisco-Oyster Point BART","CM",,"So. San Francisco-Oyster Point BART","",3,"http://commute.org/shuttles/routes-and-schedules/98-so-san-francisco-oyster-pt-bart","",""
"So. San Francisco-Oyster Point Caltrain","CM",,"So. San Francisco-Oyster Point Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/78-so-san-francisco-oyster-pt-caltrain","",""
"Redwoood Shores Bayshore Technology Caltrain","CM",,"Redwoood Shores Bayshore Technology Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/248-redwood-shores-bayshore-technology-park-caltrain","",""
"San Carlos - Commuter Caltrain","CM",,"San Carlos - Commuter Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/290-san-carlos-commuter","",""
"San Mateo-Norfolk Caltrain","CM",,"San Mateo-Norfolk Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/28-san-mateo-norfolk-caltrain","",""
"So. San Francisco-Genesis One Tower Place BART/Caltrain","CM",,"So. San Francisco-Genesis One Tower Place BART/Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/127-so-san-francisco-centennial-towers","",""
"So. San Francisco-Oyster Point Ferry","CM",,"So. San Francisco-Oyster Point Ferry","",3,"http://commute.org/shuttles/routes-and-schedules/129-so-san-francisco-oyster-point-ferry","",""
"So. San Francisco-Utah/Grand BART","CM",,"So. San Francisco-Utah/Grand BART","",3,"http://commute.org/shuttles/routes-and-schedules/81-so-san-francisco-utahgrand-bart","",""
"So. San Francisco-Utah/Grand Caltrain","CM",,"So. San Francisco-Utah/Grand Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/82-so-san-francisco-utahgrand-caltrain","",""
"So. San Francisco-Utah/Grand Ferry","CM",,"So. San Francisco-Utah/Grand Ferry","",3,"http://commute.org/shuttles/routes-and-schedules/120-so-san-francisco-utahgrand-ferry","",""
"Redwood City-Midpoint Caltrain","CM",,"Redwood City-Midpoint Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/25-redwood-city-midpoint-caltrain","",""
"Burlingame-North BART/Caltrain","CM",,"Burlingame-North BART/Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/89-burlingame-north-bartcaltrain","",""
"Brisbane-Bayshore Caltrain","CM",,"Brisbane-Bayshore Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/15-brisbane-bayshore-caltrain","",""
"Brisbane-Crocker Park BART/Caltrain","CM",,"Brisbane-Crocker Park BART/Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/16-brisbane-crocker-park-bartcaltrain","",""
"Burlingame-Bayside BART/Caltrain","CM",,"Burlingame-Bayside BART/Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/87-burlingame-bayside-bartcaltrain","",""
"Foster City-North BART/Caltrain","CM",,"Foster City-North BART/Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/22-foster-city-north-bartcaltrain","",""
"Redwood City-Seaport Centre Caltrain","CM",,"Redwood City-Seaport Centre Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/122-redwood-city-seaport-caltrain","",""
"San Mateo-Campus Drive Caltrain","CM",,"San Mateo-Campus Drive Caltrain","",3,"http://www.commute.org/shuttles/routes-and-schedules/26-san-mateo-campus-drive-caltrain","",""
"San Mateo-Mariners' Island Caltrain","CM",,"San Mateo-Mariners' Island Caltrain","",3,"http://commute.org/shuttles/routes-and-schedules/27-san-mateo-mariners-island-caltrain","",""
