trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"FosterCity_Lincoln_am_T01","7:00:00","7:00:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T01","7:12:00","7:12:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T01","7:14:00","7:14:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T01","7:17:00","7:17:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T01","7:18:00","7:18:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T01","7:20:00","7:20:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T01","7:23:00","7:23:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T01","7:25:00","7:25:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T01","7:39:00","7:39:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T02","7:40:00","7:40:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T02","7:52:00","7:52:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T02","7:54:00","7:54:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T02","7:57:00","7:57:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T02","7:58:00","7:58:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T02","8:00:00","8:00:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T02","8:03:00","8:03:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T02","8:05:00","8:05:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T02","8:19:00","8:19:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T03","8:30:00","8:30:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T03","8:42:00","8:42:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T03","8:44:00","8:44:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T03","8:47:00","8:47:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T03","8:48:00","8:48:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T03","8:50:00","8:50:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T03","8:53:00","8:53:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T03","8:55:00","8:55:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T03","9:09:00","9:09:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T06","15:37:00","15:37:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T06","15:50:00","15:50:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T06","15:52:00","15:52:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T06","15:55:00","15:55:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T06","15:56:00","15:56:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T06","15:58:00","15:58:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T06","16:01:00","16:01:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T06","16:03:00","16:03:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T06","16:18:00","16:18:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T07","16:18:00","16:18:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T07","16:31:00","16:31:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T07","16:33:00","16:33:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T07","16:36:00","16:36:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T07","16:37:00","16:37:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T07","16:39:00","16:39:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T07","16:42:00","16:42:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T07","16:44:00","16:44:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T07","16:59:00","16:59:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T08","16:59:00","16:59:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T08","17:12:00","17:12:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T08","17:14:00","17:14:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T08","17:17:00","17:17:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T08","17:18:00","17:18:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T08","17:20:00","17:20:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T08","17:23:00","17:23:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T08","17:25:00","17:25:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T08","17:40:00","17:40:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T09","17:45:00","17:45:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T09","17:58:00","17:58:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
"FosterCity_Lincoln_am_T09","18:00:00","18:00:00","FC_Linc_03","3","Lincoln Centre","0","0","5.77300000",1
"FosterCity_Lincoln_am_T09","18:03:00","18:03:00","FC_Linc_05","4","Lincoln Centre","0","0","6.98500000",1
"FosterCity_Lincoln_am_T09","18:04:00","18:04:00","FC_Linc_04","5","Lincoln Centre","0","0","7.70900000",1
"FosterCity_Lincoln_am_T09","18:06:00","18:06:00","FC_Linc_06","6","Lincoln Centre","0","0","10.75100000",1
"FosterCity_Lincoln_am_T09","18:09:00","18:09:00","FC_Linc_09","7","Lincoln Centre","0","0","12.19100000",1
"FosterCity_Lincoln_am_T09","18:11:00","18:11:00","FC_Linc_12","8","Hillsdale Caltrain","0","0","12.53000000",1
"FosterCity_Lincoln_am_T09","18:26:00","18:26:00","Hillsdale","9","Hillsdale Caltrain","0","0","19.85200000",1
"FosterCity_Lincoln_am_T10","18:26:00","18:26:00","Hillsdale","1","Lincoln Centre","0","0","0.00000000",1
"FosterCity_Lincoln_am_T10","18:39:00","18:39:00","FC_Linc_02","2","Lincoln Centre","0","0","5.10900000",1
