service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72981,1,1,1,1,1,0,0,20171002,20191004
72982,0,0,0,0,0,1,1,20171007,20191006
72983,0,0,0,0,0,1,0,20171007,20191005
74073,0,0,0,0,0,0,0,20180620,20180620
74074,0,0,0,0,0,0,0,20180623,20180623
74075,0,0,0,0,0,0,0,20180624,20180624
74076,0,0,0,0,0,0,0,20180624,20180624
74077,0,0,0,0,0,0,0,20180628,20180628
74078,0,0,0,0,0,0,0,20180707,20180707
74079,0,0,0,0,0,0,0,20180708,20180708
74080,0,0,0,0,0,0,0,20180711,20180711
74081,0,0,0,0,0,0,0,20180714,20180714
74082,0,0,0,0,0,0,0,20180715,20180715
74083,0,0,0,0,0,0,0,20180728,20180728
74084,0,0,0,0,0,0,0,20180729,20180729
74085,0,0,0,0,0,0,0,20180807,20180807
74086,0,0,0,0,0,0,0,20180811,20180811
74087,0,0,0,0,0,0,0,20180812,20180812
74088,0,0,0,0,0,0,0,20180825,20180825
74089,0,0,0,0,0,0,0,20180826,20180826
74090,0,0,0,0,0,0,0,20180901,20180901
74091,0,0,0,0,0,0,0,20180902,20180902
74092,0,0,0,0,0,0,0,20180912,20180912
74203,0,0,0,0,0,0,0,20180915,20180915
