fare_id,route_id,origin_id,destination_id,contains_id
1726,Bullet,57784,57784,
1727,Bullet,57784,57785,
1728,Bullet,57784,57786,
1729,Bullet,57784,57787,
1730,Bullet,57784,57788,
1731,Bullet,57784,57789,
1727,Bullet,57785,57784,
1726,Bullet,57785,57785,
1727,Bullet,57785,57786,
1728,Bullet,57785,57787,
1729,Bullet,57785,57788,
1730,Bullet,57785,57789,
1728,Bullet,57786,57784,
1727,Bullet,57786,57785,
1726,Bullet,57786,57786,
1727,Bullet,57786,57787,
1728,Bullet,57786,57788,
1729,Bullet,57786,57789,
1729,Bullet,57787,57784,
1728,Bullet,57787,57785,
1727,Bullet,57787,57786,
1726,Bullet,57787,57787,
1727,Bullet,57787,57788,
1728,Bullet,57787,57789,
1730,Bullet,57788,57784,
1729,Bullet,57788,57785,
1728,Bullet,57788,57786,
1727,Bullet,57788,57787,
1726,Bullet,57788,57788,
1727,Bullet,57788,57789,
1731,Bullet,57789,57784,
1730,Bullet,57789,57785,
1729,Bullet,57789,57786,
1728,Bullet,57789,57787,
1727,Bullet,57789,57788,
1726,Bullet,57789,57789,
1726,Limited,57784,57784,
1727,Limited,57784,57785,
1728,Limited,57784,57786,
1729,Limited,57784,57787,
1730,Limited,57784,57788,
1731,Limited,57784,57789,
1727,Limited,57785,57784,
1726,Limited,57785,57785,
1727,Limited,57785,57786,
1728,Limited,57785,57787,
1729,Limited,57785,57788,
1730,Limited,57785,57789,
1728,Limited,57786,57784,
1727,Limited,57786,57785,
1726,Limited,57786,57786,
1727,Limited,57786,57787,
1728,Limited,57786,57788,
1729,Limited,57786,57789,
1729,Limited,57787,57784,
1728,Limited,57787,57785,
1727,Limited,57787,57786,
1726,Limited,57787,57787,
1727,Limited,57787,57788,
1728,Limited,57787,57789,
1730,Limited,57788,57784,
1729,Limited,57788,57785,
1728,Limited,57788,57786,
1727,Limited,57788,57787,
1726,Limited,57788,57788,
1727,Limited,57788,57789,
1731,Limited,57789,57784,
1730,Limited,57789,57785,
1729,Limited,57789,57786,
1728,Limited,57789,57787,
1727,Limited,57789,57788,
1726,Limited,57789,57789,
1726,Local,57784,57784,
1727,Local,57784,57785,
1728,Local,57784,57786,
1729,Local,57784,57787,
1730,Local,57784,57788,
1731,Local,57784,57789,
1727,Local,57785,57784,
1726,Local,57785,57785,
1727,Local,57785,57786,
1728,Local,57785,57787,
1729,Local,57785,57788,
1730,Local,57785,57789,
1728,Local,57786,57784,
1727,Local,57786,57785,
1726,Local,57786,57786,
1727,Local,57786,57787,
1728,Local,57786,57788,
1729,Local,57786,57789,
1729,Local,57787,57784,
1728,Local,57787,57785,
1727,Local,57787,57786,
1726,Local,57787,57787,
1727,Local,57787,57788,
1728,Local,57787,57789,
1730,Local,57788,57784,
1729,Local,57788,57785,
1728,Local,57788,57786,
1727,Local,57788,57787,
1726,Local,57788,57788,
1727,Local,57788,57789,
1731,Local,57789,57784,
1730,Local,57789,57785,
1729,Local,57789,57786,
1728,Local,57789,57787,
1727,Local,57789,57788,
1726,Local,57789,57789,
1726,TaSJ-Shuttle,57784,57784,
1727,TaSJ-Shuttle,57784,57785,
1728,TaSJ-Shuttle,57784,57786,
1729,TaSJ-Shuttle,57784,57787,
1730,TaSJ-Shuttle,57784,57788,
1731,TaSJ-Shuttle,57784,57789,
1727,TaSJ-Shuttle,57785,57784,
1726,TaSJ-Shuttle,57785,57785,
1727,TaSJ-Shuttle,57785,57786,
1728,TaSJ-Shuttle,57785,57787,
1729,TaSJ-Shuttle,57785,57788,
1730,TaSJ-Shuttle,57785,57789,
1728,TaSJ-Shuttle,57786,57784,
1727,TaSJ-Shuttle,57786,57785,
1726,TaSJ-Shuttle,57786,57786,
1727,TaSJ-Shuttle,57786,57787,
1728,TaSJ-Shuttle,57786,57788,
1729,TaSJ-Shuttle,57786,57789,
1729,TaSJ-Shuttle,57787,57784,
1728,TaSJ-Shuttle,57787,57785,
1727,TaSJ-Shuttle,57787,57786,
1726,TaSJ-Shuttle,57787,57787,
1727,TaSJ-Shuttle,57787,57788,
1728,TaSJ-Shuttle,57787,57789,
1730,TaSJ-Shuttle,57788,57784,
1729,TaSJ-Shuttle,57788,57785,
1728,TaSJ-Shuttle,57788,57786,
1727,TaSJ-Shuttle,57788,57787,
1726,TaSJ-Shuttle,57788,57788,
1727,TaSJ-Shuttle,57788,57789,
1731,TaSJ-Shuttle,57789,57784,
1730,TaSJ-Shuttle,57789,57785,
1729,TaSJ-Shuttle,57789,57786,
1728,TaSJ-Shuttle,57789,57787,
1727,TaSJ-Shuttle,57789,57788,
1726,TaSJ-Shuttle,57789,57789,
1726,Special,57784,57784,
1727,Special,57784,57785,
1728,Special,57784,57786,
1729,Special,57784,57787,
1730,Special,57784,57788,
1731,Special,57784,57789,
1727,Special,57785,57784,
1726,Special,57785,57785,
1727,Special,57785,57786,
1728,Special,57785,57787,
1729,Special,57785,57788,
1730,Special,57785,57789,
1728,Special,57786,57784,
1727,Special,57786,57785,
1726,Special,57786,57786,
1727,Special,57786,57787,
1728,Special,57786,57788,
1729,Special,57786,57789,
1729,Special,57787,57784,
1728,Special,57787,57785,
1727,Special,57787,57786,
1726,Special,57787,57787,
1727,Special,57787,57788,
1728,Special,57787,57789,
1730,Special,57788,57784,
1729,Special,57788,57785,
1728,Special,57788,57786,
1727,Special,57788,57787,
1726,Special,57788,57788,
1727,Special,57788,57789,
1731,Special,57789,57784,
1730,Special,57789,57785,
1729,Special,57789,57786,
1728,Special,57789,57787,
1727,Special,57789,57788,
1726,Special,57789,57789,
1726,Giants Special,57784,57784,
1727,Giants Special,57784,57785,
1728,Giants Special,57784,57786,
1729,Giants Special,57784,57787,
1730,Giants Special,57784,57788,
1731,Giants Special,57784,57789,
1727,Giants Special,57785,57784,
1726,Giants Special,57785,57785,
1727,Giants Special,57785,57786,
1728,Giants Special,57785,57787,
1729,Giants Special,57785,57788,
1730,Giants Special,57785,57789,
1728,Giants Special,57786,57784,
1727,Giants Special,57786,57785,
1726,Giants Special,57786,57786,
1727,Giants Special,57786,57787,
1728,Giants Special,57786,57788,
1729,Giants Special,57786,57789,
1729,Giants Special,57787,57784,
1728,Giants Special,57787,57785,
1727,Giants Special,57787,57786,
1726,Giants Special,57787,57787,
1727,Giants Special,57787,57788,
1728,Giants Special,57787,57789,
1730,Giants Special,57788,57784,
1729,Giants Special,57788,57785,
1728,Giants Special,57788,57786,
1727,Giants Special,57788,57787,
1726,Giants Special,57788,57788,
1727,Giants Special,57788,57789,
1731,Giants Special,57789,57784,
1730,Giants Special,57789,57785,
1729,Giants Special,57789,57786,
1728,Giants Special,57789,57787,
1727,Giants Special,57789,57788,
1726,Giants Special,57789,57789,
