trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"104","5:25:00","5:25:00","70012","1","Tamien","0","0",,1
"104","5:29:00","5:29:00","70022","2","Tamien","0","0",,1
"104","5:34:00","5:34:00","70032","3","Tamien","0","0",,1
"104","5:40:00","5:40:00","70042","4","Tamien","0","0",,1
"104","5:44:00","5:44:00","70052","5","Tamien","0","0",,1
"104","5:48:00","5:48:00","70062","6","Tamien","0","0",,1
"104","5:53:00","5:53:00","70082","7","Tamien","0","0",,1
"104","5:57:00","5:57:00","70092","8","Tamien","0","0",,1
"104","6:00:00","6:00:00","70102","9","Tamien","0","0",,1
"104","6:03:00","6:03:00","70112","10","Tamien","0","0",,1
"104","6:07:00","6:07:00","70122","11","Tamien","0","0",,1
"104","6:10:00","6:10:00","70132","12","Tamien","0","0",,1
"104","6:15:00","6:15:00","70142","13","Tamien","0","0",,1
"104","6:20:00","6:20:00","70162","14","Tamien","0","0",,1
"104","6:24:00","6:24:00","70172","15","Tamien","0","0",,1
"104","6:28:00","6:28:00","70192","16","Tamien","0","0",,1
"104","6:32:00","6:32:00","70202","17","Tamien","0","0",,1
"104","6:37:00","6:37:00","70212","18","Tamien","0","0",,1
"104","6:42:00","6:42:00","70222","19","Tamien","0","0",,1
"104","6:46:00","6:46:00","70232","20","Tamien","0","0",,1
"104","6:51:00","6:51:00","70242","21","Tamien","0","0",,1
"104","7:01:00","7:01:00","70262","22","Tamien","0","0",,1
"104","7:06:00","7:06:00","70272","23","Tamien","0","0",,1
"192","20:30:00","20:30:00","70012","1","Tamien","0","0",,1
"192","20:34:00","20:34:00","70022","2","Tamien","0","0",,1
"192","20:39:00","20:39:00","70032","3","Tamien","0","0",,1
"192","20:46:00","20:46:00","70042","4","Tamien","0","0",,1
"192","20:50:00","20:50:00","70052","5","Tamien","0","0",,1
"192","20:56:00","20:56:00","70062","6","Tamien","0","0",,1
"192","21:01:00","21:01:00","70082","7","Tamien","0","0",,1
"192","21:04:00","21:04:00","70092","8","Tamien","0","0",,1
"192","21:08:00","21:08:00","70102","9","Tamien","0","0",,1
"192","21:11:00","21:11:00","70112","10","Tamien","0","0",,1
"192","21:15:00","21:15:00","70122","11","Tamien","0","0",,1
