route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Local,72981,104,Tamien Caltrain Station,0,,cal_sf_tam,104,1,1
Local,72981,192,Tamien Caltrain Station,0,,cal_sf_tam,192,1,1
Local,72981,194,Tamien Caltrain Station,0,,cal_sf_tam,194,1,1
Local,72981,198,San Jose Diridon Caltrain Station,0,,cal_sf_sj,198,1,1
Local,72981,102,San Jose Diridon Caltrain Station,0,,cal_sf_sj,102,1,1
Local,72981,134,San Jose Diridon Caltrain Station,0,,cal_sf_sj,134,1,1
Local,72981,138,San Jose Diridon Caltrain Station,0,,cal_sf_sj,138,1,1
Local,72981,142,San Jose Diridon Caltrain Station,0,,cal_sf_sj,142,1,1
Local,72981,146,San Jose Diridon Caltrain Station,0,,cal_sf_sj,146,1,1
Local,72981,150,San Jose Diridon Caltrain Station,0,,cal_sf_sj,150,1,1
Local,72981,152,San Jose Diridon Caltrain Station,0,,cal_sf_sj,152,1,1
Local,72981,190,San Jose Diridon Caltrain Station,0,,cal_sf_sj,190,1,1
Local,72981,196,San Jose Diridon Caltrain Station,0,,cal_sf_sj,196,1,1
Local,72983,444,San Jose Diridon Caltrain Station,0,,cal_sf_sj,444,1,1
Local,72982,422,San Jose Diridon Caltrain Station,0,,cal_sf_sj,422,1,1
Local,72982,424,San Jose Diridon Caltrain Station,0,,cal_sf_sj,424,1,1
Local,72982,426,San Jose Diridon Caltrain Station,0,,cal_sf_sj,426,1,1
Local,72982,428,San Jose Diridon Caltrain Station,0,,cal_sf_sj,428,1,1
Local,72982,430,San Jose Diridon Caltrain Station,0,,cal_sf_sj,430,1,1
Local,72982,432,San Jose Diridon Caltrain Station,0,,cal_sf_sj,432,1,1
Local,72982,434,San Jose Diridon Caltrain Station,0,,cal_sf_sj,434,1,1
Local,72982,436,San Jose Diridon Caltrain Station,0,,cal_sf_sj,436,1,1
Local,72982,438,San Jose Diridon Caltrain Station,0,,cal_sf_sj,438,1,1
Local,72982,440,San Jose Diridon Caltrain Station,0,,cal_sf_sj,440,1,1
Local,72983,442,San Jose Diridon Caltrain Station,0,,cal_sf_sj,442,1,1
Local,72983,421,San Francisco Caltrain Station,1,,cal_sj_sf,421,1,1
Local,72982,423,San Francisco Caltrain Station,1,,cal_sj_sf,423,1,1
Local,72982,425,San Francisco Caltrain Station,1,,cal_sj_sf,425,1,1
Local,72982,427,San Francisco Caltrain Station,1,,cal_sj_sf,427,1,1
Local,72982,429,San Francisco Caltrain Station,1,,cal_sj_sf,429,1,1
Local,72982,431,San Francisco Caltrain Station,1,,cal_sj_sf,431,1,1
Local,72982,433,San Francisco Caltrain Station,1,,cal_sj_sf,433,1,1
Local,72982,435,San Francisco Caltrain Station,1,,cal_sj_sf,435,1,1
Local,72982,437,San Francisco Caltrain Station,1,,cal_sj_sf,437,1,1
Local,72982,439,San Francisco Caltrain Station,1,,cal_sj_sf,439,1,1
Local,72982,441,San Francisco Caltrain Station,1,,cal_sj_sf,441,1,1
Local,72983,443,San Francisco Caltrain Station,1,,cal_sj_sf,443,1,1
Local,72981,101,San Francisco Caltrain Station,1,,cal_sj_sf,101,1,1
Local,72981,135,San Francisco Caltrain Station,1,,cal_sj_sf,135,1,1
Local,72981,139,San Francisco Caltrain Station,1,,cal_sj_sf,139,1,1
Local,72981,143,San Francisco Caltrain Station,1,,cal_sj_sf,143,1,1
Local,72981,147,San Francisco Caltrain Station,1,,cal_sj_sf,147,1,1
Local,72981,151,San Francisco Caltrain Station,1,,cal_sj_sf,151,1,1
Local,72981,155,San Francisco Caltrain Station,1,,cal_sj_sf,155,1,1
Local,72981,191,San Francisco Caltrain Station,1,,cal_sj_sf,191,1,1
Local,72981,193,San Francisco Caltrain Station,1,,cal_sj_sf,193,1,1
Local,72981,199,San Francisco Caltrain Station,1,,cal_sj_sf,199,1,1
Local,72981,156,Gilroy Caltrain Station,0,,cal_sf_gil,156,1,1
Local,72981,103,San Francisco Caltrain Station,1,,cal_tam_sf,103,1,1
