service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72801,0,0,0,0,0,1,0,20180129,20190101
72802,1,1,1,1,1,0,0,20180129,20190101
72803,1,1,1,1,1,0,0,20190528,20190607
72804,1,1,1,1,1,0,0,20190423,20190523
72805,1,1,1,1,1,0,0,20190401,20190418
73394,1,1,1,1,1,0,0,20190311,20190322
73395,1,1,1,1,1,0,0,20190212,20190307
74008,1,1,1,1,1,0,0,20190122,20190208
74009,1,1,1,1,1,0,0,20190107,20190118
74010,1,1,1,1,1,0,0,20181126,20181219
74368,1,1,1,1,1,0,0,20181113,20181116
74369,1,1,1,1,1,0,0,20181105,20181109
74370,1,1,1,1,1,0,0,20181009,20181101
74371,1,1,1,1,1,0,0,20180815,20181005
74372,0,0,0,0,0,1,0,20180701,20190630
74373,1,1,1,1,1,0,0,20180701,20190630
74374,0,0,0,0,1,0,0,20180701,20190630
74375,1,1,1,1,0,0,0,20180701,20190630
