service_id,date,exception_type
72802,20190101,2
72802,20181225,2
72802,20181122,2
72802,20180903,2
72803,20190101,2
72803,20181225,2
72803,20181122,2
72803,20180903,2
72804,20190101,2
72804,20181225,2
72804,20181122,2
72804,20180903,2
72805,20190101,2
72805,20181225,2
72805,20181122,2
72805,20180903,2
73394,20190101,2
73394,20181225,2
73394,20181122,2
73394,20180903,2
73395,20190101,2
73395,20181225,2
73395,20181122,2
73395,20180903,2
74008,20190101,2
74008,20181225,2
74008,20181122,2
74008,20180903,2
74009,20190101,2
74009,20181225,2
74009,20181122,2
74009,20180903,2
74010,20190101,2
74010,20181225,2
74010,20181122,2
74010,20180903,2
74368,20190101,2
74368,20181225,2
74368,20181122,2
74368,20180903,2
74369,20190101,2
74369,20181225,2
74369,20181122,2
74369,20180903,2
74370,20190101,2
74370,20181225,2
74370,20181122,2
74370,20180903,2
74371,20190101,2
74371,20181225,2
74371,20181122,2
74371,20180903,2
74373,20190101,2
74373,20181225,2
74373,20181122,2
74373,20180903,2
74375,20190101,2
74375,20181225,2
74375,20181122,2
74375,20180903,2
