route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"2","FS",2,Solano Town Ctr/FF Vacaville Train Station,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-2/","749e4a","ffffff"
"3","FS",3,FTC/Solano Town Center/Walmart,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-3//","aa3942","ffffff"
"BLUE","FS",BLUE,PH BART/FTC/Vacaville/Dixon/Davis/Sac,"Service between Pleasant Hill BART and Sacramento.",3,"","165ba2","000000"
"GX","FS",GX,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,"",3,"","05bb5e","000000"
"1","FS",1,FTC/Walmart,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-1/","5587b3","ffffff"
"8","FS",8,Cordelia Library/Oakbrook Dr,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-8/","75488a","ffffff"
"7AT3","FS",7AT3,Green Valley MS,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/","c06b3f","ffffff"
"4","FS",4,Smart & Final/Travis Air Force Base,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-4/","353983","ffffff"
"5","FS",5,FTC/Suisun Senior Center,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-5//","50733e","ffffff"
"7","FS",7,FTC/Solano College/Cordelia Library,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7/","c06b3f","ffffff"
"7BT","FS",7BT,Solano Town Center,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/","e1a323","000000"
"9","FS",9,Suisun Senior Center/Suisun City Walmart,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-9/","a55828","ffffff"
"7AT","FS",7AT,Rodriguez High School,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/","c06b3f","ffffff"
"6","FS",6,Solano Town Ctr/Suisun Senior Ctr/Lawler Ranch,"",3,"http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-6/","2b579a","ffffff"
