trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_214639_b_6775_tn_1","6:45:00","6:45:00","75555","1",,"0","0","0.00000000",1
"t_214639_b_6775_tn_1","6:53:00","6:53:00","75051","2",,"0","0","3868.02569819",1
"t_214639_b_6775_tn_1",,,75052,3,,"0","0",,0
"t_214639_b_6775_tn_1",,,75053,4,,"0","0",,0
"t_214639_b_6775_tn_1",,,75054,5,,"0","0",,0
"t_214639_b_6775_tn_1",,,75055,6,,"0","0",,0
"t_214639_b_6775_tn_1",,,75056,7,,"0","0",,0
"t_214639_b_6775_tn_1",,,75057,8,,"0","0",,0
"t_214639_b_6775_tn_1","7:00:00","7:00:00","75058","9",,"0","0","6968.80673969",1
"t_214639_b_6775_tn_1",,,75059,10,,"0","0",,0
"t_214639_b_6775_tn_1",,,75060,11,,"0","0",,0
"t_214639_b_6775_tn_1",,,75061,12,,"0","0",,0
"t_214639_b_6775_tn_1","7:04:00","7:04:00","75010","13",,"0","0","8626.86628254",1
"t_214639_b_6775_tn_1",,,75012,14,,"0","0",,0
"t_214639_b_6775_tn_1",,,75013,15,,"0","0",,0
"t_214639_b_6775_tn_1",,,75265,16,,"0","0",,0
"t_214639_b_6775_tn_1",,,75323,17,,"0","0",,0
"t_214639_b_6775_tn_1",,,75327,18,,"0","0",,0
"t_214639_b_6775_tn_1","7:11:00","7:11:00","75325","19",,"0","0","11882.58081579",1
"t_214637_b_6775_tn_1","7:15:00","7:15:00","75555","1",,"0","0","0.00000000",1
"t_214637_b_6775_tn_1","7:23:00","7:23:00","75051","2",,"0","0","3868.02569819",1
"t_214637_b_6775_tn_1",,,75052,3,,"0","0",,0
"t_214637_b_6775_tn_1",,,75053,4,,"0","0",,0
"t_214637_b_6775_tn_1",,,75054,5,,"0","0",,0
"t_214637_b_6775_tn_1",,,75055,6,,"0","0",,0
"t_214637_b_6775_tn_1",,,75056,7,,"0","0",,0
"t_214637_b_6775_tn_1",,,75057,8,,"0","0",,0
"t_214637_b_6775_tn_1","7:30:00","7:30:00","75058","9",,"0","0","6968.80673969",1
"t_214637_b_6775_tn_1",,,75059,10,,"0","0",,0
"t_214637_b_6775_tn_1",,,75060,11,,"0","0",,0
"t_214637_b_6775_tn_1",,,75061,12,,"0","0",,0
"t_214637_b_6775_tn_1","7:34:00","7:34:00","75010","13",,"0","0","8626.86628254",1
"t_214637_b_6775_tn_1",,,75012,14,,"0","0",,0
"t_214637_b_6775_tn_1",,,75013,15,,"0","0",,0
"t_214637_b_6775_tn_1",,,75265,16,,"0","0",,0
"t_214637_b_6775_tn_1",,,75323,17,,"0","0",,0
"t_214637_b_6775_tn_1",,,75327,18,,"0","0",,0
"t_214637_b_6775_tn_1","7:41:00","7:41:00","75325","19",,"0","0","11882.58081579",1
"t_214639_b_6775_tn_2","7:45:00","7:45:00","75555","1",,"0","0","0.00000000",1
"t_214639_b_6775_tn_2","7:53:00","7:53:00","75051","2",,"0","0","3868.02569819",1
"t_214639_b_6775_tn_2",,,75052,3,,"0","0",,0
"t_214639_b_6775_tn_2",,,75053,4,,"0","0",,0
"t_214639_b_6775_tn_2",,,75054,5,,"0","0",,0
"t_214639_b_6775_tn_2",,,75055,6,,"0","0",,0
"t_214639_b_6775_tn_2",,,75056,7,,"0","0",,0
"t_214639_b_6775_tn_2",,,75057,8,,"0","0",,0
"t_214639_b_6775_tn_2","8:00:00","8:00:00","75058","9",,"0","0","6968.80673969",1
"t_214639_b_6775_tn_2",,,75059,10,,"0","0",,0
"t_214639_b_6775_tn_2",,,75060,11,,"0","0",,0
"t_214639_b_6775_tn_2",,,75061,12,,"0","0",,0
"t_214639_b_6775_tn_2","8:04:00","8:04:00","75010","13",,"0","0","8626.86628254",1
"t_214639_b_6775_tn_2",,,75012,14,,"0","0",,0
"t_214639_b_6775_tn_2",,,75013,15,,"0","0",,0
"t_214639_b_6775_tn_2",,,75265,16,,"0","0",,0
"t_214639_b_6775_tn_2",,,75323,17,,"0","0",,0
"t_214639_b_6775_tn_2",,,75327,18,,"0","0",,0
