shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
LF0018,-122.3915965,37.7962090008,10001,
LF0018,-122.389855978,37.798452822,10002,
LF0018,-122.41426286,37.8664249533,10003,
LF0018,-122.489549924,37.9311962561,10004,
LF0018,-122.508706773,37.9453401723,10005,
LF0019,-122.508706773,37.9453401723,10001,
LF0019,-122.489549924,37.9311962561,10002,
LF0019,-122.41426286,37.8664249533,10003,
LF0019,-122.389855978,37.798452822,10004,
LF0019,-122.3915965,37.7962090008,10005,
SF0008,-122.3915965,37.7962090008,10001,
SF0008,-122.389855978,37.798452822,10002,
SF0008,-122.421707109,37.8436669865,10003,
SF0008,-122.439571715,37.8501449494,10004,
SF0008,-122.478145211,37.8563752154,10005,
SF0008,-122.47833742,37.8563725429,10006,
SF0008,-122.478337766,37.8563725371,10007,
SF0009,-122.478337766,37.8563725371,10001,
SF0009,-122.478718441,37.8564216426,10002,
SF0009,-122.47932434,37.8568095095,10003,
SF0009,-122.479446345,37.8566816547,10004,
SF0009,-122.4786823,37.8562486439,10005,
SF0009,-122.478718441,37.8564216426,10006,
SF0009,-122.47833742,37.8563725429,10007,
SF0009,-122.478145211,37.8563752154,10008,
SF0009,-122.439571715,37.8501449494,10009,
SF0009,-122.421707109,37.8436669865,10010,
SF0009,-122.389855978,37.798452822,10011,
SF0009,-122.3915965,37.7962090008,10012,
TF0005,-122.3915965,37.7962090008,10001,
TF0005,-122.456307504,37.8732112366,10002,
TF0006,-122.456307504,37.8732112366,10001,
TF0006,-122.3915965,37.7962090008,10002,
