trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"5956628","6:20:00","6:20:00","43000","1",,"0","0",,1
"5956628","6:50:00","6:50:00","43004","2",,"0","0",,1
"5956629","7:10:00","7:10:00","43000","1",,"0","0",,1
"5956629","7:40:00","7:40:00","43004","2",,"0","0",,1
"5956630","7:35:00","7:35:00","43000","1",,"0","0",,1
"5956630","8:05:00","8:05:00","43004","2",,"0","0",,1
"5956631","8:30:00","8:30:00","43000","1",,"0","0",,1
"5956631","9:05:00","9:05:00","43004","2",,"0","0",,1
"5956632","9:10:00","9:10:00","43000","1",,"0","0",,1
"5956632","9:45:00","9:45:00","43004","2",,"0","0",,1
"5956633","10:10:00","10:10:00","43000","1",,"0","0",,1
"5956633","10:45:00","10:45:00","43004","2",,"0","0",,1
"5956634","10:55:00","10:55:00","43000","1",,"0","0",,1
"5956634","11:30:00","11:30:00","43004","2",,"0","0",,1
"5956635","11:55:00","11:55:00","43000","1",,"0","0",,1
"5956635","12:30:00","12:30:00","43004","2",,"0","0",,1
"5956649","12:25:00","12:25:00","43000","1",,"0","0",,1
"5956649","13:00:00","13:00:00","43004","2",,"0","0",,1
"5956698","12:40:00","12:40:00","43000","1",,"0","0",,1
"5956698","13:30:00","13:30:00","43004","2",,"0","0",,1
"5956724","12:40:00","12:40:00","43000","1",,"0","0",,1
"5956724","13:30:00","13:30:00","43004","2",,"0","0",,1
"5956636","13:25:00","13:25:00","43000","1",,"0","0",,1
"5956636","14:00:00","14:00:00","43004","2",,"0","0",,1
"5956637","15:00:00","15:00:00","43000","1",,"0","0",,1
"5956637","15:30:00","15:30:00","43004","2",,"0","0",,1
"5956638","15:30:00","15:30:00","43000","1",,"0","0",,1
"5956638","16:00:00","16:00:00","43004","2",,"0","0",,1
"5956699","15:45:00","15:45:00","43000","1",,"0","0",,1
"5956699","16:35:00","16:35:00","43004","2",,"0","0",,1
"5956725","15:45:00","15:45:00","43000","1",,"0","0",,1
"5956725","16:35:00","16:35:00","43004","2",,"0","0",,1
"5956639","16:00:00","16:00:00","43000","1",,"0","0",,1
"5956639","16:30:00","16:30:00","43004","2",,"0","0",,1
"5956640","16:30:00","16:30:00","43000","1",,"0","0",,1
"5956640","17:00:00","17:00:00","43004","2",,"0","0",,1
"5956641","17:00:00","17:00:00","43000","1",,"0","0",,1
"5956641","17:30:00","17:30:00","43004","2",,"0","0",,1
"5956642","17:30:00","17:30:00","43000","1",,"0","0",,1
"5956642","18:00:00","18:00:00","43004","2",,"0","0",,1
"5956643","18:00:00","18:00:00","43000","1",,"0","0",,1
"5956643","18:30:00","18:30:00","43004","2",,"0","0",,1
"5956700","18:25:00","18:25:00","43000","1",,"0","0",,1
"5956700","19:15:00","19:15:00","43004","2",,"0","0",,1
"5956726","18:25:00","18:25:00","43000","1",,"0","0",,1
"5956726","19:15:00","19:15:00","43004","2",,"0","0",,1
"5956644","18:30:00","18:30:00","43000","1",,"0","0",,1
"5956644","19:00:00","19:00:00","43004","2",,"0","0",,1
"5956645","19:20:00","19:20:00","43000","1",,"0","0",,1
"5956645","19:50:00","19:50:00","43004","2",,"0","0",,1
"5956701","19:25:00","19:25:00","43000","1",,"0","0",,1
"5956701","20:10:00","20:10:00","43004","2",,"0","0",,1
"5956727","19:25:00","19:25:00","43000","1",,"0","0",,1
"5956727","20:10:00","20:10:00","43004","2",,"0","0",,1
"5956646","20:10:00","20:10:00","43000","1",,"0","0",,1
"5956646","20:40:00","20:40:00","43004","2",,"0","0",,1
"5956647","21:35:00","21:35:00","43000","1",,"0","0",,1
"5956647","22:05:00","22:05:00","43004","2",,"0","0",,1
"5956608","5:45:00","5:45:00","43004","1",,"0","0",,1
"5956608","6:15:00","6:15:00","43000","2",,"0","0",,1
"5956609","6:35:00","6:35:00","43004","1",,"0","0",,1
"5956609","7:05:00","7:05:00","43000","2",,"0","0",,1
"5956610","7:00:00","7:00:00","43004","1",,"0","0",,1
"5956610","7:30:00","7:30:00","43000","2",,"0","0",,1
"5956611","7:30:00","7:30:00","43004","1",,"0","0",,1
"5956611","8:00:00","8:00:00","43000","2",,"0","0",,1
"5956612","7:50:00","7:50:00","43004","1",,"0","0",,1
"5956612","8:20:00","8:20:00","43000","2",,"0","0",,1
"5956613","8:20:00","8:20:00","43004","1",,"0","0",,1
"5956613","8:50:00","8:50:00","43000","2",,"0","0",,1
"5956614","8:50:00","8:50:00","43004","1",,"0","0",,1
"5956614","9:20:00","9:20:00","43000","2",,"0","0",,1
"5956615","9:20:00","9:20:00","43004","1",,"0","0",,1
"5956615","9:55:00","9:55:00","43000","2",,"0","0",,1
"5956694","9:30:00","9:30:00","43004","1",,"0","0",,1
"5956694","10:30:00","10:30:00","43000","2",,"0","0",,1
"5956720","9:30:00","9:30:00","43004","1",,"0","0",,1
"5956720","10:30:00","10:30:00","43000","2",,"0","0",,1
"5956616","10:10:00","10:10:00","43004","1",,"0","0",,1
"5956616","10:45:00","10:45:00","43000","2",,"0","0",,1
"5956617","11:10:00","11:10:00","43004","1",,"0","0",,1
"5956617","11:45:00","11:45:00","43000","2",,"0","0",,1
"5956648","11:40:00","11:40:00","43004","1",,"0","0",,1
"5956648","12:15:00","12:15:00","43000","2",,"0","0",,1
"5956721","11:40:00","11:40:00","43004","1",,"0","0",,1
"5956721","12:30:00","12:30:00","43000","2",,"0","0",,1
"5956695","11:40:00","11:40:00","43004","1",,"0","0",,1
"5956695","12:30:00","12:30:00","43000","2",,"0","0",,1
"5956618","12:40:00","12:40:00","43004","1",,"0","0",,1
"5956618","13:15:00","13:15:00","43000","2",,"0","0",,1
"5956696","13:40:00","13:40:00","43004","1",,"0","0",,1
"5956696","14:30:00","14:30:00","43000","2",,"0","0",,1
"5956722","13:40:00","13:40:00","43004","1",,"0","0",,1
"5956722","14:30:00","14:30:00","43000","2",,"0","0",,1
"5956619","14:15:00","14:15:00","43004","1",,"0","0",,1
"5956619","14:50:00","14:50:00","43000","2",,"0","0",,1
"5956620","14:50:00","14:50:00","43004","1",,"0","0",,1
"5956620","15:25:00","15:25:00","43000","2",,"0","0",,1
"5956621","15:40:00","15:40:00","43004","1",,"0","0",,1
"5956621","16:15:00","16:15:00","43000","2",,"0","0",,1
"5956622","16:10:00","16:10:00","43004","1",,"0","0",,1
"5956622","16:45:00","16:45:00","43000","2",,"0","0",,1
"5956697","16:45:00","16:45:00","43004","1",,"0","0",,1
"5956697","17:35:00","17:35:00","43000","2",,"0","0",,1
"5956723","16:45:00","16:45:00","43004","1",,"0","0",,1
"5956723","17:35:00","17:35:00","43000","2",,"0","0",,1
"5956623","17:10:00","17:10:00","43004","1",,"0","0",,1
"5956623","17:45:00","17:45:00","43000","2",,"0","0",,1
"5956624","17:40:00","17:40:00","43004","1",,"0","0",,1
"5956624","18:15:00","18:15:00","43000","2",,"0","0",,1
"5956625","18:40:00","18:40:00","43004","1",,"0","0",,1
"5956625","19:10:00","19:10:00","43000","2",,"0","0",,1
"5956626","19:25:00","19:25:00","43004","1",,"0","0",,1
"5956626","20:00:00","20:00:00","43000","2",,"0","0",,1
"5956627","20:50:00","20:50:00","43004","1",,"0","0",,1
"5956627","21:25:00","21:25:00","43000","2",,"0","0",,1
"5956583","7:40:00","7:40:00","43000","1",,"0","0",,1
"5956583","8:10:00","8:10:00","43003","2",,"0","0",,1
"5956584","10:00:00","10:00:00","43000","1",,"0","0",,1
"5956584","10:30:00","10:30:00","43003","2",,"0","0",,1
"5956686","10:40:00","10:40:00","43000","1",,"0","0",,1
"5956686","11:10:00","11:10:00","43003","2",,"0","0",,1
"5956713","10:40:00","10:40:00","43000","1",,"0","0",,1
"5956713","11:10:00","11:10:00","43003","2",,"0","0",,1
"5956585","11:35:00","11:35:00","43000","1",,"0","0",,1
"5956585","12:05:00","12:05:00","43003","2",,"0","0",,1
"5956692","12:00:00","12:00:00","43000","1",,"0","0",,1
"5956692","12:30:00","12:30:00","43003","2",,"0","0",,1
"5956714","12:00:00","12:00:00","43000","1",,"0","0",,1
"5956714","12:30:00","12:30:00","43003","2",,"0","0",,1
"5956586","12:55:00","12:55:00","43000","1",,"0","0",,1
"5956586","13:25:00","13:25:00","43003","2",,"0","0",,1
"5956687","13:25:00","13:25:00","43000","1",,"0","0",,1
"5956687","13:55:00","13:55:00","43003","2",,"0","0",,1
"5956715","13:25:00","13:25:00","43000","1",,"0","0",,1
"5956715","13:55:00","13:55:00","43003","2",,"0","0",,1
