route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
LF,72814,5956628,North,0,1338402,LF0018,,,
LF,72814,5956629,North,0,1338403,LF0018,,,
LF,72814,5956630,North,0,1338402,LF0018,,,
LF,72814,5956631,North,0,1338403,LF0018,,,
LF,72814,5956632,North,0,1338402,LF0018,,,
LF,72814,5956633,North,0,1338403,LF0018,,,
LF,72814,5956634,North,0,1338402,LF0018,,,
LF,72814,5956635,North,0,1338403,LF0018,,,
LF,72814,5956649,North,0,1338402,LF0018,,,
LF,72815,5956698,North,0,1338409,LF0018,,,
LF,72813,5956724,North,0,1338411,LF0018,,,
LF,72814,5956636,North,0,1338403,LF0018,,,
LF,72814,5956637,North,0,1338402,LF0018,,,
LF,72814,5956638,North,0,1338403,LF0018,,,
LF,72815,5956699,North,0,1338409,LF0018,,,
LF,72813,5956725,North,0,1338411,LF0018,,,
LF,72814,5956639,North,0,1338405,LF0018,,,
LF,72814,5956640,North,0,1338402,LF0018,,,
LF,72814,5956641,North,0,1338403,LF0018,,,
LF,72814,5956642,North,0,1338405,LF0018,,,
LF,72814,5956643,North,0,1338402,LF0018,,,
LF,72815,5956700,North,0,1338408,LF0018,,,
LF,72813,5956726,North,0,1338410,LF0018,,,
LF,72814,5956644,North,0,1338403,LF0018,,,
LF,72814,5956645,North,0,1338402,LF0018,,,
LF,72815,5956701,North,0,1338409,LF0018,,,
LF,72813,5956727,North,0,1338411,LF0018,,,
LF,72814,5956646,North,0,1338403,LF0018,,,
LF,72814,5956647,North,0,1338403,LF0018,,,
LF,72814,5956608,South,1,1338402,LF0019,,,
LF,72814,5956609,South,1,1338403,LF0019,,,
LF,72814,5956610,South,1,1338402,LF0019,,,
LF,72814,5956611,South,1,1338404,LF0019,,,
LF,72814,5956612,South,1,1338403,LF0019,,,
LF,72814,5956613,South,1,1338402,LF0019,,,
LF,72814,5956614,South,1,1338404,LF0019,,,
LF,72814,5956615,South,1,1338403,LF0019,,,
LF,72815,5956694,South,1,1338408,LF0019,,,
LF,72813,5956720,South,1,1338410,LF0019,,,
LF,72814,5956616,South,1,1338402,LF0019,,,
LF,72814,5956617,South,1,1338403,LF0019,,,
LF,72814,5956648,South,1,1338402,LF0019,,,
LF,72813,5956721,South,1,1338411,LF0019,,,
LF,72815,5956695,South,1,1338409,LF0019,,,
LF,72814,5956618,South,1,1338403,LF0019,,,
LF,72815,5956696,South,1,1338409,LF0019,,,
LF,72813,5956722,South,1,1338411,LF0019,,,
LF,72814,5956619,South,1,1338402,LF0019,,,
