stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"40332","40332",1135 Sir Francis Drake Blvd,37.959251,-122.55246,"57991","","","","","",""
"41094","41094",1525 Francisco Blvd E,37.952526,-122.497055,"57991","","","","","",""
"40054","40054",1st St & Stevenson St,37.790691,-122.398727,"57989","","","","","",""
"40516","40516",2535 Sir Francis Drake Blvd,37.99704,-122.599068,"57991","","","","","",""
"40517","40517",2535 Sir Francis Drake Blvd,37.997185,-122.599068,"57991","","","","","",""
"40427","40427",4th St & Court St,37.973133,-122.527283,"57991","","","","","",""
"40428","40428",4th St & Court St,37.972992,-122.526878,"57991","","","","","",""
"40425","40425",4th St & C St,37.973499,-122.530945,"57991","","","","","",""
"40825","40825",4th St & C St,38.232414,-122.638748,"57993","","","","","",""
"40426","40426",4th St & C St,37.973354,-122.530548,"57991","","","","","",""
"40839","40839",4th St & C St,38.232395,-122.638901,"57993","","","","","",""
"40424","40424",4th St & E St,37.973717,-122.533447,"57991","","","","","",""
"40423","40423",4th St & E St,37.973564,-122.533058,"57991","","","","","",""
"40012","40012",4th St & Folsom St,37.781723,-122.400894,"57989","","","","","",""
"40419","40419",4th St & Greenfield Ave,37.975113,-122.544228,"57991","","","","","",""
"40420","40420",4th St & Greenfield Ave,37.974857,-122.544212,"57991","","","","","",""
"40421","40421",4th St & Ida St,37.974159,-122.537987,"57991","","","","","",""
"40422","40422",4th St & Ida St,37.974075,-122.538231,"57991","","","","","",""
"40416","40416",4th St & Ross Valley Dr,37.976124,-122.550194,"57991","","","","","",""
"40418","40418",4th St & Santa Margarita Ave,37.976334,-122.549873,"57991","","","","","",""
"42242","42242",7th St & Folsom St,37.77689,-122.407967,"57989","","","","","",""
"40019","40019",7th St & Market St,37.780727,-122.41275,"57989","","","","","",""
"40020","40020",8th St & Mission St,37.77729,-122.413071,"57989","","","","","",""
"40773","40773",Alameda del Prado Bus Pad,38.049103,-122.532364,"57992","","","","","",""
"42011","42011",Alameda del Prado Bus Pad,38.048565,-122.531723,"57992","","","","","",""
"40108","40108",Alexander Ave & Danes Dr,37.838066,-122.483116,"57990","","","","","",""
"40106","40106",Alexander Ave & East Rd,37.844055,-122.478142,"57990","","","","","",""
"40107","40107",Alexander Ave & East Rd,37.844906,-122.477806,"57990","","","","","",""
"40151","40151",Almonte Blvd & Miller Ave,37.887188,-122.524834,"57990","","","","","",""
"40152","40152",Almonte Blvd & Miller Ave,37.887569,-122.52475,"57990","","","","","",""
"40153","40153",Almonte Blvd & Rosemont Ave,37.883987,-122.524841,"57990","","","","","",""
"40154","40154",Almonte Blvd & Rosemont Ave,37.883823,-122.52462,"57990","","","","","",""
"40438","40438",Andersen Dr & Du Bois St,37.963638,-122.517136,"57991","","","","","",""
"40439","40439",Andersen Dr & Du Bois St,37.963593,-122.51741,"57991","","","","","",""
"40440","40440",Andersen Dr & Irwin St,37.966274,-122.521782,"57991","","","","","",""
"40441","40441",Andersen Dr & Irwin St,37.966213,-122.522064,"57991","","","","","",""
"40468","40468",Andersen Dr & Jacoby St,37.957222,-122.507446,"57991","","","","","",""
"40470","40470",Andersen Dr & Simms St,37.957466,-122.507591,"57991","","","","","",""
"40436","40436",Andersen Dr & W Francisco Blvd,37.960533,-122.511795,"57991","","","","","",""
"40437","40437",Andersen Dr & W Francisco Blvd,37.960323,-122.511887,"57991","","","","","",""
"41045","41045",Atherton Ave Bus Pad,38.11729,-122.56575,"57992","","","","","",""
"41044","41044",Atherton Ave Bus Pad,38.116837,-122.56427,"57992","","","","","",""
"40066","40066",Battery St & Broadway,37.79821,-122.401039,"57989","","","","","",""
"40047","40047",Battery St & Filbert St,37.8022,-122.401886,"57989","","","","","",""
"40058","40058",Battery St & Green St,37.800591,-122.401535,"57989","","","","","",""
"40049","40049",Battery St & Jackson St,37.796833,-122.400764,"57989","","","","","",""
"40053","40053",Battery St & Pine St,37.791996,-122.399689,"57989","","","","","",""
"40051","40051",Battery St & Sacramento St,37.794407,-122.400208,"57989","","","","","",""
"40198","40198",Beach Rd & Juanita Ln,37.87505,-122.459373,"57990","","","","","",""
"40197","40197",Beach Rd & San Rafael Ave,37.87307,-122.463295,"57990","","","","","",""
"42249","42249",Beale St btwn Market St & Mission St,37.791882,-122.396858,"57989","","","","","",""
"42225","42225",Beale St & Howard St-Transbay Terminal,37.789757,-122.39418,"57989","","","","","",""
"41036","41036",Bellam Blvd & I-580 Off-Ramp,37.959301,-122.50666,"57991","","","","","",""
"41037","41037",Bellam Blvd & I-580 On-Ramp,37.959396,-122.506256,"57991","","","","","",""
"40466","40466",Bellam Blvd & Lisbon St,37.961201,-122.503555,"57991","","","","","",""
"42130","42130",Belvedere Dr & Redwood Hwy Frontage Rd,37.897804,-122.514313,"57990","","","","","",""
"40102","40102",Bridgeway & Bay St,37.856831,-122.480225,"57990","","","","","",""
"40100","40100",Bridgeway & Caledonia Av,37.858608,-122.483299,"57990","","","","","",""
"41042","41042",Bridgeway & Coloma St,37.868382,-122.502327,"57990","","","","","",""
"40095","40095",Bridgeway & Easterby St,37.861969,-122.493622,"57990","","","","","",""
"40094","40094",Bridgeway & Easterby St,37.861786,-122.493881,"57990","","","","","",""
"40090","40090",Bridgeway & Ebbtide St,37.87022,-122.5037,"57990","","","","","",""
"40101","40101",Bridgeway & El Portal,37.855904,-122.479614,"57990","","","","","",""
"40091","40091",Bridgeway & Gate 5 Rd,37.871155,-122.503876,"57990","","","","","",""
"40097","40097",Bridgeway & Napa St,37.861557,-122.489929,"57990","","","","","",""
"40096","40096",Bridgeway & Napa St,37.861065,-122.489319,"57990","","","","","",""
"40092","40092",Bridgeway & Nevada St,37.865463,-122.499229,"57990","","","","","",""
"40093","40093",Bridgeway & Nevada St,37.86528,-122.499367,"57990","","","","","",""
"40098","40098",Bridgeway & Pine St,37.859268,-122.485275,"57990","","","","","",""
"40099","40099",Bridgeway & Turney St,37.859657,-122.485893,"57990","","","","","",""
"42103","42103",Bridgeway & W Harbor Dr,37.866898,-122.501091,"57990","","","","","",""
"40523","40523",Broadway Blvd & Bolinas Ave,37.987087,-122.588791,"57991","","","","","",""
"40509","40509",Butterfield Rd & Arroyo Ave,37.99197,-122.57637,"57991","","","","","",""
"40504","40504",Butterfield Rd & Caleta Ave,37.998112,-122.576385,"57991","","","","","",""
"40505","40505",Butterfield Rd & Caleta Ave,37.998165,-122.576233,"57991","","","","","",""
"40503","40503",Butterfield Rd & Deer Hollow Rd,38.000195,-122.57502,"57991","","","","","",""
"40500","40500",Butterfield Rd & Fawn Dr,38.002186,-122.574806,"57991","","","","","",""
"40501","40501",Butterfield Rd & Fawn Dr,38.002457,-122.574722,"57991","","","","","",""
"40498","40498",Butterfield Rd & Green Valley Ct,38.004822,-122.576134,"57991","","","","","",""
"40499","40499",Butterfield Rd & Green Valley Ct,38.004879,-122.576019,"57991","","","","","",""
"40495","40495",Butterfield Rd & Katrina Ln,38.009926,-122.583725,"57991","","","","","",""
"40494","40494",Butterfield Rd & Katrina Ln,38.009834,-122.583794,"57991","","","","","",""
"40511","40511",Butterfield Rd & Meadowcroft Dr,37.988426,-122.577881,"57991","","","","","",""
"40502","40502",Butterfield Rd & Oak Knoll Dr,37.999668,-122.575584,"57991","","","","","",""
"40508","40508",Butterfield Rd & Rosemont Ave,37.990665,-122.577133,"57991","","","","","",""
"40510","40510",Butterfield Rd & Rutherford Ave,37.988693,-122.577927,"57991","","","","","",""
"40491","40491",Butterfield Rd @ San Domenico School,38.014069,-122.585091,"57991","","","","","",""
"40496","40496",Butterfield Rd & Sleepy Hollow Dr,38.00737,-122.579231,"57991","","","","","",""
"40497","40497",Butterfield Rd & Sleepy Hollow Dr,38.007633,-122.579346,"57991","","","","","",""
"40493","40493",Butterfield Rd & Van Winkle Dr,38.012352,-122.585579,"57991","","","","","",""
"40492","40492",Butterfield Rd & Van Winkle Dr,38.012249,-122.585686,"57991","","","","","",""
"40507","40507",Butterfield Rd & Woodside Dr,37.995983,-122.576584,"57991","","","","","",""
"40506","40506",Butterfield Rd & Woodside Dr,37.995033,-122.57695,"57991","","","","","",""
"42247","42247",Clay St & Front St,37.795258,-122.398842,"57989","","","","","",""
"40349","40349",Colg of Marin-College Ave & Sir Francis Drake Blvd,37.954258,-122.54863,"57991","","","","","",""
"40330","40330",Colg of Marin-College Ave & Sir Francis Drake Blvd,37.954727,-122.548241,"57991","","","","","",""
"40334","40334",Colg of Marin-Sir Francis Drake Blvd & Elm Ave,37.956234,-122.548515,"57991","","","","","",""
"40335","40335",Colg of Marin-Sir Francis Drake Blvd & Maple Ave,37.95631,-122.548172,"57991","","","","","",""
"42009","42009",College Ave & Kent Ave,37.951672,-122.549774,"57991","","","","","",""
"42020","42020",College Ave & Kent Ave,37.950897,-122.549591,"57991","","","","","",""
"42042","42042",Commerce Blvd & Arlen Dr,38.340782,-122.712273,"57993","","","","","",""
"40884","40884",Commerce Blvd & Arlen Dr,38.340309,-122.712379,"57993","","","","","",""
"40891","40891",Commerce Blvd & Enterprise Dr,38.344639,-122.712112,"57993","","","","","",""
"40892","40892",Commerce Blvd & Enterprise Dr,38.345016,-122.711708,"57993","","","","","",""
"40890","40890",Commerce Blvd N & Rohnert Park Expy,38.347446,-122.709465,"57993","","","","","",""
"40889","40889",Commerce Blvd N & Rohnert Park Expy,38.347328,-122.709656,"57993","","","","","",""
"44209","44209",Copeland St Transit Mall-Copeland St,38.236645,-122.63649,"57993","","","","","",""
"41209","41209",Copeland St Transit Mall-Copeland St,38.236607,-122.636421,"57993","","","","","",""
"40915","40915",Cotati Hub-W Sierra Ave & La Plaza,38.326157,-122.706924,"57993","","","","","",""
"42152","42152",Cutting Blvd & Carlson Blvd,37.925301,-122.337929,"57995","","","","","",""
"42155","42155",Cutting Blvd & Harbour Way,37.92511,-122.359802,"57995","","","","","",""
"42154","42154",Cutting Blvd & Harbour Way,37.925316,-122.359894,"57995","","","","","",""
"42160","42160",Cutting Blvd & Marina Bay Pkwy,37.925076,-122.347473,"57995","","","","","",""
"42161","42161",Cutting Blvd & S 23rd St,37.925293,-122.347565,"57995","","","","","",""
"42153","42153",Cutting Blvd & S 35th St,37.925156,-122.33622,"57995","","","","","",""
"42163","42163",Cutting Blvd & S 49th St,37.925568,-122.323235,"57995","","","","","",""
"42162","42162",Cutting Blvd & S 49th St,37.925377,-122.323387,"57995","","","","","",""
"42248","42248",Davis St & California St,37.793877,-122.397766,"57989","","","","","",""
"40538","40538",De La Guerra Rd & Del Ganado Rd,38.019955,-122.573318,"57991","","","","","",""
"40540","40540",Del Ganado Rd & Duran Dr,38.018585,-122.570763,"57991","","","","","",""
"40550","40550",Del Ganado Rd & Freitas Pkwy,38.013351,-122.558777,"57991","","","","","",""
"40542","40542",Del Ganado Rd & Las Ovejas Ave,38.016037,-122.566849,"57991","","","","","",""
"40543","40543",Del Ganado Rd & Las Ovejas Ave,38.016277,-122.566818,"57991","","","","","",""
"40545","40545",Del Ganado Rd & Las Raposas Rd,38.015003,-122.561836,"57991","","","","","",""
"40544","40544",Del Ganado Rd & Las Raposas Rd,38.014709,-122.561623,"57991","","","","","",""
"41098","41098",DeLong Ave Bus Pad,38.104431,-122.561378,"57992","","","","","",""
"41099","41099",DeLong Ave Bus Pad,38.104454,-122.562614,"57992","","","","","",""
"40698","40698",DeLong Ave & Reichert Ave,38.10548,-122.566467,"57992","","","","","",""
"40699","40699",DeLong Ave & Reichert Ave,38.105572,-122.56604,"57992","","","","","",""
"40117","40117",Donahue St & Buckelew St,37.876045,-122.513092,"57990","","","","","",""
"40118","40118",Donahue St & Buckelew St,37.876175,-122.513115,"57990","","","","","",""
"40120","40120",Donahue St & Drake Ave,37.873558,-122.511726,"57990","","","","","",""
"40116","40116",Donahue St & Sherwood Dr,37.876411,-122.515327,"57990","","","","","",""
"40115","40115",Donahue St & Sherwood Dr,37.876339,-122.51519,"57990","","","","","",""
"40114","40114",Donahue St & Sherwood Dr,37.876457,-122.518944,"57990","","","","","",""
"40113","40113",Donahue St & Terners Dr,37.871971,-122.511353,"57990","","","","","",""
"44113","44113",Donahue St & Terners Dr,37.872055,-122.511421,"57990","","","","","",""
"40121","40121",Drake Ave & Buckelew St,37.873203,-122.515457,"57990","","","","","",""
"40122","40122",Drake Ave & Buckelew St,37.873001,-122.515411,"57990","","","","","",""
"40124","40124",Drake Ave & Cole Dr,37.86871,-122.510666,"57990","","","","","",""
"40123","40123",Drake Ave & Cole Dr,37.868587,-122.510612,"57990","","","","","",""
"40119","40119",Drake Ave & Donahue St,37.873631,-122.512413,"57990","","","","","",""
"40126","40126",Drake Ave & Donahue St,37.871258,-122.509315,"57990","","","","","",""
"40125","40125",Drake Ave & Donahue St,37.871292,-122.509193,"57990","","","","","",""
"41007","41007",Drake Ave & Pacheco St,37.870815,-122.513428,"57990","","","","","",""
"41005","41005",Drake Ave & Pacheco St,37.870689,-122.513466,"57990","","","","","",""
"40541","40541",Duran Dr & Del Ganado Rd,38.018471,-122.570801,"57991","","","","","",""
"40135","40135",E Blithedale Ave & Alta Vista Ave,37.903568,-122.536354,"57990","","","","","",""
"41038","41038",E Blithedale Ave & Camino Alto,37.900627,-122.529175,"57990","","","","","",""
"40137","40137",E Blithedale Ave & East Dr,37.903809,-122.538666,"57990","","","","","",""
"40138","40138",E Blithedale Ave & Elm Ave,37.902077,-122.533493,"57990","","","","","",""
"40136","40136",E Blithedale Ave & Hilarita Ave,37.901711,-122.532631,"57990","","","","","",""
"40141","40141",E Blithedale Ave & Hill St,37.905258,-122.544182,"57990","","","","","",""
"40130","40130",E Blithedale Ave & Kipling Dr,37.903465,-122.519203,"57990","","","","","",""
"40131","40131",E Blithedale Ave & Lomita Dr,37.901039,-122.526245,"57990","","","","","",""
"40133","40133",E Blithedale Ave & Mesa Ave,37.90184,-122.532654,"57990","","","","","",""
"40139","40139",E Blithedale Ave & Mountain View Ave,37.905048,-122.543633,"57990","","","","","",""
"40134","40134",E Blithedale Ave & Nelson Ave,37.900665,-122.529938,"57990","","","","","",""
"40132","40132",E Blithedale Ave & Roque Moraes Dr,37.900265,-122.527687,"57990","","","","","",""
"40129","40129",E Blithedale Ave & Tower Dr,37.903687,-122.519165,"57990","","","","","",""
"40140","40140",E Blithedale Ave & Walnut Ave,37.903732,-122.539543,"57990","","","","","",""
"42183","42183",El Cerrito del Norte BART Station,37.92548,-122.31749,"57995","","","","","",""
"42151","42151",El Cerrito del Norte BART Station,37.925312,-122.317398,"57995","","","","","",""
"41097","41097",Ely Rd N & Hanford St,38.269501,-122.643394,"57993","","","","","",""
"40849","40849",Ely Rd N & York Way,38.272354,-122.646988,"57993","","","","","",""
"40848","40848",Ely Rd N & York Way,38.272041,-122.646721,"57993","","","","","",""
"42114","42114",Enfrente Rd & Salvatore Dr,38.067253,-122.538712,"57992","","","","","",""
"41207","41207",E Washington St & Ellis St,38.243645,-122.631081,"57993","","","","","",""
"41203","41203",E Washington St & Grey St,38.236343,-122.639259,"57993","","","","","",""
"41208","41208",E Washington St & Johnson St,38.244114,-122.63044,"57993","","","","","",""
"41206","41206",E Washington St & Lakeville St,38.238144,-122.635872,"57993","","","","","",""
"40855","40855",E Washington St & Maria Dr,38.252689,-122.622604,"57993","","","","","",""
"41204","41204",E Washington St & Petaluma Blvd N,38.235737,-122.640915,"57993","","","","","",""
"41205","41205",E Washington St & Vallejo Ave,38.240898,-122.633606,"57993","","","","","",""
"40006","40006",Folsom St & 2nd St,37.785843,-122.396523,"57989","","","","","",""
"40018","40018",Folsom St & 7th St,37.776989,-122.407539,"57989","","","","","",""
"41091","41091",Francisco Blvd E & Grange St,37.945137,-122.486427,"57991","","","","","",""
