route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
101X,73017,6005641,South,0,1345982,101X0046,,,
101X,73017,6005640,South,0,1345985,101X0046,,,
101X,73017,6005638,North,1,1346048,101X0042,,,
101X,73017,6005639,North,1,1345999,101X0042,,,
31,73017,6005028,South,0,1346088,310051,,,
31,73017,6005029,South,0,1346088,310051,,,
31,73017,6005026,North,1,1345840,310050,,,
31,73017,6005027,North,1,1345840,310050,,,
31,73019,5996296,North,1,1343984,310038,,,
31,74107,6000284,North,1,1344908,310038,,,
31,73017,6005024,North,1,1346082,310038,,,
31,73017,6005022,North,1,1345840,310038,,,
31,73017,6005023,North,1,1345840,310038,,,
31,73019,5996295,North,1,1343985,310038,,,
31,74107,6000282,North,1,1344909,310038,,,
31,73019,5996294,North,1,1344010,310038,,,
31,74107,6000283,North,1,1344929,310038,,,
31,73017,6005021,South,0,1346088,310039,,,
31,73019,5996292,South,0,1343983,310039,,,
31,74107,6000281,South,0,1344916,310039,,,
31,73019,5996293,South,0,1343984,310039,,,
31,74107,6000286,South,0,1344908,310039,,,
31,73017,6005025,South,0,1346082,310039,,,
31,73019,5996291,South,0,1343985,310039,,,
31,74107,6000285,South,0,1344909,310039,,,
25,73017,6005642,East,0,1345806,250042,,,
25,73017,6005649,East,0,1345807,250042,,,
25,73017,6005650,East,0,1345805,250042,,,
25,73017,6005651,East,0,1345806,250042,,,
25,73017,6005655,East,0,1345807,250042,,,
25,73017,6005652,East,0,1345805,250042,,,
25,73017,6005653,East,0,1345807,250042,,,
25,73017,6005657,West,1,1345991,250041,,,
25,73017,6005643,West,1,1345803,250041,,,
25,73017,6005654,West,1,1345808,250041,,,
25,73017,6005648,West,1,1345804,250041,,,
25,73017,6005644,West,1,1345803,250041,,,
25,73017,6005647,West,1,1345808,250041,,,
25,73017,6005645,West,1,1345804,250041,,,
25,73017,6005646,West,1,1345803,250041,,,
25,73017,6005656,West,1,1345804,250041,,,
93,73017,6005713,South,0,1345951,930061,,,
93,73017,6005705,South,0,1345857,930061,,,
93,73017,6005706,South,0,1346013,930061,,,
93,73017,6005707,South,0,1345931,930061,,,
93,73017,6005708,South,0,1345910,930061,,,
93,73017,6005714,South,0,1345972,930061,,,
93,73017,6005709,South,0,1345946,930061,,,
93,73017,6005710,South,0,1345894,930061,,,
93,73017,6005704,South,0,1345948,930061,,,
93,73017,6005703,North,1,1345968,930057,,,
93,73017,6005712,North,1,1345959,930057,,,
93,73017,6005702,North,1,1346016,930057,,,
93,73017,6005711,North,1,1346051,930057,,,
41,73017,6005885,North,0,1346057,410011,,,
41,73017,6005886,North,0,1346058,410011,,,
41,73017,6005887,North,0,1346057,410011,,,
41,73017,6005888,North,0,1346058,410011,,,
41,73017,6005889,North,0,1346057,410011,,,
41,73017,6005890,North,0,1346058,410011,,,
41,73017,6005891,South,1,1346055,410015,,,
41,73017,6005892,South,1,1346056,410015,,,
41,73017,6005893,South,1,1346055,410015,,,
41,73017,6005894,South,1,1346056,410015,,,
41,73017,6005895,South,1,1346055,410015,,,
41,73017,6005896,South,1,1346056,410015,,,
70,73017,6005816,South,0,1345970,700252,,,
70,74107,6000562,South,0,1344937,700252,,,
70,73019,5996555,South,0,1344004,700252,,,
70,73017,6005817,South,0,1345965,700252,,,
70,74107,6000543,South,0,1344926,700252,,,
70,73019,5996556,South,0,1344005,700252,,,
70,73017,6005818,South,0,1345968,700252,,,
70,74107,6000544,South,0,1344927,700252,,,
70,73019,5996557,South,0,1343990,700252,,,
70,73017,6005819,South,0,1345976,700254,,,
70,73019,5996572,South,0,1344006,700252,,,
70,74107,6000563,South,0,1344928,700252,,,
70,73017,6005820,South,0,1346006,700254,,,
70,73019,5996573,South,0,1344004,700252,,,
70,74107,6000564,South,0,1344937,700252,,,
70,73017,6005821,South,0,1346002,700254,,,
70,73019,5996574,South,0,1344010,700252,,,
70,74107,6000565,South,0,1344939,700252,,,
70,73017,6005822,South,0,1345980,700254,,,
70,73019,5996575,South,0,1344008,700252,,,
70,74107,6000566,South,0,1344925,700252,,,
70,73017,6005823,South,0,1345948,700254,,,
70,73019,5996576,South,0,1343987,700252,,,
70,74107,6000567,South,0,1344911,700252,,,
70,73017,6005824,South,0,1345899,700254,,,
70,74107,6000568,South,0,1344912,700252,,,
70,73019,5996577,South,0,1343988,700252,,,
70,73017,6005825,South,0,1346006,700254,,,
70,74107,6000559,South,0,1344910,700252,,,
70,73019,5996578,South,0,1344007,700252,,,
70,73017,6005826,South,0,1346002,700254,,,
70,73019,5996579,South,0,1343989,700252,,,
70,74107,6000569,South,0,1344913,700252,,,
70,73017,6005827,South,0,1345987,700254,,,
70,73019,5996580,South,0,1344009,700252,,,
70,74107,6000558,South,0,1344925,700252,,,
70,73017,6005828,South,0,1345948,700254,,,
70,73019,5996581,South,0,1343990,700252,,,
70,74107,6000561,South,0,1344911,700252,,,
70,73017,6005829,South,0,1345899,700254,,,
70,73019,5996571,South,0,1344012,700252,,,
70,74107,6000560,South,0,1344912,700252,,,
70,73017,6005830,South,0,1346046,700254,,,
70,73019,5996584,South,0,1344013,700252,,,
70,74107,6000572,South,0,1344910,700252,,,
70,73017,6005831,South,0,1346002,700252,,,
70,74107,6000573,South,0,1344909,700252,,,
70,73019,5996585,South,0,1343989,700252,,,
70,73019,5996586,South,0,1344009,700252,,,
70,74107,6000574,South,0,1344934,700252,,,
70,73017,6005836,South,0,1345987,700252,,,
70,74107,6000575,South,0,1344938,700252,,,
70,73017,6005837,South,0,1345852,700252,,,
70,73019,5996587,South,0,1344016,700252,,,
70,73019,5996588,South,0,1344003,700252,,,
70,74107,6000576,South,0,1344940,700252,,,
70,73017,6005838,South,0,1345969,700252,,,
70,73017,6005832,North,1,1345973,700247,,,
70,73017,6005833,North,1,1345976,700247,,,
70,74107,6000548,North,1,1344928,700247,,,
70,73019,5996561,North,1,1344006,700247,,,
70,73017,6005801,North,1,1346006,700247,,,
70,74107,6000549,North,1,1344937,700247,,,
70,73019,5996560,North,1,1344004,700247,,,
70,73017,6005802,North,1,1346002,700247,,,
70,73019,5996558,North,1,1344010,700247,,,
70,74107,6000545,North,1,1344939,700247,,,
70,73017,6005803,North,1,1345980,700247,,,
70,74107,6000550,North,1,1344925,700247,,,
70,73019,5996559,North,1,1344008,700247,,,
70,73019,5996562,North,1,1343987,700247,,,
70,74107,6000546,North,1,1344911,700247,,,
70,73017,6005804,North,1,1345948,700247,,,
70,73019,5996563,North,1,1343988,700247,,,
70,74107,6000547,North,1,1344912,700247,,,
70,73017,6005805,North,1,1345899,700247,,,
70,73017,6005806,North,1,1346006,700247,,,
70,73019,5996564,North,1,1344007,700247,,,
70,74107,6000551,North,1,1344910,700247,,,
70,73019,5996565,North,1,1343989,700247,,,
70,73017,6005807,North,1,1346002,700247,,,
70,74107,6000552,North,1,1344913,700247,,,
70,73019,5996566,North,1,1344009,700247,,,
70,73017,6005808,North,1,1345987,700247,,,
70,74107,6000553,North,1,1344925,700247,,,
70,73017,6005809,North,1,1345948,700247,,,
70,74107,6000554,North,1,1344911,700247,,,
70,73019,5996567,North,1,1343990,700247,,,
70,73017,6005800,North,1,1345899,700247,,,
70,73019,5996568,North,1,1344012,700247,,,
70,74107,6000555,North,1,1344912,700247,,,
70,73017,6005812,North,1,1346046,700247,,,
70,73019,5996569,North,1,1344013,700247,,,
70,74107,6000556,North,1,1344910,700247,,,
70,73017,6005811,North,1,1346002,700247,,,
70,73019,5996570,North,1,1343989,700247,,,
70,74107,6000557,North,1,1344909,700247,,,
70,73017,6005810,North,1,1345987,700247,,,
70,73019,5996552,North,1,1344009,700247,,,
70,74107,6000540,North,1,1344934,700247,,,
70,73017,6005813,North,1,1345852,700247,,,
70,73019,5996553,North,1,1344016,700247,,,
70,74107,6000541,North,1,1344938,700247,,,
70,73017,6005814,North,1,1345969,700247,,,
70,73019,5996554,North,1,1344003,700247,,,
70,74107,6000542,North,1,1344940,700247,,,
70,73017,6005815,North,1,1345990,700247,,,
70,74107,6000539,North,1,1344909,700247,,,
70,73019,5996551,North,1,1344020,700247,,,
70,73017,6005834,North,1,1345971,700247,,,
70,73019,5996582,North,1,1344015,700247,,,
70,74107,6000570,North,1,1344930,700247,,,
70,73017,6005835,North,1,1345989,700247,,,
70,74107,6000571,North,1,1344908,700247,,,
70,73019,5996583,North,1,1344016,700247,,,
76,73017,6005695,South,0,1345890,760074,,,
76,73017,6005696,South,0,1345856,760074,,,
76,73017,6005693,South,0,1345917,760074,,,
76,73017,6005694,South,0,1345922,760074,,,
76,73017,6005692,South,0,1345927,760074,,,
76,73017,6005698,North,1,1345955,760072,,,
76,73017,6005699,North,1,1345898,760072,,,
76,73017,6005700,North,1,1345897,760072,,,
76,73017,6005701,North,1,1345918,760072,,,
76,73017,6005697,North,1,1345926,760072,,,
18,73017,6005473,South,0,1345910,180097,,,
18,73017,6005468,South,0,1346012,180097,,,
18,73017,6005474,South,0,1345858,180097,,,
18,73017,6005469,South,0,1345882,180097,,,
18,73017,6005470,South,0,1345865,180097,,,
18,73017,6005471,South,0,1345938,180097,,,
18,73017,6005475,South,0,1345876,180097,,,
18,73017,6005472,South,0,1345915,180097,,,
18,73017,6005467,South,0,1345868,180097,,,
18,73017,6005476,South,0,1346019,180097,,,
18,73017,6005461,North,1,1345855,180086,,,
18,73017,6005462,North,1,1345900,180086,,,
18,73017,6005463,North,1,1345883,180086,,,
18,73017,6005464,North,1,1345901,180086,,,
18,73017,6005465,North,1,1345964,180086,,,
18,73017,6005466,North,1,1345956,180086,,,
18,73017,6005460,North,1,1346044,180086,,,
2,73017,6005452,South,0,1345915,20076,,,
2,73017,6005448,South,0,1346017,20076,,,
2,73017,6005449,South,0,1346004,20076,,,
2,73017,6005450,South,0,1345904,20076,,,
2,73017,6005451,South,0,1345890,20076,,,
2,73017,6005447,South,0,1345853,20076,,,
2,73017,6005453,South,0,1345882,20076,,,
2,73017,6005454,North,1,1345852,20065,,,
2,73017,6005455,North,1,1345911,20065,,,
2,73017,6005456,North,1,1346008,20065,,,
2,73017,6005446,North,1,1345913,20065,,,
24,73017,6005483,South,0,1345862,240170,,,
24,73017,6005489,South,0,1345912,240170,,,
24,73017,6005482,South,0,1345894,240170,,,
24,73017,6005491,South,0,1345902,240170,,,
24,73017,6005486,South,0,1345888,240170,,,
24,73017,6005490,South,0,1345880,240170,,,
24,73017,6005496,South,0,1345862,240170,,,
24,73017,6005494,South,0,1345978,240170,,,
24,73017,6005495,South,0,1345856,240170,,,
24,73017,6005493,South,0,1345949,240171,,,
24,73017,6005498,South,0,1345858,240172,,,
