service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72918,0,0,0,1,0,0,0,20180820,20181214
72919,0,0,1,0,0,0,0,20180820,20181214
72920,0,1,0,0,0,0,0,20180820,20181214
72921,0,0,0,0,1,0,0,20180820,20181214
72922,1,0,0,0,0,0,0,20180820,20181214
72923,0,0,0,1,0,0,0,20180822,20181221
72924,0,0,1,0,0,0,0,20180822,20181221
72925,0,1,0,0,0,0,0,20180822,20181221
72926,0,0,0,0,1,0,0,20180822,20181221
72927,1,0,0,0,0,0,0,20180822,20181221
72928,0,0,0,1,0,0,0,20180823,20181220
72929,0,0,1,0,0,0,0,20180823,20181220
72930,0,1,0,0,0,0,0,20180823,20181220
72931,0,0,0,0,1,0,0,20180823,20181220
72932,1,0,0,0,0,0,0,20180823,20181220
72933,0,0,0,1,0,0,0,20180823,20181221
72934,0,0,1,0,0,0,0,20180823,20181221
72935,0,1,0,0,0,0,0,20180823,20181221
72936,0,0,0,0,1,0,0,20180823,20181221
72937,1,0,0,0,0,0,0,20180823,20181221
73073,0,0,0,1,0,0,0,20180822,20181221
73932,0,0,1,0,0,0,0,20180822,20181221
74218,0,1,0,0,0,0,0,20180822,20181221
74219,0,0,0,0,1,0,0,20180822,20181221
74220,1,0,0,0,0,0,0,20180822,20181221
74221,0,0,0,0,0,0,1,20180303,20181031
74222,0,0,0,0,0,1,0,20180303,20181031
74288,0,0,0,0,0,0,1,20180610,20181208
74289,0,0,0,0,0,1,0,20180610,20181208
74290,1,1,1,1,1,0,0,20180610,20181208
74291,0,0,0,0,0,0,0,20180903,20181123
