service_id,date,exception_type
72918,20181122,2
72919,20181121,2
72920,20181120,2
72921,20181123,2
72922,20181119,2
72922,20181112,2
72922,20180903,2
72923,20181122,2
72924,20181121,2
72924,20180919,2
72925,20181120,2
72926,20181123,2
72927,20181119,2
72927,20181112,2
72927,20181008,2
72927,20180903,2
72928,20181122,2
72929,20181121,2
72931,20181123,2
72932,20181112,2
72932,20181015,2
72932,20180903,2
72933,20181122,2
72934,20181121,2
72935,20181120,2
72936,20181123,2
72936,20181012,2
72937,20181119,2
72937,20181112,2
72937,20180903,2
73073,20181122,2
73932,20181121,2
73932,20180919,2
74218,20181120,2
74219,20181123,2
74220,20181119,2
74220,20181112,2
74220,20180903,2
74291,20181123,1
74291,20181122,1
74291,20180903,1
74290,20181123,2
74290,20181122,2
74290,20180903,2
