route_id,direction_id,direction
10901,0,West
10901,1,East
10913,0,North
10913,1,South
10917,0,South
10917,1,North
10897,0,North
10897,1,South
10900,0,West
10900,1,East
10899,0,East
10899,1,West
10902,0,North
10902,1,South
10903,0,South
10903,1,North
10898,0,South
10898,1,North
10904,0,North
10904,1,South
10909,0,East
10909,1,West
10910,0,South
10910,1,North
10911,0,West
10911,1,East
10912,0,West
10912,1,East
10914,0,East
10914,1,West
10915,0,South
10915,1,North
10905,0,East
10905,1,West
10907,0,East
10907,1,West
10908,0,North
10908,1,South
10916,0,South
10916,1,North
10918,0,West
10918,1,East
10924,0,East
10924,1,West
10919,0,West
10919,1,East
10920,0,North
10920,1,South
10923,0,North
10923,1,South
10922,0,South
10922,1,North
10921,0,South
10921,1,North
