route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"29","MA",29,Canal - Marin General,"",3,"http://www.marintransit.org/routes/29.html","53A946","FFFFFF"
"122","MA",122,College of Marin Express,"",3,"http://www.marintransit.org/routes/122.html","F89838","FFFFFF"
"151","MA",151,Hamilton - San Marin HS,"",3,"http://www.marintransit.org/routes/151.html","F89838","FFFFFF"
"17","MA",17,San Rafael - Sausalito,"",3,"http://www.marintransit.org/routes/17.html","53A946","FFFFFF"
"23X","MA",23X,Canal - Fairfax/Manor Express,"",3,"http://www.marintransit.org/routes/23.html","53A946","FFFFFF"
"23","MA",23,Canal - Fairfax,"",3,"http://www.marintransit.org/routes/23.html","53A946","FFFFFF"
"35","MA",35,Canal - San Rafael Transit Center,"",3,"http://www.marintransit.org/routes/35.html","53A946","FFFFFF"
"36","MA",36,Canal - Marin City,"",3,"http://www.marintransit.org/routes/36.html","53A946","FFFFFF"
"22","MA",22,San Rafael - Marin City,"",3,"http://www.marintransit.org/routes/22.html","53A946","FFFFFF"
"49","MA",49,San Rafael - Novato,"",3,"http://www.marintransit.org/routes/49.html","53A946","FFFFFF"
"113","MA",113,Paradise Cay - Redwood HS,"",3,"http://www.marintransit.org/routes/113.html","F89838","FFFFFF"
"115","MA",115,Marin City - St Hilary School,"",3,"http://www.marintransit.org/routes/115.html","F89838","FFFFFF"
"117","MA",117,Cove School - E Corte Madera - Hall MS,"",3,"http://www.marintransit.org/routes/117.html","F89838","FFFFFF"
"119","MA",119,Tiburon - Redwood HS,"",3,"http://www.marintransit.org/routes/119.html","F89838","FFFFFF"
"125","MA",125,Lagunitas - Sir Francis Drake HS - San Rafael,"",3,"http://www.marintransit.org/routes/125.html","F89838","FFFFFF"
"139","MA",139,Lucas Valley - Terra Linda HS,"",3,"http://www.marintransit.org/routes/139.html","F89838","FFFFFF"
"61","MA",61,West Marin Stagecoach (South),"",3,"http://www.marintransit.org/routes/61.html","3161AB","FFFFFF"
"68","MA",68,West Marin Stagecoach (North),"",3,"http://www.marintransit.org/routes/68.html","3161AB","FFFFFF"
"71X","MA",71X,Novato - Sausalito,"",3,"http://www.marintransit.org/routes/71.html","53A946","FFFFFF"
"145","MA",145,San Rafael - Terra Linda HS,"",3,"http://www.marintransit.org/routes/145.html","F89838","FFFFFF"
"154","MA",154,Olive - Novato,"",3,"http://www.marintransit.org/routes/154.html","F89838","FFFFFF"
"219","MA",219,Tiburon - Strawberry,"",3,"http://www.marintransit.org/routes/219.html","A5C73C","FFFFFF"
"228","MA",228,San Rafael - Fairfax Manor,"",3,"http://www.marintransit.org/routes/228.html","A5C73C","FFFFFF"
"233","MA",233,San Rafael - Santa Venetia,"",3,"http://www.marintransit.org/routes/233.html","A5C73C","FFFFFF"
"245","MA",245,San Rafael - Smith Ranch Road,"",3,"http://www.marintransit.org/routes/245.html","A5C73C","FFFFFF"
"251","MA",251,Novato Shuttle,"",3,"http://www.marintransit.org/routes/251.html","A5C73C","FFFFFF"
"257","MA",257,San Rafael - Ignacio,"",3,"http://www.marintransit.org/routes/257.html","A5C73C","FFFFFF"
