route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"X","MS",X,Line X,"",3,"http://transportation.stanford.edu/marguerite/x","ED1C24","FFFFFF"
"SLAC","MS",SLAC,S L A C,"",3,"http://transportation.stanford.edu/marguerite/slac","00A650","FFFFFF"
"EB","MS",EB,East Bay Express,"",3,"https://transportation.stanford.edu/marguerite/eb","5674B9","FFFFFF"
"P","MS",P,Line P,"",3,"http://transportation.stanford.edu/marguerite/p","AFDBBD","000000"
"N","MS",N,Line N - Evenings ONLY,"",3,"http://transportation.stanford.edu/marguerite/n","2E3092","FFFFFF"
"OCA","MS",OCA,Oak Creek Apartments,"",3,"https://transportation.stanford.edu/marguerite/oca","73909F","FFFFFF"
"S","MS",S,Line S,"",3,"http://transportation.stanford.edu/marguerite/s","666733","FFFFFF"
"HD","MS",HD,Hospital: Direct,"",3,"https://transportation.stanford.edu/marguerite/hd","2DBCB5","FFFFFF"
"C","MS",C,Line C,"",3,"https://transportation.stanford.edu/marguerite/c","6DCFF6","000000"
"Y","MS",Y,Line Y,"",3,"http://transportation.stanford.edu/marguerite/y","ED1C24","FFFFFF"
"AE-F","MS",AE-F,Line AE-F,"",3,"https://transportation.stanford.edu/marguerite/aef","AAAAAA","900000"
"O","MS",O,Line O - Evenings ONLY,"",3,"http://transportation.stanford.edu/marguerite/o","2E3192","FFFFFF"
"1050A","MS",1050A,1050 Arastradero,"",3,"https://transportation.stanford.edu/marguerite/1050a","954A35","FFFFFF"
"MC","MS",MC,Medical Center,"",3,"https://transportation.stanford.edu/marguerite/mc","91268F","FFFFFF"
"RP","MS",RP,Research Park,"",3,"https://transportation.stanford.edu/marguerite/rp","008579","FFFFFF"
"SE","MS",SE,Shopping Express,"",3,"https://transportation.stanford.edu/marguerite/se","D174AF","FFFFFF"
