shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_110930,-122.63457,38.236351,1,0.00000000
p_110930,-122.634586,38.236334,2,2.35011981
p_110930,-122.635087,38.235786,3,77.34371574
p_110930,-122.636049,38.236342,4,181.75868863
p_110930,-122.63714,38.236973,5,300.20369187
p_110930,-122.637621,38.236804,6,346.30418373
p_110930,-122.638101,38.236663,7,391.14778716
p_110930,-122.638462,38.236551,8,425.11036839
p_110930,-122.638896,38.236416,9,465.95509948
p_110930,-122.639053,38.236367,10,480.73741597
p_110930,-122.639165,38.236332,11,491.28458998
p_110930,-122.6396,38.236187,12,532.63022055
p_110930,-122.639629,38.236177,13,535.40121157
p_110930,-122.640118,38.236016,14,581.79352036
p_110930,-122.640487,38.235914,15,616.02612130
p_110930,-122.640523,38.235907,16,619.27229768
p_110930,-122.640551,38.235901,17,621.81256815
p_110930,-122.641034,38.235775,18,666.35232541
p_110930,-122.641168,38.235748,19,678.46085943
p_110930,-122.641293,38.235722,20,689.77882408
p_110930,-122.641616,38.235623,21,720.11780475
p_110930,-122.641987,38.235499,22,755.39510551
p_110930,-122.642069,38.235468,23,763.35633456
p_110930,-122.642169,38.235431,24,773.02687396
p_110930,-122.642518,38.235311,25,806.35931364
p_110930,-122.642884,38.235191,26,841.06126058
p_110930,-122.64297,38.235163,27,849.20692026
p_110930,-122.642931,38.235088,28,858.20500888
p_110930,-122.642918,38.235066,29,860.89924145
p_110930,-122.642585,38.234411,30,939.23252575
p_110930,-122.642407,38.234073,31,979.85880369
p_110930,-122.6424390195,38.2340613018,32,982.94831961
p_110930,-122.6421070127,38.2334689392,33,1054.83981779
p_110930,-122.6415410919,38.2323871275,34,1184.74271928
p_110930,-122.6414597515,38.2322958767,35,1197.12472072
p_110930,-122.6413274491,38.2322509776,36,1209.73506333
p_110930,-122.6401946154,38.2318318427,37,1319.28972913
p_110930,-122.6396095787,38.2327230322,38,1430.68762309
p_110930,-122.638832,38.232414,39,1506.92164961
p_110930,-122.6395951746,38.2327070695,40,1581.23906293
p_110930,-122.6392424115,38.2333065338,41,1654.59875448
p_110930,-122.639199,38.233368,42,1662.40881071
p_110930,-122.639289,38.233403,43,1671.19429726
p_110930,-122.639802,38.233603,44,1721.29607364
p_110930,-122.639905,38.233643,45,1731.34782322
p_110930,-122.640099,38.23376,46,1752.72923300
p_110930,-122.640147,38.233816,47,1760.23260680
