trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_372040_b_16418_tn_0","6:52:00","6:52:00","102","1","Petaluma Jr HS - Petaluma HS","0","0","0.00000000",1
"t_372040_b_16418_tn_0","6:54:00","6:54:00","103","2","Petaluma Jr HS - Petaluma HS","0","0","523.97333001",1
"t_372040_b_16418_tn_0",,,117,3,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0","6:58:00","6:58:00","112","4","Petaluma Jr HS - Petaluma HS","0","0","1835.05457038",1
"t_372040_b_16418_tn_0",,,113,5,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,115,6,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,119,7,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,140,8,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,120,9,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0","7:04:00","7:04:00","167","10","Petaluma Jr HS - Petaluma HS","0","0","4436.24420031",1
"t_372040_b_16418_tn_0",,,121,11,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,141,12,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,142,13,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0",,,143,14,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0","7:11:00","7:11:00","122","15","Petaluma Jr HS - Petaluma HS","0","0","7411.68283989",1
"t_372040_b_16418_tn_0",,,144,16,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0","7:19:00","7:19:00","123","17","Petaluma Jr HS - Petaluma HS","0","0","8993.58058184",1
"t_372040_b_16418_tn_0",,,124,18,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372040_b_16418_tn_0","7:21:00","7:21:00","169","19","Petaluma Jr HS - Petaluma HS","0","0","9724.71253348",1
"t_372040_b_16418_tn_0","7:24:00","7:24:00","102","20","Petaluma Jr HS - Petaluma HS","0","0","10778.23651574",1
"t_372083_b_16418_tn_0","6:52:00","6:52:00","102","1","Petaluma Jr HS - Petaluma HS","0","0","0.00000000",1
"t_372083_b_16418_tn_0","6:54:00","6:54:00","103","2","Petaluma Jr HS - Petaluma HS","0","0","523.97333001",1
"t_372083_b_16418_tn_0",,,117,3,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372083_b_16418_tn_0","6:58:00","6:58:00","112","4","Petaluma Jr HS - Petaluma HS","0","0","1835.05457038",1
"t_372083_b_16418_tn_0",,,113,5,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372083_b_16418_tn_0",,,115,6,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372083_b_16418_tn_0",,,119,7,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372083_b_16418_tn_0",,,140,8,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372083_b_16418_tn_0",,,120,9,"Petaluma Jr HS - Petaluma HS","0","0",,0
"t_372083_b_16418_tn_0","7:04:00","7:04:00","167","10","Petaluma Jr HS - Petaluma HS","0","0","4436.24420031",1
