stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"512","512",1330 Redwood Way at Holistic Institute,38.276555,-122.666039,,"","","0","","America/Los_Angeles","0"
"513","513",1367 N. McDowell Blvd. south of Redwood Way (Gateway SC),38.273418,-122.66574,,"","","0","","America/Los_Angeles","0"
"510","510",1368 N. McDowell Bl(Motel 6) south of Redwood Way,38.274012,-122.666165,,"","","0","","America/Los_Angeles","0"
"608","608",2000 S. McDowell Blvd. Ext. south of Cader Lane,38.230094,-122.59597,,"","","0","","America/Los_Angeles","0"
"801","801",3820 Cypress Drive south of S. McDowell Extension,38.228489,-122.591319,,"","","0","","America/Los_Angeles","0"
"800","800",3860 Cypress Drive at UPS,38.227435,-122.58861,,"","","0","","America/Los_Angeles","0"
"103","103",4th Street west of C St.,38.232304,-122.638876,,"","","0","","America/Los_Angeles","0"
"123","123",Bantam Way at Petaluma Junior High,38.232548,-122.658545,,"","","0","","America/Los_Angeles","0"
"124","124",Bodega Ave. east of Bantam Way,38.234441,-122.658142,,"","","0","","America/Los_Angeles","0"
"169","169",Bodega Ave @ Webster St EB,38.2344116412,-122.6532914561,,"","","0","","America/Los_Angeles","0"
"143","143",B St & Webster St (First Presbyterian Church),38.2252390677,-122.6441070418,,"","","0","","America/Los_Angeles","0"
"420","420",Casa Grande Rd. at Ely Blvd. S. 400 Casa Grande Apts,38.242509,-122.596511,,"","","0","","America/Los_Angeles","0"
"405","405",Casa Grande Rd. east of Crinella (Casa Grande HS),38.240741,-122.598514,,"","","0","","America/Los_Angeles","0"
"419","419",Casa Grande Rd. east of Sartori Dr.,38.238623,-122.600058,,"","","0","","America/Los_Angeles","0"
"418","418",Casa Grande Rd. west of Casa de Arroyo Drive,38.236327,-122.602142,,"","","0","","America/Los_Angeles","0"
"614","614",Caulfield Ln. north of Lakeville Hwy,38.235937,-122.621906,,"","","0","","America/Los_Angeles","0"
"100","100",Copeland Street Transit Mall south of Washington Street,38.236328,-122.636063,,"","","0","","America/Los_Angeles","0"
