route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
501,72839,t_372040_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9803,p_177274,6:52 PBN Loop,,
501,72836,t_372083_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9803,p_177274,,,
501,72839,t_372070_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9803,p_177274,7:39 Pet Mkt Loop,,
501,72836,t_372085_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9803,p_177274,,,
501,72836,t_372088_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9804,p_177274,,,
501,72839,t_372074_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9804,p_177274,3:10 Pet Mkt Loop,,
501,72836,t_372090_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,0,9804,p_177274,,,
501,72839,t_372039_b_16418_tn_0,Downtown Petaluma,1,9803,p_179524,6:45 Gossage to PBN,,
501,72836,t_372082_b_16418_tn_0,Downtown Petaluma,1,9803,p_179524,,,
501,72839,t_372069_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9803,p_177276,7:24 Pet Mkt to Gossage & Back,,
501,72836,t_372084_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9803,p_177276,,,
501,72836,t_372087_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9804,p_177276,,,
501,72836,t_372089_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9804,p_177276,,,
501,72839,t_372073_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9804,p_177276,2:55 Pet Mkt to Gossage and Back,,
501,72839,t_372076_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,1,9804,p_179526,3:52 Gossage to Magnolia,,
501,72836,t_372096_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,1,9804,p_179526,,,
501,72839,t_372094_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9804,p_177278,,,
501,72836,t_372091_b_16418_tn_0,Petaluma Blvd North - Factory Outlets,0,9804,p_177278,,,
501,72836,t_372086_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,1,9804,p_177275,,,
501,72839,t_372072_b_16418_tn_0,Petaluma Jr HS - Petaluma HS,1,9804,p_177275,2:34  to Pet Mkt,,
2,72838,t_216331_b_16418_tn_1,Eastside Transit Center,0,3056,p_4769,,,
2,72838,t_216306_b_16418_tn_1,Eastside Transit Center,0,3057,p_4769,,,
