trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_153_b_529_tn_0","17:47:00","18:00:00","1531","1",,"0","0","0.00000000",1
"t_153_b_529_tn_0","18:23:00","18:23:00","27691","2",,"0","0","14990.38759005",1
"t_153_b_529_tn_0",,,1538,3,,"0","0",,0
"t_153_b_529_tn_0",,,13519,4,,"0","0",,0
"t_153_b_529_tn_0",,,27725,5,,"0","0",,0
"t_153_b_529_tn_0",,,1537,6,,"0","0",,0
"t_153_b_529_tn_0","19:00:00","19:00:00","1557","7",,"0","0","57197.52465298",1
"t_153_b_529_tn_0",,,27694,8,,"0","0",,0
"t_153_b_529_tn_0",,,27705,9,,"0","0",,0
"t_153_b_529_tn_0",,,27726,10,,"0","0",,0
"t_153_b_529_tn_0",,,27695,11,,"0","0",,0
"t_153_b_529_tn_0",,,27696,12,,"0","0",,0
"t_153_b_529_tn_0","19:05:00","19:05:00","27697","13",,"0","0","58453.27657006",1
"t_153_b_529_tn_0",,,27698,14,,"0","0",,0
"t_153_b_529_tn_0",,,27699,15,,"0","0",,0
"t_153_b_529_tn_0",,,27700,16,,"0","0",,0
"t_153_b_529_tn_0",,,27701,17,,"0","0",,0
"t_153_b_529_tn_0","19:15:00","19:15:00","27727","18",,"0","0","60234.87848393",1
"t_153_b_529_tn_0",,,27702,19,,"0","0",,0
"t_153_b_529_tn_0",,,27703,20,,"0","0",,0
"t_153_b_529_tn_0",,,27728,21,,"0","0",,0
"t_153_b_529_tn_0",,,27710,22,,"0","0",,0
"t_153_b_529_tn_0",,,27734,23,,"0","0",,0
"t_153_b_529_tn_0",,,27708,24,,"0","0",,0
"t_153_b_529_tn_0",,,27707,25,,"0","0",,0
"t_153_b_529_tn_0",,,27713,26,,"0","0",,0
"t_153_b_529_tn_0",,,27729,27,,"0","0",,0
"t_153_b_529_tn_0","19:25:00","19:25:00","27706","28",,"2","2","64131.84466833",1
"t_146_b_529_tn_0","5:15:00","5:15:00","27706","1",,"0","0","0.00000000",1
"t_146_b_529_tn_0",,,27736,2,,"2","3",,0
"t_146_b_529_tn_0",,,27732,3,,"0","3",,0
"t_146_b_529_tn_0",,,27733,4,,"2","3",,0
"t_146_b_529_tn_0",,,27709,5,,"2","3",,0
"t_146_b_529_tn_0",,,27735,6,,"2","3",,0
"t_146_b_529_tn_0",,,27737,7,,"2","3",,0
"t_146_b_529_tn_0",,,27703,8,,"2","3",,0
"t_146_b_529_tn_0",,,27712,9,,"2","3",,0
"t_146_b_529_tn_0",,,27715,10,,"0","0",,0
"t_146_b_529_tn_0",,,27716,11,,"2","3",,0
"t_146_b_529_tn_0",,,27717,12,,"2","3",,0
"t_146_b_529_tn_0",,,27731,13,,"2","3",,0
"t_146_b_529_tn_0",,,27718,14,,"2","3",,0
"t_146_b_529_tn_0","5:30:00","5:30:00","27719","15",,"0","0","5730.73278369",1
"t_146_b_529_tn_0",,,27720,16,,"2","3",,0
"t_146_b_529_tn_0",,,27721,17,,"2","3",,0
"t_146_b_529_tn_0",,,27722,18,,"2","3",,0
"t_146_b_529_tn_0",,,27723,19,,"2","3",,0
"t_146_b_529_tn_0",,,27724,20,,"2","3",,0
"t_146_b_529_tn_0",,,1537,21,,"0","0",,0
"t_146_b_529_tn_0","5:35:00","5:35:00","1557","22",,"2","3","7308.59198627",1
"t_146_b_529_tn_0",,,1552,23,,"2","3",,0
"t_146_b_529_tn_0",,,27730,24,,"2","3",,0
"t_146_b_529_tn_0",,,1538,25,,"2","3",,0
"t_146_b_529_tn_0",,,13519,26,,"2","3",,0
"t_146_b_529_tn_0",,,27691,27,,"2","2",,0
"t_146_b_529_tn_0","6:25:00","6:32:00","1531","28",,"0","0","63766.49953273",1
"t_147_b_529_tn_0","10:20:00","10:20:00","1533","1",,"0","0","0.00000000",1
"t_147_b_529_tn_0",,,2803,2,,"2","3",,0
"t_147_b_529_tn_0",,,27689,3,,"2","3",,0
"t_147_b_529_tn_0",,,27690,4,,"2","3",,0
