fare_id,route_id,origin_id,destination_id,contains_id
1332,SMART,57608,57608,
1332,SMART,57609,57609,
1332,SMART,57610,57610,
1332,SMART,57611,57611,
1332,SMART,57612,57612,
1333,SMART,57608,57609,
1333,SMART,57609,57608,
1333,SMART,57609,57610,
1333,SMART,57610,57609,
1333,SMART,57610,57611,
1333,SMART,57611,57610,
1333,SMART,57611,57612,
1333,SMART,57612,57611,
1334,SMART,57608,57610,
1334,SMART,57610,57608,
1334,SMART,57609,57611,
1334,SMART,57611,57609,
1334,SMART,57610,57612,
1334,SMART,57612,57610,
1335,SMART,57608,57611,
1335,SMART,57611,57608,
1335,SMART,57609,57612,
1335,SMART,57612,57609,
1336,SMART,57608,57612,
1336,SMART,57612,57608,
