shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_179316,-122.3772501074,37.6626759071,1,0.00000000
p_179316,-122.37727,37.66377,2,121.44617476
p_179316,-122.37728,37.66413,3,161.41236103
p_179316,-122.37713,37.66423,4,178.68505450
p_179316,-122.37262,37.6642,5,576.62275066
p_179316,-122.3714,37.6644,6,686.52999000
p_179316,-122.37071,37.66467,7,754.38532169
p_179316,-122.33746,37.7035,8,5967.44783341
p_179316,-122.32463,37.74024,9,10199.23906968
p_179316,-122.33493,37.77328,10,13977.06706578
p_179316,-122.33939,37.78756,11,15610.00918819
p_179316,-122.33803,37.79148,12,16061.28972656
p_179316,-122.33459,37.79604,13,16651.17559292
p_179316,-122.33287,37.7972,14,16849.98600550
p_179316,-122.33162,37.79748,15,16964.38046537
p_179316,-122.33051,37.79739,16,17062.65109177
p_179316,-122.32689,37.79644,17,17398.46314144
p_179316,-122.30385,37.79134,18,19505.24451804
p_179316,-122.30089,37.79113,19,19767.00370583
p_179316,-122.29874,37.79122,20,19956.64100653
p_179316,-122.29679,37.79149,21,20130.99320627
p_179316,-122.28604,37.79312,22,21094.97813382
p_179316,-122.28036,37.79372,23,21599.67571075
p_179316,-122.28007,37.79392,24,21633.51646375
p_179316,-122.28006,37.79419,25,21663.49740162
p_179316,-122.28015,37.79444,26,21692.35560987
p_179316,-122.27978,37.79503,27,21765.50183813
p_179316,-122.27978,37.79503,28,21765.50183823
p_179316,-122.2797772,37.795032,29,21765.83364520
p_179316,-122.280128,37.7944741,30,21835.03677185
p_179316,-122.2805679,37.7940841,31,21893.13120450
p_179316,-122.2805679,37.7940841,32,21893.13120450
p_179316,-122.2809756,37.7939146,33,21933.67021088
p_179316,-122.2809756,37.7939146,34,21933.67021088
p_179316,-122.2825205,37.7936009,35,22074.12580460
p_179316,-122.2825205,37.7936009,36,22074.12580460
p_179316,-122.2847843,37.7932109,37,22278.16206924
p_179316,-122.2847843,37.7932109,38,22278.16206924
p_179316,-122.2869287,37.7928464,39,22471.32239912
p_179316,-122.2869287,37.7928464,40,22471.32239912
p_179316,-122.2869287,37.7928464,41,22471.32239912
p_179316,-122.2869287,37.7928464,42,22471.32239912
p_179316,-122.293539,37.7916,43,23069.76518708
p_179316,-122.2939789,37.7914304,44,23112.84252092
p_179316,-122.2939789,37.7914304,45,23112.84252092
p_179316,-122.2939789,37.7914304,46,23112.84252092
p_179316,-122.2941828,37.79121,47,23143.19010760
p_179316,-122.2941828,37.79121,48,23143.19010760
p_179317,-122.412272,37.809594,1,0.00000000
p_179317,-122.4135733,37.810835,2,179.17545996
p_179317,-122.4135733,37.810835,3,179.17545996
p_179317,-122.4135518,37.8112927,4,230.01217789
p_179317,-122.4135518,37.8112927,5,230.01217789
p_179317,-122.413187,37.8118013,6,294.96299503
p_179317,-122.413187,37.8118013,7,294.96299503
p_179317,-122.4118137,37.8121742,8,422.77754554
