trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_298576_b_16152_tn_0","15:30:00","15:30:00","12048538","1",,"0","0","0.00000000",1
"t_298576_b_16152_tn_0","16:10:00","16:10:00","12030042","2",,"0","0","11316.18061493",1
"t_298576_b_16152_tn_0","16:20:00","16:20:00","12030043","3",,"0","0","12830.41276754",1
"t_298575_b_16152_tn_0","16:15:00","16:15:00","12048538","1",,"0","0","0.00000000",1
"t_298575_b_16152_tn_0","16:40:00","16:40:00","12030042","2",,"0","0","11316.18061493",1
"t_298575_b_16152_tn_0","16:55:00","16:55:00","12030043","3",,"0","0","12830.41276754",1
"t_298592_b_16152_tn_0","6:30:00","6:30:00","12030043","1",,"0","0","0.00000000",1
"t_298592_b_16152_tn_0","6:40:00","6:40:00","12030042","2",,"0","0","1377.35646241",1
"t_298592_b_16152_tn_0","7:00:00","7:00:00","890001","3",,"0","0","10393.65827076",1
"t_298594_b_16152_tn_0","7:00:00","7:00:00","12030043","1",,"0","0","0.00000000",1
"t_298594_b_16152_tn_0","7:15:00","7:15:00","12030042","2",,"0","0","1377.35646241",1
"t_298594_b_16152_tn_0","7:35:00","7:35:00","890001","3",,"0","0","10393.65827076",1
"t_298590_b_16152_tn_0","7:35:00","7:35:00","12030043","1",,"0","0","0.00000000",1
"t_298590_b_16152_tn_0","7:45:00","7:45:00","12030042","2",,"0","0","1377.35646241",1
"t_298590_b_16152_tn_0","8:05:00","8:05:00","890001","3",,"0","0","10393.65827076",1
"t_298588_b_16152_tn_0","8:10:00","8:10:00","12030043","1",,"0","0","0.00000000",1
"t_298588_b_16152_tn_0","8:20:00","8:20:00","12030042","2",,"0","0","1377.35646241",1
"t_298588_b_16152_tn_0","8:40:00","8:40:00","890001","3",,"0","0","10393.65827076",1
"t_298591_b_16152_tn_0","8:40:00","8:40:00","12030043","1",,"0","0","0.00000000",1
"t_298591_b_16152_tn_0","8:50:00","8:50:00","12030042","2",,"0","0","1377.35646241",1
"t_298591_b_16152_tn_0","9:10:00","9:10:00","890001","3",,"0","0","10393.65827076",1
"t_298589_b_16152_tn_0","9:15:00","9:15:00","12030043","1",,"0","0","0.00000000",1
"t_298589_b_16152_tn_0","9:25:00","9:25:00","12030042","2",,"0","0","1377.35646241",1
"t_298589_b_16152_tn_0","9:45:00","9:45:00","890001","3",,"0","0","10393.65827076",1
"t_298593_b_16152_tn_0","20:45:00","20:45:00","12030043","1",,"0","0","0.00000000",1
"t_298593_b_16152_tn_0","20:55:00","20:55:00","12030042","2",,"0","0","1377.35646241",1
"t_298593_b_16152_tn_0","21:25:00","21:25:00","890001","3",,"0","0","10393.65827076",1
"t_298608_b_16152_tn_0","7:35:00","7:35:00","890001","1",,"0","0","0.00000000",1
"t_298608_b_16152_tn_0","8:00:00","8:00:00","12030043","2",,"0","0","10369.64956018",1
"t_298609_b_16152_tn_0","10:15:00","10:15:00","12030043","1",,"0","0","0.00000000",1
"t_298609_b_16152_tn_0","10:25:00","10:25:00","12030042","2",,"0","0","1377.35646241",1
"t_298609_b_16152_tn_0","10:45:00","10:45:00","890001","3",,"0","0","10393.65827078",1
"t_298609_b_16152_tn_0","11:00:00","11:00:00","12048538","4",,"0","0","14731.53048749",1
"t_299616_b_16152_tn_0","10:00:00","10:00:00","12048538","1",,"0","0","0.00000000",1
"t_299616_b_16152_tn_0","10:15:00","10:15:00","890001","2",,"0","0","4494.25495617",1
"t_299616_b_16152_tn_0","10:35:00","10:35:00","12030042","3",,"0","0","13503.19348429",1
"t_299616_b_16152_tn_0","10:50:00","10:50:00","12030043","4",,"0","0","14967.84062817",1
"t_299616_b_none_tn_0","10:00:00","10:00:00","12048538","1",,"0","0","0.00000000",1
"t_299616_b_none_tn_0","10:15:00","10:15:00","890001","2",,"0","0","4494.25495617",1
"t_299616_b_none_tn_0","10:35:00","10:35:00","12030042","3",,"0","0","13503.19348429",1
"t_299616_b_none_tn_0","10:50:00","10:50:00","12030043","4",,"0","0","14967.84062817",1
"t_298623_b_16152_tn_0","10:50:00","10:50:00","12048538","1",,"0","0","0.00000000",1
"t_298623_b_16152_tn_0","11:05:00","11:05:00","890001","2",,"0","0","4494.25495617",1
"t_298623_b_16152_tn_0","11:25:00","11:25:00","12030042","3",,"0","0","13503.19348429",1
"t_298623_b_16152_tn_0","11:35:00","11:35:00","12030043","4",,"0","0","14967.84062817",1
"t_299619_b_none_tn_0","11:30:00","11:30:00","12048538","1",,"0","0","0.00000000",1
"t_299619_b_none_tn_0","11:45:00","11:45:00","890001","2",,"0","0","4494.25495617",1
"t_299619_b_none_tn_0","12:05:00","12:05:00","12030042","3",,"0","0","13503.19348429",1
"t_299619_b_none_tn_0","12:20:00","12:20:00","12030043","4",,"0","0","14967.84062817",1
"t_299619_b_16152_tn_0","11:30:00","11:30:00","12048538","1",,"0","0","0.00000000",1
"t_299619_b_16152_tn_0","11:45:00","11:45:00","890001","2",,"0","0","4494.25495617",1
"t_299619_b_16152_tn_0","12:05:00","12:05:00","12030042","3",,"0","0","13503.19348429",1
"t_299619_b_16152_tn_0","12:20:00","12:20:00","12030043","4",,"0","0","14967.84062817",1
"t_299633_b_16152_tn_0","12:30:00","12:30:00","12048538","1",,"0","0","0.00000000",1
"t_299633_b_16152_tn_0","12:45:00","12:45:00","890001","2",,"0","0","4494.25495617",1
"t_299633_b_16152_tn_0","13:05:00","13:05:00","12030042","3",,"0","0","13503.19348429",1
"t_299633_b_16152_tn_0","13:20:00","13:20:00","12030043","4",,"0","0","14967.84062817",1
"t_299633_b_none_tn_0","12:30:00","12:30:00","12048538","1",,"0","0","0.00000000",1
"t_299633_b_none_tn_0","12:45:00","12:45:00","890001","2",,"0","0","4494.25495617",1
"t_299633_b_none_tn_0","13:05:00","13:05:00","12030042","3",,"0","0","13503.19348429",1
"t_299633_b_none_tn_0","13:20:00","13:20:00","12030043","4",,"0","0","14967.84062817",1
"t_299621_b_16152_tn_0","13:00:00","13:00:00","12048538","1",,"0","0","0.00000000",1
"t_299621_b_16152_tn_0","13:15:00","13:15:00","890001","2",,"0","0","4494.25495617",1
"t_299621_b_16152_tn_0","13:35:00","13:35:00","12030042","3",,"0","0","13503.19348429",1
"t_299621_b_16152_tn_0","13:50:00","13:50:00","12030043","4",,"0","0","14967.84062817",1
"t_299621_b_none_tn_0","13:00:00","13:00:00","12048538","1",,"0","0","0.00000000",1
"t_299621_b_none_tn_0","13:15:00","13:15:00","890001","2",,"0","0","4494.25495617",1
"t_299621_b_none_tn_0","13:35:00","13:35:00","12030042","3",,"0","0","13503.19348429",1
"t_299621_b_none_tn_0","13:50:00","13:50:00","12030043","4",,"0","0","14967.84062817",1
"t_298624_b_16152_tn_0","13:45:00","13:45:00","12048538","1",,"0","0","0.00000000",1
"t_298624_b_16152_tn_0","14:00:00","14:00:00","890001","2",,"0","0","4494.25495617",1
"t_298624_b_16152_tn_0","14:20:00","14:20:00","12030042","3",,"0","0","13503.19348429",1
"t_298624_b_16152_tn_0","14:35:00","14:35:00","12030043","4",,"0","0","14967.84062817",1
"t_299624_b_16152_tn_0","14:15:00","14:15:00","12048538","1",,"0","0","0.00000000",1
"t_299624_b_16152_tn_0","14:30:00","14:30:00","890001","2",,"0","0","4494.25495617",1
"t_299624_b_16152_tn_0","14:50:00","14:50:00","12030042","3",,"0","0","13503.19348429",1
"t_299624_b_16152_tn_0","15:05:00","15:05:00","12030043","4",,"0","0","14967.84062817",1
"t_299624_b_none_tn_0","14:15:00","14:15:00","12048538","1",,"0","0","0.00000000",1
"t_299624_b_none_tn_0","14:30:00","14:30:00","890001","2",,"0","0","4494.25495617",1
"t_299624_b_none_tn_0","14:50:00","14:50:00","12030042","3",,"0","0","13503.19348429",1
"t_299624_b_none_tn_0","15:05:00","15:05:00","12030043","4",,"0","0","14967.84062817",1
"t_299627_b_none_tn_0","15:15:00","15:15:00","12048538","1",,"0","0","0.00000000",1
"t_299627_b_none_tn_0","15:30:00","15:30:00","890001","2",,"0","0","4494.25495617",1
"t_299627_b_none_tn_0","15:50:00","15:50:00","12030042","3",,"0","0","13503.19348429",1
