route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
SF - Oak - Ala,72856,t_298576_b_16152_tn_0,Oakland Terminal,0,,p_298491,,,
SF - Oak - Ala,72856,t_298575_b_16152_tn_0,Oakland Terminal,0,,p_298491,,,
SF - Oak - Ala,72856,t_298592_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298594_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298590_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298588_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298591_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298589_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298593_b_16152_tn_0,San Francisco Ferry Building,1,,p_298495,,,
SF - Oak - Ala,72856,t_298608_b_16152_tn_0,Oakland Terminal,0,,p_298502,,,
SF - Oak - Ala,72856,t_298609_b_16152_tn_0,Pier 41,1,,p_298503,,,
SF - Oak - Ala,72855,t_299616_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299616_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72856,t_298623_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299619_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299619_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299633_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299633_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299621_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299621_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72856,t_298624_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299624_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299624_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299627_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299627_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299629_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299629_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299632_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299632_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299636_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299636_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299634_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299634_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299611_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299611_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72856,t_298625_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299613_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299613_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,74239,t_299631_b_none_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72855,t_299631_b_16152_tn_0,Oakland Terminal,0,,p_298506,,,
SF - Oak - Ala,72856,t_298636_b_16152_tn_0,Oakland Terminal,0,,p_298511,,,
SF - Oak - Ala,72855,t_299614_b_16152_tn_0,Oakland Terminal,0,,p_298511,,,
SF - Oak - Ala,74239,t_299614_b_none_tn_0,Oakland Terminal,0,,p_298511,,,
SF - Oak - Ala,72856,t_298638_b_16152_tn_0,Oakland Terminal,0,,p_298511,,,
SF - Oak - Ala,72856,t_298637_b_16152_tn_0,Oakland Terminal,0,,p_298511,,,
SF - Oak - Ala,72856,t_298639_b_16152_tn_0,Oakland Terminal,0,,p_298511,,,
SF - Oak - Ala,72856,t_298643_b_16152_tn_0,Oakland Terminal,0,,p_298511,,,
