route_id,direction_id,direction
201,0,East
201,1,West
827,0,North
827,1,South
102,0,South
102,1,North
103,0,West
103,1,East
104,0,East
104,1,West
12,0,West
12,1,East
120,0,South
120,1,North
121,0,South
121,1,North
13,0,North
13,1,South
14,0,South
14,1,North
140,0,North
140,1,South
16,0,South
16,1,North
168,0,South
168,1,North
17,0,South
17,1,North
18,0,South
18,1,North
180,0,North
180,1,South
181,0,South
181,1,North
182,0,South
182,1,North
19,0,South
19,1,North
200,0,North
22,0,East
22,1,West
23,0,East
23,1,West
25,0,West
25,1,East
26,0,West
26,1,East
27,0,West
27,1,East
304,0,South
304,1,North
31,0,North
31,1,South
32,0,East
32,1,West
321,0,East
321,1,West
323,0,East
323,1,West
45,0,North
45,1,South
46,0,North
46,1,South
47,0,South
47,1,North
48,0,South
48,1,North
49,0,North
49,1,South
522,0,West
522,1,East
53,0,North
53,1,South
54,0,North
54,1,South
55,0,South
55,1,North
57,0,North
57,1,South
58,0,South
58,1,North
60,0,South
60,1,North
61,0,South
61,1,North
62,0,South
62,1,North
63,0,North
63,1,South
64,0,South
64,1,North
65,0,North
65,1,South
66,0,South
66,1,North
68,0,North
68,1,South
70,0,North
70,1,South
71,0,North
71,1,South
73,0,South
73,1,North
77,0,North
77,1,South
82,0,North
82,1,South
822,0,North
822,1,South
823,0,West
823,1,East
824,0,East
824,1,West
825,0,West
825,1,East
826,0,West
826,1,East
828,0,East
828,1,West
831,0,West
831,1,East
88,0,North
88,1,South
900,0,Outbound
900,1,Inbound
901,0,Inbound
901,1,Outbound
902,0,Inbound
902,1,Outbound
101,0,North
101,1,South
40,0,North
40,1,South
251,0,South
912,0,Inbound
912,1,Outbound
911,0,Inbound
913,0,Inbound
913,1,Outbound
914,0,Outbound
914,1,Inbound
72,0,North
72,1,South
35,0,North
35,1,South
42,0,North
42,1,South
10,0,East
10,1,West
185,0,North
185,1,South
39,0,South
39,1,North
81,0,East
81,1,West
328,0,South
328,1,North
330,0,South
330,1,North
52,0,North
52,1,South
34,0,West
34,1,East
89,0,North
89,1,South
37,0,East
37,1,West
122,0,South
122,1,North
