route_id,direction_id,direction
13657,0,Outbound
13657,1,Inbound
13456,0,Outbound
13456,1,Inbound
13457,0,Outbound
13457,1,Inbound
13459,0,Outbound
13459,1,Inbound
13461,0,Outbound
13461,1,Inbound
13455,0,Outbound
13455,1,Inbound
13711,0,Outbound
13711,1,Inbound
13712,0,Outbound
13712,1,Inbound
13392,0,Inbound
13392,1,Outbound
13648,0,Outbound
13648,1,Inbound
13649,0,Inbound
13649,1,Outbound
13652,0,Outbound
13652,1,Inbound
13653,0,Outbound
13653,1,Inbound
13654,0,Inbound
13654,1,Outbound
13655,0,Inbound
13655,1,Outbound
13709,0,Inbound
13709,1,Outbound
13710,0,Outbound
13710,1,Inbound
13396,0,Outbound
13396,1,Inbound
13397,0,Inbound
13397,1,Outbound
13398,0,Outbound
13398,1,Inbound
13399,0,Inbound
13399,1,Outbound
13400,0,Inbound
13400,1,Outbound
13401,0,Inbound
13401,1,Outbound
13650,0,Inbound
13650,1,Outbound
13651,0,Outbound
13651,1,Inbound
13402,0,Outbound
13402,1,Inbound
13403,0,Inbound
13403,1,Outbound
13406,0,Outbound
13406,1,Inbound
13407,0,Inbound
13407,1,Outbound
13408,0,Outbound
13408,1,Inbound
13409,0,Outbound
13409,1,Inbound
13410,0,Outbound
13410,1,Inbound
13411,0,Inbound
13411,1,Outbound
13428,0,Outbound
13428,1,Inbound
13429,0,Inbound
13429,1,Outbound
13430,0,Inbound
13430,1,Outbound
13412,0,Outbound
13412,1,Inbound
13413,0,Outbound
13413,1,Inbound
13414,0,Inbound
13414,1,Outbound
13415,0,Outbound
13415,1,Inbound
13416,0,Outbound
13416,1,Inbound
13431,0,Inbound
13431,1,Outbound
13417,0,Outbound
13417,1,Inbound
13418,0,Outbound
13418,1,Inbound
13432,0,Inbound
13432,1,Outbound
13419,0,Outbound
13419,1,Inbound
13420,0,Inbound
13420,1,Outbound
13421,0,Inbound
13421,1,Outbound
13422,0,Outbound
13422,1,Inbound
13423,0,Outbound
13423,1,Inbound
13424,0,Outbound
13424,1,Inbound
13425,0,Inbound
13425,1,Outbound
13426,0,Inbound
13426,1,Outbound
13427,0,Outbound
13427,1,Inbound
13433,0,Outbound
13433,1,Inbound
13434,0,Outbound
13434,1,Inbound
13435,0,Outbound
13435,1,Inbound
13436,0,Inbound
13436,1,Outbound
13437,0,Outbound
13437,1,Inbound
13438,0,Outbound
13438,1,Inbound
13439,0,Outbound
13439,1,Inbound
13440,0,Outbound
13440,1,Inbound
13441,0,Outbound
13441,1,Inbound
13442,0,Outbound
13442,1,Inbound
13693,0,Inbound
13693,1,Outbound
13443,0,Inbound
13443,1,Outbound
13444,0,Outbound
13444,1,Inbound
13445,0,Outbound
13445,1,Inbound
13446,0,Outbound
13446,1,Inbound
13656,0,Inbound
13448,0,Outbound
13448,1,Inbound
13449,0,Inbound
13449,1,Outbound
13450,0,Outbound
13450,1,Inbound
13451,0,Outbound
13451,1,Inbound
13706,0,Outbound
13706,1,Inbound
13707,0,Outbound
13707,1,Inbound
13702,0,Outbound
13702,1,Inbound
13708,0,Outbound
13708,1,Inbound
13453,0,Inbound
13453,1,Outbound
13454,0,Inbound
13454,1,Outbound
13460,0,Inbound
13460,1,Outbound
13462,0,Outbound
13462,1,Inbound
