stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"15829","15829","100 O'Shaughnessy Blvd",37.744481,-122.450678,,"","","","","",""
"14343","14343",101 Dakota St,37.75374,-122.39565,,"","","","","",""
"14122","14122",1095 CONNECTICUT ST,37.753902,-122.397341,,"","","","","",""
"13230","13230",10th Ave & Ortega St,37.752724,-122.466502,,"","","","","",""
"13232","13232",10th Ave & Pacheco St,37.750699,-122.466547,,"","","","","",""
"13231","13231",10th Ave & Pacheco St,37.75086,-122.466376,,"","","","","",""
"13233","13233",10th Ave & Quintara St,37.749325,-122.466261,,"","","","","",""
"13234","13234",10th Ave & Quintara St,37.749164,-122.466432,,"","","","","",""
"14828","14828",1100 Lake Merced Blvd,37.70913,-122.48498,,"","","","","",""
"14829","14829",1100 Lake Merced Blvd,37.709312,-122.485294,,"","","","","",""
"16651","16651",115 TELEGRAPH Hill Blvd,37.801766,-122.405677,,"","","","","",""
"16907","16907",117 Warren Dr,37.75368,-122.457977,,"","","","","",""
"13235","13235",11th St & Bryant St,37.769807,-122.4113,,"","","","","",""
"17408","17408",11th St/btw Market & Mission,37.775502,-122.418656,,"","","","","",""
"13239","13239",11th St & Harrison St,37.770557,-122.412492,,"","","","","",""
"13238","13238",11th St & Harrison St,37.770691,-122.412526,,"","","","","",""
"13241","13241",11th St & Howard St,37.77283,-122.41538,,"","","","","",""
"13240","13240",11th St & Howard St,37.77333,-122.41573,,"","","","","",""
"13244","13244",11th St & Market St,37.7755,-122.41852,,"","","","","",""
"13245","13245",11th St & Market St,37.775368,-122.418575,,"","","","","",""
"13243","13243",11th St & Mission St,37.774038,-122.416891,,"","","","","",""
"16009","16009",120 Portola Dr,37.74897,-122.44396,,"","","","","",""
"15513","15513",126 Miraloma Dr,37.737744,-122.461458,,"","","","","",""
"14342","14342",14 Dakota St,37.75376,-122.39576,,"","","","","",""
"13247","13247",14th Ave & Quintara St,37.74887,-122.47074,,"","","","","",""
"13248","13248",14th Ave & Santiago St,37.74503,-122.4703,,"","","","","",""
"13250","13250",14th Ave & Taraval St,37.74317,-122.47017,,"","","","","",""
"13249","13249",14th Ave & Taraval St,37.7434,-122.4703,,"","","","","",""
"13251","13251",14th Ave & Ulloa St,37.7416,-122.47004,,"","","","","",""
"13252","13252",14th Ave & Ulloa St,37.74153,-122.47018,,"","","","","",""
"13253","13253",14th St & Alpine Ter,37.767296,-122.437213,,"","","","","",""
"13257","13257",14th St & Castro St,37.76728,-122.43578,,"","","","","",""
"13256","13256",14th St & Castro St,37.76738,-122.43584,,"","","","","",""
"13254","13254",14th St & Church St,37.767768,-122.429088,,"","","","","",""
"13255","13255",14th St & Church St,37.76767,-122.42913,,"","","","","",""
"13259","13259",14th St & Noe St,37.7674,-122.43356,,"","","","","",""
"13258","13258",14th St & Noe St,37.76751,-122.43327,,"","","","","",""
"13261","13261",14th St & Sanchez St,37.767536,-122.431277,,"","","","","",""
"13260","13260",14th St & SANCHEZ ST,37.76767,-122.431105,,"","","","","",""
"15835","15835",150 Otis St,37.77073,-122.42031,,"","","","","",""
"13262","13262",15th Ave & Noriega St,37.75411,-122.47217,,"","","","","",""
"13263","13263",15th Ave & Ortega St,37.75268,-122.47206,,"","","","","",""
"13264","13264",15th Ave & Pacheco St,37.75081,-122.47196,,"","","","","",""
"13265","13265",15th Ave & Quintara St,37.74891,-122.47183,,"","","","","",""
"13267","13267",15th Ave & Taraval St,37.743069,-122.471405,,"","","","","",""
"13266","13266",15th Ave & Taraval St,37.743124,-122.471297,,"","","","","",""
"13270","13270",15th Ave & West Portal Ave,37.736387,-122.470381,,"","","","","",""
