service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
73025,0,0,0,0,0,0,1,20180805,20190106
73026,1,1,1,1,1,0,0,20180806,20190111
73027,1,1,1,1,1,0,0,20180806,20190111
73028,0,1,0,1,0,0,0,20180806,20190111
73029,1,1,1,0,1,0,0,20180806,20190111
73030,0,0,0,0,0,1,0,20180811,20190112
73031,0,0,0,0,0,0,1,20180805,20190106
73032,1,1,1,1,1,0,0,20180806,20190111
73033,1,1,1,1,1,0,0,20180806,20190111
73034,0,0,1,0,0,0,0,20180806,20190111
73035,1,1,0,1,1,0,0,20180806,20190111
73036,0,0,0,1,0,0,0,20180806,20190111
73037,1,1,1,0,1,0,0,20180806,20190111
73038,0,0,1,1,0,0,0,20180806,20190111
73039,1,1,0,0,1,0,0,20180806,20190111
73040,1,0,1,1,1,0,0,20180806,20190111
73041,0,1,0,0,0,0,0,20180806,20190111
73042,0,0,0,0,0,1,0,20180811,20190112
73043,0,0,0,0,0,0,1,20180805,20190106
73044,1,1,1,1,1,0,0,20180806,20190111
73045,1,1,1,1,1,0,0,20180806,20190111
73235,1,1,1,1,1,0,0,20180806,20190111
73236,0,0,1,0,0,0,0,20180806,20190111
73237,1,1,0,1,1,0,0,20180806,20190111
73238,0,0,1,1,0,0,0,20180806,20190111
73239,0,0,0,1,0,0,0,20180806,20190111
73240,1,1,1,0,1,0,0,20180806,20190111
74002,1,1,0,0,1,0,0,20180806,20190111
74282,0,0,0,0,0,1,0,20180811,20190112
74283,1,1,1,1,1,0,0,20180806,20190111
