route_id,direction_id,direction
ECX-164,0,Inbound
ECX-164,1,Outbound
SCS-137,0,Inbound
SFO-164,0,Outbound
55-164,0,Inbound
55-164,1,Outbound
24-164,0,Outbound
24-164,1,Inbound
59-164,0,Outbound
59-164,1,Inbound
60-164,0,Inbound
60-164,1,Outbound
61-164,0,Inbound
61-164,1,Outbound
62-164,0,Inbound
62-164,1,Outbound
67-164,0,Inbound
67-164,1,Outbound
68-164,0,Inbound
68-164,1,Outbound
72-164,0,Outbound
72-164,1,Inbound
73-164,0,Outbound
73-164,1,Inbound
80-164,0,Inbound
79-164,0,Outbound
79-164,1,Inbound
81-164,0,Outbound
81-164,1,Inbound
82-164,0,Outbound
82-164,1,Inbound
83-164,0,Outbound
83-164,1,Inbound
85-164,0,Outbound
85-164,1,Inbound
87-164,0,Inbound
87-164,1,Outbound
88-164,0,Outbound
88-164,1,Inbound
95-164,0,Outbound
95-164,1,Inbound
110-164,0,Inbound
110-164,1,Outbound
112-164,0,Inbound
112-164,1,Outbound
118-164,0,Inbound
118-164,1,Outbound
120-164,0,Inbound
120-164,1,Outbound
121-164,0,Outbound
121-164,1,Inbound
122-164,0,Inbound
122-164,1,Outbound
130-164,0,Outbound
130-164,1,Inbound
140-164,0,Outbound
140-164,1,Inbound
141-164,0,Inbound
141-164,1,Outbound
250-164,0,Outbound
250-164,1,Inbound
251-164,0,Inbound
251-164,1,Outbound
256-164,0,Outbound
256-164,1,Inbound
260-164,0,Inbound
260-164,1,Outbound
270-164,0,Outbound
14-164,0,Inbound
16-164,0,Inbound
16-164,1,Outbound
54-164,0,Outbound
54-164,1,Inbound
56-164,0,Inbound
56-164,1,Outbound
57-164,0,Outbound
57-164,1,Inbound
58-164,0,Inbound
58-164,1,Outbound
84-164,0,Inbound
84-164,1,Outbound
274-164,0,Outbound
274-164,1,Inbound
275-164,0,Outbound
275-164,1,Inbound
17-162,0,Inbound
17-162,1,Outbound
18-162,0,Inbound
18-162,1,Outbound
19-164,0,Outbound
19-164,1,Inbound
25-164,0,Inbound
25-164,1,Outbound
28-164,0,Inbound
28-164,1,Outbound
29-164,0,Inbound
29-164,1,Outbound
35-164,0,Inbound
35-164,1,Outbound
37-164,0,Outbound
37-164,1,Inbound
38-164,0,Outbound
38-164,1,Inbound
39-164,0,Outbound
39-164,1,Inbound
46-164,0,Outbound
46-164,1,Inbound
49-164,0,Outbound
49-164,1,Inbound
53-164,0,Outbound
53-164,1,Inbound
276-164,0,Outbound
278-164,0,Outbound
278-164,1,Inbound
280-164,0,Outbound
280-164,1,Inbound
281-164,0,Inbound
281-164,1,Outbound
286-164,0,Outbound
286-164,1,Inbound
292-164,0,Outbound
292-164,1,Inbound
294-164,0,Outbound
294-164,1,Inbound
295-164,0,Inbound
295-164,1,Outbound
296-164,0,Outbound
296-164,1,Inbound
397-164,0,Outbound
397-164,1,Inbound
398-164,0,Outbound
398-164,1,Inbound
ECR-164,0,Outbound
ECR-164,1,Inbound
FLXP-162,0,Inbound
