route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
ECR Rapid,73044,4011002,Daly City BART,0,,ECX0028,4011002,,
ECR Rapid,73044,4011004,Daly City BART,0,,ECX0028,4011004,,
ECR Rapid,73044,4011006,Daly City BART,0,,ECX0028,4011006,,
ECR Rapid,73044,4011008,Daly City BART,0,,ECX0028,4011008,,
ECR Rapid,73044,4011010,Daly City BART,0,,ECX0028,4011010,,
ECR Rapid,73044,4011012,Daly City BART,0,,ECX0028,4011012,,
ECR Rapid,73044,4011014,Daly City BART,0,,ECX0028,4011014,,
ECR Rapid,73044,4011016,Daly City BART,0,,ECX0028,4011016,,
ECR Rapid,73043,4017002,Daly City BART,0,,ECX0028,4017002,,
ECR Rapid,74282,4016002,Daly City BART,0,,ECX0028,4016002,,
ECR Rapid,74282,4016004,Daly City BART,0,,ECX0028,4016004,,
ECR Rapid,73043,4017004,Daly City BART,0,,ECX0028,4017004,,
ECR Rapid,74282,4016006,Daly City BART,0,,ECX0028,4016006,,
ECR Rapid,73043,4017006,Daly City BART,0,,ECX0028,4017006,,
ECR Rapid,73043,4017008,Daly City BART,0,,ECX0028,4017008,,
ECR Rapid,74282,4016008,Daly City BART,0,,ECX0028,4016008,,
ECR Rapid,73043,4017010,Daly City BART,0,,ECX0028,4017010,,
ECR Rapid,74282,4016010,Daly City BART,0,,ECX0028,4016010,,
ECR Rapid,74282,4016012,Daly City BART,0,,ECX0028,4016012,,
ECR Rapid,73043,4017012,Daly City BART,0,,ECX0028,4017012,,
ECR Rapid,74282,4016014,Daly City BART,0,,ECX0028,4016014,,
ECR Rapid,73043,4017014,Daly City BART,0,,ECX0028,4017014,,
ECR Rapid,73043,4017016,Daly City BART,0,,ECX0028,4017016,,
ECR Rapid,74282,4016016,Daly City BART,0,,ECX0028,4016016,,
ECR Rapid,73043,4017018,Daly City BART,0,,ECX0028,4017018,,
ECR Rapid,74282,4016018,Daly City BART,0,,ECX0028,4016018,,
ECR Rapid,74282,4016020,Daly City BART,0,,ECX0028,4016020,,
ECR Rapid,73043,4017020,Daly City BART,0,,ECX0028,4017020,,
ECR Rapid,73043,4017022,Daly City BART,0,,ECX0028,4017022,,
ECR Rapid,74282,4016022,Daly City BART,0,,ECX0028,4016022,,
ECR Rapid,73044,4011018,Daly City BART,0,,ECX0028,4011018,,
ECR Rapid,73043,4017024,Daly City BART,0,,ECX0028,4017024,,
ECR Rapid,74282,4016024,Daly City BART,0,,ECX0028,4016024,,
ECR Rapid,73044,4011020,Daly City BART,0,,ECX0028,4011020,,
ECR Rapid,73043,4017026,Daly City BART,0,,ECX0028,4017026,,
ECR Rapid,74282,4016026,Daly City BART,0,,ECX0028,4016026,,
ECR Rapid,73044,4011022,Daly City BART,0,,ECX0028,4011022,,
ECR Rapid,73044,4011024,Daly City BART,0,,ECX0028,4011024,,
ECR Rapid,74282,4016028,Daly City BART,0,,ECX0028,4016028,,
ECR Rapid,73043,4017028,Daly City BART,0,,ECX0028,4017028,,
ECR Rapid,73044,4011026,Daly City BART,0,,ECX0028,4011026,,
ECR Rapid,74282,4016030,Daly City BART,0,,ECX0028,4016030,,
ECR Rapid,73043,4017030,Daly City BART,0,,ECX0028,4017030,,
ECR Rapid,73044,4011028,Daly City BART,0,,ECX0028,4011028,,
ECR Rapid,73044,4011030,Daly City BART,0,,ECX0028,4011030,,
ECR Rapid,73043,4017032,Daly City BART,0,,ECX0028,4017032,,
ECR Rapid,74282,4016032,Daly City BART,0,,ECX0028,4016032,,
ECR Rapid,73044,4011032,Daly City BART,0,,ECX0028,4011032,,
ECR Rapid,74282,4016034,Daly City BART,0,,ECX0028,4016034,,
ECR Rapid,73043,4017034,Daly City BART,0,,ECX0028,4017034,,
ECR Rapid,73044,4011034,Daly City BART,0,,ECX0028,4011034,,
ECR Rapid,74282,4016036,Daly City BART,0,,ECX0028,4016036,,
ECR Rapid,73043,4017036,Daly City BART,0,,ECX0028,4017036,,
ECR Rapid,73044,4011001,Redwood City,1,,ECX0022,4011001,,
ECR Rapid,73044,4011003,Redwood City,1,,ECX0022,4011003,,
ECR Rapid,73044,4011005,Redwood City,1,,ECX0022,4011005,,
ECR Rapid,73044,4011007,Redwood City,1,,ECX0022,4011007,,
ECR Rapid,73044,4011009,Redwood City,1,,ECX0022,4011009,,
ECR Rapid,73044,4011011,Redwood City,1,,ECX0022,4011011,,
ECR Rapid,73044,4011013,Redwood City,1,,ECX0022,4011013,,
ECR Rapid,73044,4011015,Redwood City,1,,ECX0022,4011015,,
ECR Rapid,73044,4011017,Redwood City,1,,ECX0022,4011017,,
ECR Rapid,73044,4011019,Redwood City,1,,ECX0022,4011019,,
ECR Rapid,74282,4016001,Redwood City,1,,ECX0022,4016001,,
ECR Rapid,73043,4017001,Redwood City,1,,ECX0022,4017001,,
ECR Rapid,74282,4016003,Redwood City,1,,ECX0022,4016003,,
ECR Rapid,73043,4017003,Redwood City,1,,ECX0022,4017003,,
ECR Rapid,74282,4016005,Redwood City,1,,ECX0022,4016005,,
ECR Rapid,73043,4017005,Redwood City,1,,ECX0022,4017005,,
ECR Rapid,74282,4016007,Redwood City,1,,ECX0022,4016007,,
ECR Rapid,73043,4017007,Redwood City,1,,ECX0022,4017007,,
ECR Rapid,74282,4016009,Redwood City,1,,ECX0022,4016009,,
ECR Rapid,73043,4017009,Redwood City,1,,ECX0022,4017009,,
ECR Rapid,74282,4016011,Redwood City,1,,ECX0022,4016011,,
ECR Rapid,73043,4017011,Redwood City,1,,ECX0022,4017011,,
ECR Rapid,74282,4016013,Redwood City,1,,ECX0022,4016013,,
ECR Rapid,73043,4017013,Redwood City,1,,ECX0022,4017013,,
ECR Rapid,74282,4016015,Redwood City,1,,ECX0022,4016015,,
ECR Rapid,73043,4017015,Redwood City,1,,ECX0022,4017015,,
ECR Rapid,74282,4016017,Redwood City,1,,ECX0022,4016017,,
ECR Rapid,73043,4017017,Redwood City,1,,ECX0022,4017017,,
ECR Rapid,74282,4016019,Redwood City,1,,ECX0022,4016019,,
ECR Rapid,73043,4017019,Redwood City,1,,ECX0022,4017019,,
ECR Rapid,74282,4016021,Redwood City,1,,ECX0022,4016021,,
ECR Rapid,73043,4017021,Redwood City,1,,ECX0022,4017021,,
ECR Rapid,74282,4016023,Redwood City,1,,ECX0022,4016023,,
ECR Rapid,73043,4017023,Redwood City,1,,ECX0022,4017023,,
ECR Rapid,74282,4016025,Redwood City,1,,ECX0022,4016025,,
ECR Rapid,73043,4017025,Redwood City,1,,ECX0022,4017025,,
