service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
73086,0,0,1,0,0,0,0,20180814,20190531
73087,1,1,1,1,1,0,0,20180814,20190531
73088,1,1,0,1,1,0,0,20180814,20190531
73089,0,0,0,0,0,1,1,20180609,20180902
73720,0,0,0,0,0,1,0,20180812,20181231
73721,1,1,1,1,1,0,0,20180812,20181231
73722,0,0,0,0,0,1,1,20180812,20181231
73838,0,0,0,0,0,1,0,20180812,20181231
74187,1,1,1,1,1,0,0,20180812,20181231
74188,0,0,0,0,0,0,0,20181123,20181231
74189,0,0,0,0,0,0,0,20181123,20181231
74190,0,0,0,0,0,0,0,20181123,20181231
