service_id,date,exception_type
73087,20181231,2
73087,20181225,2
73087,20181224,2
73087,20181123,2
73087,20181122,2
73087,20180903,2
73088,20181231,2
73088,20181225,2
73088,20181224,2
73088,20181123,2
73088,20181122,2
73088,20180903,2
74188,20181231,1
74188,20181123,1
73721,20181231,2
73721,20181225,2
73721,20181224,2
73721,20181123,2
73721,20181122,2
73721,20180903,2
74189,20181231,1
74189,20181123,1
74190,20181231,1
74190,20181123,1
74187,20181231,2
74187,20181225,2
74187,20181224,2
74187,20181123,2
74187,20181122,2
74187,20180903,2
