route_id,direction_id,direction
1029,0,East
1029,1,West
6033,0,North
6033,1,South
6034,0,Loop
6035,0,South
6035,1,North
6031,0,West
6031,1,East
6032,0,East
6032,1,West
6036,0,East
6036,1,West
1080,0,West
1080,1,East
1081,0,East
1081,1,West
1050,0,East
1050,1,West
1032,0,North
1032,1,South
1034,0,South
1034,1,North
1044,0,Loop
1046,0,Loop
1026,0,East
1026,1,West
1051,0,West
1051,1,East
1043,0,North
1043,1,South
1030,0,North
1030,1,South
1031,0,West
1031,1,East
1033,0,South
1033,1,North
1035,0,South
1035,1,North
1052,0,South
1052,1,North
1037,0,North
1037,1,South
1079,0,BLoop
1079,1,ALoop
1027,0,West
1027,1,East
3283,0,Loop
1040,0,Loop
1039,0,Loop
1049,0,East
1049,1,West
1041,0,Loop
1036,0,South
1036,1,North
1053,0,South
1053,1,North
3234,0,North
3234,1,South
1028,0,East
1047,0,Loop
1048,0,Loop
1042,0,Loop
1038,0,Loop
