fare_id,route_id,origin_id,destination_id,contains_id
2293,,58037,58037,
2293,,58035,58035,
2293,,58040,58040,
2293,,58036,58036,
2293,,58034,58034,
2293,,58038,58038,
2293,,58039,58039,
2293,,58033,58033,
2294,,58037,58035,
2294,,58035,58037,
2294,,58035,58034,
2294,,58040,58036,
2294,,58036,58040,
2294,,58036,58034,
2294,,58036,58033,
2294,,58034,58035,
2294,,58034,58036,
2294,,58034,58038,
2294,,58034,58033,
2294,,58038,58034,
2294,,58038,58039,
2294,,58039,58038,
2294,,58039,58033,
2294,,58033,58036,
2294,,58033,58034,
2294,,58033,58039,
2295,,58037,58034,
2295,,58035,58036,
2295,,58035,58038,
2295,,58035,58033,
2295,,58040,58034,
2295,,58036,58035,
2295,,58036,58038,
2295,,58034,58037,
2295,,58034,58040,
2295,,58034,58039,
2295,,58038,58035,
2295,,58038,58036,
2295,,58038,58033,
2295,,58039,58034,
2295,,58033,58035,
2295,,58033,58038,
2296,,58037,58036,
2296,,58037,58038,
2296,,58037,58033,
2296,,58035,58040,
2296,,58035,58039,
2296,,58040,58035,
2296,,58040,58038,
2296,,58040,58033,
2296,,58036,58037,
2296,,58036,58039,
2296,,58038,58037,
2296,,58038,58040,
2296,,58039,58035,
2296,,58039,58036,
2296,,58033,58037,
2296,,58033,58040,
2297,,58037,58040,
2297,,58037,58039,
2297,,58040,58037,
2297,,58040,58039,
2297,,58039,58037,
2297,,58039,58040,
