route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"30","SO",30,"Santa Rosa, Kenwood, Glen Ellen, Sonoma Valley","",3,"http://www.sctransit.com/maps-schedules/route-30/","007363","ffffff"
"54","SO",54,South County Connector,"",3,"http://sctransit.com/maps-schedules/route-44-route-48/","5cab35","000000"
"55","SO",55,Airport Business Park Shuttle,"",3,"http://sctransit.com/maps-schedules/route-55/","341718","ffffff"
"56","SO",56,North County Connector,"",3,"http://sctransit.com/maps-schedules/route-56/","4d5a40","ffffff"
"52","SO",52,West County Connector,"",3,"http://sctransit.com/maps-schedules/route-26-route-52/","d9bf4e","000000"
"53","SO",53,East County Connector,"",3,"http://sctransit.com/maps-schedules/route-40-route-53/","649dc8","000000"
"57","SO",57,"Kaiser, County Center, SRJC Shuttle","",3,"http://sctransit.com/maps-schedules/route-57/","2c7689","ffffff"
"29A","SO",29A,Santa Rosa - Sonoma Coast,"",3,"http://www.sctransit.com/maps-schedules/route-29a/","203c75","ffffff"
"29B","SO",29B,Guerneville - Sonoma Coast,"",3,"http://www.sctransit.com/maps-schedules/route-29b/","203c75","ffffff"
"34","SO",34,"Santa Rosa, Sonoma Valley","",3,"http://www.sctransit.com/maps-schedules/route-34/","ed1163","ffffff"
"42","SO",42,"Santa Rosa, Industry West Business Park","",3,"http://www.sctransit.com/maps-schedules/route-42/","ec008c","ffffff"
"46","SO",46,"Santa Rosa, Sonoma State University, Cotati Depot","",3,"http://www.sctransit.com/maps-schedules/route-46/","f3736c","ffffff"
"66","SO",66,Windsor Shuttle,"",3,"http://www.sctransit.com/maps-schedules/route-66/","febe10","000000"
"10T","SO",10T,"Cotati, Rohnert Park Tripper","",3,"http://www.sctransit.com/maps-schedules/route-10/","67686b","ffffff"
"20","SO",20,"Russian River Area, Forestville, Sebastopol, Santa Rosa","",3,"http://www.sctransit.com/maps-schedules/route-20/","8f6d5d","ffffff"
"30X","SO",30X,"Santa Rosa, Sonoma Valley","",3,"http://www.sctransit.com/maps-schedules/route-30/","007363","ffffff"
"32","SO",32,Sonoma Valley,"",3,"http://www.sctransit.com/maps-schedules/route-32/","771473","ffffff"
"38","SO",38,"Sonoma Valley, San Rafael","",3,"http://www.sctransit.com/maps-schedules/route-38/","7e6598","ffffff"
"40","SO",40,"Sonoma, Petaluma","",3,"http://sctransit.com/maps-schedules/route-40-route-53/","f26522","ffffff"
"44","SO",44,"Santa Rosa, Rohnert Park, SSU, Petaluma","",3,"http://www.sctransit.com/maps-schedules/route-44-route-48/","747500","ffffff"
"48","SO",48,"Santa Rosa, Rohnert Park, Cotati, Petaluma","",3,"http://www.sctransit.com/maps-schedules/route-44-route-48/","006fba","ffffff"
"48X","SO",48X,"Santa Rosa, Rohnert Park, Cotati, Petaluma","",3,"http://www.sctransit.com/maps-schedules/route-44-route-48/","006fba","ffffff"
"62","SO",62,"County Airport, Santa Rosa","",3,"http://www.sctransit.com/maps-schedules/route-62/","27004b","ffffff"
"67","SO",67,Healdsburg Shuttle,"",3,"http://sctransit.com/maps-schedules/route-67/","009848","ffffff"
"22","SO",22,"Sebastopol, Santa Rosa","",3,"http://www.sctransit.com/maps-schedules/route-22/","f79131","ffffff"
"68","SO",68,Cloverdale Shuttle,"",3,"http://www.sctransit.com/maps-schedules/route-68/","0d96d4","ffffff"
"14","SO",14,Northern Rohnert Park,"",3,"http://www.sctransit.com/maps-schedules/route-12-route-14/","aa0072","ffffff"
"12","SO",12,Northern Rohnert Park,"",3,"http://www.sctransit.com/maps-schedules/route-12-route-14/","24338a","ffffff"
"20X","SO",20X,"Russian River Area, Santa Rosa","",3,"http://www.sctransit.com/maps-schedules/route-20/","8f6d5d","ffffff"
"24","SO",24,Sebastopol Shuttle,"",3,"http://www.sctransit.com/maps-schedules/route-24/","da1f3d","ffffff"
"60","SO",60,"Cloverdale, Healdsburg, Windsor, Santa Rosa","",3,"http://www.sctransit.com/maps-schedules/route-60/","9e489b","ffffff"
"60X","SO",60X,"Cloverdale, Healdsburg, Windsor, Santa Rosa","",3,"http://www.sctransit.com/maps-schedules/route-60/","9e489b","ffffff"
"44X","SO",44X,"Santa Rosa, Rohnert Park, Petaluma","",3,"http://www.sctransit.com/maps-schedules/route-44-route-48/","747500","ffffff"
"26","SO",26,"Sebastopol, Cotati, Rohnert Park","",3,"http://sctransit.com/maps-schedules/route-26-route-52/","840715","ffffff"
"12T","SO",12T,Northern Rohnert Park Tripper,"",3,"http://www.sctransit.com/maps-schedules/route-12-route-14/","24338a","ffffff"
"14T","SO",14T,Northern Rohnert Park Tripper,"",3,"http://www.sctransit.com/maps-schedules/route-12-route-14/","aa0072","ffffff"
"28","SO",28,"Guerneville, Monte Rio, Occidental","",3,"http://www.sctransit.com/maps-schedules/route-28/","522e92","ffffff"
"10","SO",10,"Cotati, Rohnert Park, Sonoma State University","",3,"http://www.sctransit.com/maps-schedules/route-10/","67686b","ffffff"
