trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_312981_b_16341_tn_0","10:55:00","10:55:00","7715760","1","Sonoma (Los Guillicos)","0","0","0.00000000",1
"t_312981_b_16341_tn_0","10:56:00","10:56:00","7715770","2",,"0","0","283.50851682",1
"t_312981_b_16341_tn_0",,,7715780,3,,"0","0",,0
"t_312981_b_16341_tn_0",,,7715790,4,,"0","0",,0
"t_312981_b_16341_tn_0",,,7715900,5,,"0","0",,0
"t_312981_b_16341_tn_0",,,7716000,6,,"0","0",,0
"t_312981_b_16341_tn_0",,,7716100,7,,"0","0",,0
"t_312981_b_16341_tn_0","11:01:00","11:01:00","7716200","8",,"0","0","2295.76816818",1
"t_312981_b_16341_tn_0",,,7716300,9,,"0","0",,0
"t_312981_b_16341_tn_0",,,7716400,10,,"0","0",,0
"t_312981_b_16341_tn_0",,,7716500,11,,"0","0",,0
"t_312981_b_16341_tn_0",,,7716600,12,,"0","0",,0
"t_312981_b_16341_tn_0","11:09:00","11:12:00","7700100","13",,"0","0","4192.75313370",1
"t_312981_b_16341_tn_0",,,7723600,14,,"0","0",,0
"t_312981_b_16341_tn_0",,,7723610,15,,"0","0",,0
"t_312981_b_16341_tn_0","11:18:00","11:21:00","7723700","16",,"0","0","5579.49001162",1
"t_312981_b_16341_tn_0",,,7723800,17,,"0","0",,0
"t_312981_b_16341_tn_0","11:21:00","11:21:00","7723900","18",,"0","0","6837.88962577",1
"t_312981_b_16341_tn_0",,,7724000,19,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724100,20,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724200,21,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724300,22,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724400,23,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724500,24,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724600,25,,"0","0",,0
"t_312981_b_16341_tn_0",,,7724700,26,,"0","0",,0
"t_312981_b_16341_tn_0","11:28:00","11:28:00","7724800","27",,"0","0","11014.45013868",1
"t_312981_b_16341_tn_0",,,7724900,28,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725000,29,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725100,30,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725200,31,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725300,32,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725400,33,,"0","0",,0
"t_312981_b_16341_tn_0","11:34:00","11:34:00","7725500","34",,"0","0","16266.78230552",1
"t_312981_b_16341_tn_0",,,7725600,35,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725700,36,,"0","0",,0
"t_312981_b_16341_tn_0",,,7725800,37,,"0","0",,0
"t_312981_b_16341_tn_0","11:37:00","11:37:00","7725900","38",,"0","0","17714.12886924",1
"t_312981_b_16341_tn_0","11:41:00","11:41:00","7726000","39",,"0","0","18438.42092087",1
"t_312981_b_16341_tn_0",,,7726100,40,,"0","0",,0
"t_312981_b_16341_tn_0",,,7726200,41,,"0","0",,0
"t_312981_b_16341_tn_0",,,7726300,42,,"0","0",,0
"t_312981_b_16341_tn_0",,,7726410,43,,"0","0",,0
"t_312981_b_16341_tn_0","11:46:00","11:46:00","7726500","44",,"0","0","22640.61047767",1
"t_312981_b_16341_tn_0",,,7726600,45,,"0","0",,0
"t_312981_b_16341_tn_0",,,7726700,46,,"0","0",,0
"t_312981_b_16341_tn_0",,,7726800,47,,"0","0",,0
"t_312981_b_16341_tn_0",,,7726900,48,,"0","0",,0
"t_312981_b_16341_tn_0",,,7727000,49,,"0","0",,0
"t_312981_b_16341_tn_0","11:54:00","11:54:00","7727100","50",,"0","0","31062.97484761",1
"t_312981_b_16341_tn_0",,,7727200,51,,"0","0",,0
"t_312981_b_16341_tn_0","11:58:00","11:58:00","7727300","52",,"0","0","32831.78659972",1
"t_312981_b_16341_tn_0",,,7727400,53,,"0","0",,0
"t_312981_b_16341_tn_0",,,7727500,54,,"0","0",,0
"t_312981_b_16341_tn_0",,,7727600,55,,"0","0",,0
"t_312981_b_16341_tn_0","12:03:00","12:03:00","7727700","56",,"0","0","36240.54780645",1
"t_312981_b_16341_tn_0",,,7727800,57,,"0","0",,0
"t_312981_b_16341_tn_0",,,7727900,58,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728000,59,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728100,60,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728200,61,,"0","0",,0
"t_312981_b_16341_tn_0","12:09:00","12:09:00","7728300","62",,"0","0","39035.54943257",1
"t_312981_b_16341_tn_0",,,7728400,63,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728600,64,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728700,65,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728800,66,,"0","0",,0
"t_312981_b_16341_tn_0",,,7728900,67,,"0","0",,0
