stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"7730520","7730520",2nd St W & Andrieux (Ac Son Medical Ctr),38.28869445,-122.461909,"58039","","","0","","America/Los_Angeles","0"
"7730230","7730230",2nd St W & Andrieux (Sonoma Medical Ctr),38.28804794,-122.4618134,"58039","","","0","","America/Los_Angeles","0"
"7730220","7730220",2nd St W & Bettencourt St,38.28691122,-122.4619977,"58039","","","0","","America/Los_Angeles","0"
"7730530","7730530",2nd St West & Bettencourt St,38.28674937,-122.4621864,"58039","","","0","","America/Los_Angeles","0"
"7730510","7730510",2nd St West & Hwy 12,38.29090472,-122.4615479,"58039","","","0","","America/Los_Angeles","0"
"7730240","7730240",2nd St W & Perkins St,38.28990258,-122.4615223,"58039","","","0","","America/Los_Angeles","0"
"7737100","7737100",3rd St & D St,38.4407383,-122.7111752,"58034","","","0","","America/Los_Angeles","0"
"7787000","7787000",3rd St West & Perkins St,38.28909652,-122.4639501,"58039","","","0","","America/Los_Angeles","0"
"7784100","7784100",3rd St West & Perkins St,38.28910403,-122.4640984,"58039","","","0","","America/Los_Angeles","0"
"7731100","7731100",5th St West & Andrieux St,38.2890621917,-122.468542616,"58039","","","0","","America/Los_Angeles","0"
"7729900","7729900",5th St W & W Napa,38.29227353,-122.4682875,"58039","","","0","","America/Los_Angeles","0"
"7731200","7731200",5th St W & W Napa,38.29150198,-122.4681456,"58039","","","0","","America/Los_Angeles","0"
"7725900","7725900",Ac Oakmont Golf Course,38.43266568,-122.5943358,"58038","","","0","","America/Los_Angeles","0"
"7755100","7755100",Ac Petaluma Estates MHP,38.26455448,-122.6528389,"58033","","","0","","America/Los_Angeles","0"
"7793600","7793600",Across from Rite Aid,38.6159256731,-122.8729721015,"58035","","","0","","America/Los_Angeles","0"
"7700700","7700700",Ac Santa Rosa Junior College,38.45503268,-122.7172169,"58034","","","0","","America/Los_Angeles","0"
"7701010","7701010",Administration Dr & Paulin,38.46425226,-122.7220606,"58034","","","0","","America/Los_Angeles","0"
"7715790","7715790",Administration Dr & Paulin,38.464191,-122.721779,"58034","","","0","","America/Los_Angeles","0"
"7701020","7701020",Administration Dr & Ventura,38.46416122,-122.7239988,"58034","","","0","","America/Los_Angeles","0"
"7715780","7715780",Administration Dr & Ventura Ave,38.464062,-122.723862,"58034","","","0","","America/Los_Angeles","0"
"7786400","7786400",Adobe Rd & Stage Gulch Rd,38.23621691,-122.5269582,"58039","","","0","","America/Los_Angeles","0"
"7784900","7784900",Adobe Rd & Stage Gulch Rd,38.23655957,-122.5271605,"58039","","","0","","America/Los_Angeles","0"
"7751200","7751200",Adrian Dr & Adrian Ct,38.33776349,-122.7053861,"58033","","","0","","America/Los_Angeles","0"
"7751300","7751300",Adrian Dr & Arlen Dr,38.33967798,-122.7057163,"58033","","","0","","America/Los_Angeles","0"
"7744400","7744400",Adrian Dr & Bonnie Ave,38.33212509,-122.7003778,"58033","","","0","","America/Los_Angeles","0"
"7751000","7751000",Adrian Dr & Bonnie Ave,38.33225387,-122.7005409,"58033","","","0","","America/Los_Angeles","0"
"7744300","7744300",Adrian Dr & Southwest Blvd,38.3354751848,-122.7051079273,"58033","","","0","","America/Los_Angeles","0"
"7751100","7751100",Adrian & Southwest,38.33582356,-122.7050337,"58033","","","0","","America/Los_Angeles","0"
"7727900","7727900",Agua Caliente Rd & Hwy 12,38.32550862,-122.4885654,"58039","","","0","","America/Los_Angeles","0"
"7732800","7732800",Agua Caliente Rd & Hwy 12,38.3256509,-122.4886709,"58039","","","0","","America/Los_Angeles","0"
"7732900","7732900",Agua Caliente Rd & Lake St,38.32510088,-122.4897554,"58039","","","0","","America/Los_Angeles","0"
"7727800","7727800",Agua Caliente Rd & Lake St,38.32390851,-122.4919885,"58039","","","0","","America/Los_Angeles","0"
"7733000","7733000",Agua Caliente Rd & Las Flores Dr,38.32406564,-122.4920952,"58039","","","0","","America/Los_Angeles","0"
"7712900","7712900",Airport Blvd & Aviation Blvd,38.51123813,-122.781666,"58035","","","0","","America/Los_Angeles","0"
"7714400","7714400",Airport Blvd & Aviation Blvd,38.51096137,-122.7804182,"58035","","","0","","America/Los_Angeles","0"
"7713100","7713100",Airport Blvd & Brickway Blvd,38.51119173,-122.7935235,"58035","","","0","","America/Los_Angeles","0"
"7714000","7714000",Airport Blvd & Brickway Blvd,38.51096978,-122.7932966,"58035","","","0","","America/Los_Angeles","0"
"7713310","7713310",Airport Blvd & N Laughlin Rd,38.51091307,-122.801606,"58035","","","0","","America/Los_Angeles","0"
"7713200","7713200",Airport Blvd & N Laughlin Rd,38.51113418,-122.8006591,"58035","","","0","","America/Los_Angeles","0"
"7713210","7713210",Airport Blvd & Ordinance Rd,38.51108419,-122.8028587,"58035","","","0","","America/Los_Angeles","0"
"7714100","7714100",Airport Blvd & SMART Station,38.5110767269,-122.7846982931,"58035","","","0","","America/Los_Angeles","0"
"7794500","7794500",Alliance Medical Center,38.6267718659,-122.865088661,"58035","","","0","","America/Los_Angeles","0"
"7764700","7764700",Amarosa Academy,38.39713582,-122.7234076,"58034","","","0","","America/Los_Angeles","0"
"7790000","7790000",Arata Ln & Brooks Rd Embree Ln,38.5621307025,-122.8043053991,"58035","","","0","","America/Los_Angeles","0"
"7791100","7791100",Arata Ln & Old Redwood Hwy,38.561875076,-122.8211461029,"58035","","","0","","America/Los_Angeles","0"
"7789900","7789900",Arata Ln & Troon Ct,38.5621736935,-122.8021696414,"58035","","","0","","America/Los_Angeles","0"
"7797800","7797800",Arch View (Blind Beach),38.4406911136,-123.1264984029,"58040","","","0","","America/Los_Angeles","0"
"7751400","7751400",Arlen/Santa Alicia,38.33998342,-122.7098338,"58033","","","0","","America/Los_Angeles","0"
"7733600","7733600",Arnold Dr,38.3553199,-122.5251394,"58038","","","0","","America/Los_Angeles","0"
"7727200","7727200",Arnold Dr,38.35416289,-122.5244585,"58038","","","0","","America/Los_Angeles","0"
"7733800","7733800",Arnold Dr & Carquinez Ave,38.36383294,-122.5243097,"58038","","","0","","America/Los_Angeles","0"
"7727600","7727600",Arnold Dr & Madrone Rd,38.33870859,-122.5129367,"58038","","","0","","America/Los_Angeles","0"
"7733200","7733200",Arnold Dr & Madrone Rd,38.33942029,-122.5129368,"58038","","","0","","America/Los_Angeles","0"
"7733300","7733300",Arnold Dr & Sonoma Glen Circle,38.3420101,-122.5135722,"58038","","","0","","America/Los_Angeles","0"
"7727500","7727500",Arnold Dr & Sonoma Glen Circle,38.34198954,-122.5137598,"58038","","","0","","America/Los_Angeles","0"
"7733400","7733400",Arnold Dr & Traxler,38.3464424,-122.5143138,"58038","","","0","","America/Los_Angeles","0"
"7727400","7727400",Arnold Dr & Traxler Dr,38.34632999,-122.514483,"58038","","","0","","America/Los_Angeles","0"
"7727000","7727000",Arnold Dr & Warm Springs Rd,38.3638298,-122.5244788,"58038","","","0","","America/Los_Angeles","0"
"7706700","7706700",Asti,38.76157999,-122.9754915,"58037","","","0","","America/Los_Angeles","0"
"7708200","7708200",Asti,38.76139674,-122.9756806,"58037","","","0","","America/Los_Angeles","0"
"7707310","7707310",Asti Rd & Cloverdale Depot,38.79806417,-123.011823,"58037","","","0","","America/Los_Angeles","0"
"7708110","7708110",Asti Rd & Theresa Dr,38.76610079,-122.9919318,"58037","","","0","","America/Los_Angeles","0"
"7706710","7706710",Asti Rd & Theresa Dr,38.76610151,-122.9913956,"58037","","","0","","America/Los_Angeles","0"
"7708300","7708300",Asti Rd & Washington School Rd,38.75611211,-122.9712242,"58037","","","0","","America/Los_Angeles","0"
"7706600","7706600",Asti Rd & Washington School Rd,38.75638889,-122.9712799,"58037","","","0","","America/Los_Angeles","0"
"7714110","7714110",Aviation Blvd & Airport Blvd,38.5133057377,-122.7828538018,"58035","","","0","","America/Los_Angeles","0"
"7714130","7714130",Aviation Blvd & Brickway Blvd,38.5159725109,-122.7923439386,"58035","","","0","","America/Los_Angeles","0"
"7714120","7714120",Aviation Blvd & Concourse Blvd,38.5149072812,-122.7879766509,"58035","","","0","","America/Los_Angeles","0"
"7731700","7731700",Bay St/Verano Ave (ac El Verano PO),38.30051707,-122.4872693,"58039","","","0","","America/Los_Angeles","0"
"7718020","7718020",Beach/ Orchard,38.4848257622,-123.0107734621,"58040","","","0","","America/Los_Angeles","0"
"7765410","7765410",Bellevue Ave & Moorland Ave,38.4019364705,-122.7180281281,"58034","","","0","","America/Los_Angeles","0"
"7788500","7788500",Bell Rd & Conde Ln,38.5369476866,-122.8014473808,"58035","","","0","","America/Los_Angeles","0"
"7797200","7797200",Blair St & Clark Ave,38.7979634556,-123.0146394256,"58037","","","0","","America/Los_Angeles","0"
"7720730","7720730",Bodega Ave & N Main St,38.402084,-122.824493,"58036","","","0","","America/Los_Angeles","0"
"7720830","7720830",Bodega Ave & Pleasant Hill Ave,38.39827084,-122.8389857,"58036","","","0","","America/Los_Angeles","0"
