route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
30,74187,t_312981_b_16341_tn_0,Sonoma (No Los Guillicos),0,9,p_2766,,,
30,74187,t_313303_b_16341_tn_0,Sonoma (No Los Guillicos),0,29,p_2766,,,
30,74187,t_312982_b_16341_tn_0,Sonoma (No Los Guillicos),0,39,p_2766,,,
30,74187,t_312984_b_16341_tn_0,Sonoma (Begins Kaiser Hosp. / No Los Guillicos),0,15,p_2762,,,
30,74187,t_313033_b_16341_tn_0,Sonoma,0,28,p_2765,,,
30,74187,t_312983_b_16341_tn_0,Sonoma,0,4,p_2765,,,
30,74187,t_313235_b_16341_tn_0,Sonoma,0,27,p_2765,,,
30,73722,t_312951_b_16341_tn_0,Santa Rosa / Coddingtown (Weekend),1,804,p_2786,,,
30,74189,t_312951_b_none_tn_0,Santa Rosa / Coddingtown (Weekend),1,804,p_2786,,,
30,73722,t_313192_b_16341_tn_0,Santa Rosa / Coddingtown (Weekend),1,811,p_2786,,,
30,74189,t_313192_b_none_tn_0,Santa Rosa / Coddingtown (Weekend),1,811,p_2786,,,
30,73722,t_313147_b_16341_tn_0,Santa Rosa / Coddingtown (Weekend),1,804,p_2786,,,
30,74189,t_313147_b_none_tn_0,Santa Rosa / Coddingtown (Weekend),1,804,p_2786,,,
30,74187,t_313038_b_16341_tn_0,Santa Rosa (No Los Guillicos),1,9,p_2784,,,
30,74187,t_312941_b_16341_tn_0,Santa Rosa (No Los Guillicos),1,27,p_2784,,,
30,74187,t_313039_b_16341_tn_0,Santa Rosa (No Los Guillicos),1,29,p_2784,,,
30,74187,t_312986_b_16341_tn_0,Santa Rosa,1,4,p_2783,,,
30,74187,t_313041_b_16341_tn_0,Santa Rosa,1,9,p_2783,,,
30,74187,t_313035_b_16341_tn_0,Santa Rosa,1,15,p_2783,,,
30,74187,t_313037_b_16341_tn_0,Santa Rosa (No Los Guillicos or Oakmont),1,42,p_2787,,,
30,74187,t_313036_b_16341_tn_0,Santa Rosa (No Los Guillicos / Ends Kaiser),1,28,p_2785,,,
30,74187,t_313034_b_16341_tn_0,Sonoma (No Oakmont or Los Guillicos),0,42,p_2764,,,
30,74187,t_312987_b_16341_tn_0,Santa Rosa (No El Verano or Los Guillicos),1,3,p_2788,,,
30,74187,t_313280_b_16341_tn_0,Sonoma (No Oakmont or Los Guillicos),0,9,p_2724,,,
30,73722,t_312950_b_16341_tn_0,Sonoma (Weekend),0,804,p_2757,,,
30,74189,t_312950_b_none_tn_0,Sonoma (Weekend),0,804,p_2757,,,
30,73722,t_313109_b_16341_tn_0,Sonoma (Weekend),0,811,p_2757,,,
30,74189,t_313109_b_none_tn_0,Sonoma (Weekend),0,811,p_2757,,,
30,73722,t_313236_b_16341_tn_0,Sonoma (Weekend),0,804,p_2757,,,
30,74189,t_313236_b_none_tn_0,Sonoma (Weekend),0,804,p_2757,,,
30,73722,t_313146_b_16341_tn_0,Sonoma (Weekend),0,804,p_2757,,,
30,74189,t_313146_b_none_tn_0,Sonoma (Weekend),0,804,p_2757,,,
54,74187,t_313217_b_16341_tn_0,Coddingtown Mall,0,37,p_110917,,,
54,74187,t_312998_b_16341_tn_0,Coddingtown Mall,0,36,p_2812,,,
54,74187,t_313205_b_16341_tn_0,Rohnert Park/Petaluma SMART Station,1,19,p_2748,,,
54,74187,t_313287_b_16341_tn_0,Rohnert Park/Petaluma SMART Station,1,2,p_2748,,,
55,74187,t_313219_b_16341_tn_1,Airport SMART Station,0,8,p_1897,,,
55,74187,t_313219_b_16341_tn_2,Airport SMART Station,0,8,p_1897,,,
55,74187,t_313219_b_16341_tn_3,Airport SMART Station,0,8,p_1897,,,
55,74187,t_312942_b_16341_tn_1,Airport SMART Station,0,22,p_1897,,,
55,74187,t_312942_b_16341_tn_2,Airport SMART Station,0,22,p_1897,,,
56,74187,t_313226_b_16341_tn_0,Airport SMART Station,0,25,p_2741,,,
56,74187,t_313320_b_16341_tn_0,Airport SMART Station,0,26,p_2741,,,
56,74187,t_313321_b_16341_tn_0,Windsor/Healdsburg/Cloverdale Depot,1,25,p_1898,,,
56,74187,t_313314_b_16341_tn_0,Windsor/Healdsburg/Cloverdale Depot,1,26,p_1898,,,
52,74187,t_313210_b_16341_tn_0,Sebastopol Transit Hub,0,27,p_8969,,,
52,74187,t_313211_b_16341_tn_0,Sebastopol Transit Hub,0,29,p_8969,,,
52,74187,t_313302_b_16341_tn_0,Sebastopol Transit Hub,0,22,p_8969,,,
52,74187,t_365865_b_16341_tn_0,Sebastopol Transit Hub,0,32,p_8969,tripper,,
52,74187,t_313315_b_16341_tn_0,Sebastopol Transit Hub,0,20,p_8969,,,
52,74187,t_313212_b_16341_tn_0,Sebastopol Transit Hub,0,32,p_8969,,,
52,74187,t_313206_b_16341_tn_0,Cotati Depot SMART Station / SSU,1,14,p_2803,,,
52,74187,t_313207_b_16341_tn_0,Cotati Depot SMART Station / SSU,1,27,p_2803,,,
52,74187,t_365864_b_16341_tn_0,Cotati Depot SMART Station / SSU,1,7,p_2803,tripper,,
52,74187,t_313208_b_16341_tn_0,Cotati Depot SMART Station / SSU,1,29,p_2803,,,
52,74187,t_313209_b_16341_tn_0,Cotati Depot SMART Station / SSU,1,32,p_2803,,,
53,74187,t_313216_b_16341_tn_0,Sonoma Plaza,0,15,p_2820,,,
53,74187,t_313225_b_16341_tn_0,Sonoma Plaza,0,1,p_2820,,,
53,74187,t_313227_b_16341_tn_0,Sonoma Plaza,0,1,p_2820,,,
53,74187,t_313215_b_16341_tn_0,Petaluma SMART Station,1,15,p_2789,,,
53,74187,t_313223_b_16341_tn_0,Petaluma SMART Station,1,3,p_2789,,,
53,74187,t_313224_b_16341_tn_0,Petaluma SMART Station,1,1,p_2789,,,
57,74187,t_313228_b_16341_tn_0,County Administration Center,0,208,p_8979,,,
57,74187,t_313229_b_16341_tn_0,County Administration Center / SRJC,0,208,p_1899,,,
57,74187,t_313317_b_16341_tn_0,North Santa Rosa SMART Station,1,27,p_8981,,,
57,74187,t_313316_b_16341_tn_0,North Santa Rosa SMART Station,1,27,p_2734,,,
29A,73089,t_11947_b_2528_tn_0,Bodega Bay / Tides,0,813,p_2759,,,
29A,73089,t_11996_b_2528_tn_0,Santa Rosa / Coddingtown,1,813,p_2850,,,
29A,73089,t_12014_b_2528_tn_0,Santa Rosa / Coddingtown,1,814,p_2851,,,
29A,73089,t_11857_b_2528_tn_0,Bodega Bay / Tides,0,813,p_2725,,,
29A,73089,t_11903_b_2528_tn_0,Doran Beach,0,813,p_2758,,,
29B,73089,t_11956_b_2528_tn_0,Guerneville,0,814,p_2852,,,
29B,73089,t_46006_b_2528_tn_0,Guerneville,0,814,p_2852,,,
29B,73089,t_11915_b_2528_tn_0,Guerneville,0,813,p_2852,,,
29B,73089,t_12097_b_2528_tn_0,Doran Beach,1,814,p_2827,,,
29B,73089,t_12098_b_2528_tn_0,Doran Beach,1,814,p_2827,,,
34,74187,t_313044_b_16341_tn_0,Sonoma Valley,0,22,p_2723,,,
34,74187,t_312992_b_16341_tn_0,Santa Rosa Transit Mall,1,5,p_2778,,,
42,74187,t_313298_b_16341_tn_0,Santa Rosa Transit Mall,0,32,p_2826,,,
42,74187,t_313299_b_16341_tn_0,Santa Rosa Transit Mall,0,10,p_2826,,,
42,74187,t_312994_b_16341_tn_0,Santa Rosa Transit Mall,0,37,p_2826,,,
42,74187,t_313300_b_16341_tn_0,Santa Rosa Transit Mall,0,40,p_2826,,,
42,74187,t_313237_b_16341_tn_0,Santa Rosa Transit Mall,0,10,p_2826,,,
42,74187,t_313282_b_16341_tn_0,Industry West Park / Santa Rosa,1,30,p_2731,,,
42,74187,t_313128_b_16341_tn_0,Industry West Park / Santa Rosa,1,24,p_2731,,,
42,74187,t_313319_b_16341_tn_0,Industry West Park / Santa Rosa,1,17,p_2731,,,
42,74187,t_313068_b_16341_tn_0,Industry West Park / Santa Rosa,1,5,p_2731,,,
42,74187,t_313322_b_16341_tn_0,Santa Rosa Transit Mall (Via Amarosa Academy),0,43,p_2825,,,
42,74187,t_313323_b_16341_tn_0,Industry West Park / Santa Rosa (Via Amarosa),1,4,p_2730,,,
46,74187,t_312999_b_16341_tn_0,Sonoma State University,0,14,p_2727,,,
46,74187,t_313292_b_16341_tn_0,Sonoma State University,0,12,p_2727,,,
46,74187,t_313290_b_16341_tn_0,Sonoma State University,0,21,p_2727,,,
46,74187,t_313238_b_16341_tn_0,Sonoma State University,0,25,p_2727,,,
46,74187,t_313324_b_16341_tn_0,Santa Rosa Transit Mall,1,14,p_2824,,,
46,74187,t_313344_b_16341_tn_0,Santa Rosa Transit Mall,1,12,p_2824,,,
46,74187,t_313288_b_16341_tn_0,Santa Rosa Transit Mall,1,21,p_2824,,,
46,74187,t_313239_b_16341_tn_0,Santa Rosa Transit Mall,1,25,p_2824,,,
46,74187,t_313289_b_16341_tn_0,Santa Rosa Transit Mall,1,21,p_2824,,,
66,74187,t_313093_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,74187,t_313177_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,73838,t_313020_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313176_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,74190,t_313020_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74190,t_313196_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313174_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,73838,t_313196_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74190,t_313115_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,73838,t_313115_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313250_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,74190,t_313116_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,73838,t_313116_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313178_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,73838,t_313098_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74190,t_313098_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313095_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,73838,t_313113_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74190,t_313113_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313094_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,74190,t_313114_b_none_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,73838,t_313114_b_16341_tn_0,Windsor Shuttle,0,405,p_2849,,,
66,74187,t_313173_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,74187,t_313175_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
66,74187,t_313008_b_16341_tn_0,Windsor Shuttle,0,205,p_2849,,,
10T,73088,t_240761_b_6914_tn_0,Rohnert Park / Cotati (Ends Tech. / L. Jones),0,32,p_2831,,,
10T,73087,t_240758_b_6914_tn_0,Rohnert Park / Cotati (Begins Rancho Cotate),0,22,p_2837,,,
10T,73086,t_240749_b_6914_tn_0,Rohnert Park / Cotati (Ends Tech. / L. Jones),0,14,p_2830,,,
10T,73087,t_240750_b_6914_tn_0,Rohnert Park / Cotati (Begins Tech. MS),0,42,p_2838,,,
10T,73087,t_240751_b_6914_tn_0,Rohnert Park / Cotati (Begins L. Jones),0,201,p_2843,,,
20,74187,t_313276_b_16341_tn_0,Santa Rosa,0,7,p_2772,,,
20,74187,t_312956_b_16341_tn_0,Santa Rosa,0,23,p_2772,,,
20,74187,t_312957_b_16341_tn_0,Santa Rosa,0,13,p_2772,,,
20,74187,t_313024_b_16341_tn_0,Santa Rosa,0,33,p_2772,,,
20,74187,t_313277_b_16341_tn_0,Santa Rosa,0,35,p_2772,,,
20,74187,t_313200_b_16341_tn_0,Santa Rosa,0,39,p_2772,,,
20,74187,t_313047_b_16341_tn_0,Santa Rosa,0,16,p_2772,,,
20,74187,t_312965_b_16341_tn_0,Santa Rosa,0,35,p_2772,,,
20,74187,t_313230_b_16341_tn_0,Santa Rosa,0,33,p_2772,,,
20,73722,t_313016_b_16341_tn_0,Monte Rio (Weekend),1,806,p_2760,,,
20,74189,t_313016_b_none_tn_0,Monte Rio (Weekend),1,806,p_2760,,,
20,73722,t_313231_b_16341_tn_0,Monte Rio (Weekend),1,806,p_2760,,,
20,74189,t_313231_b_none_tn_0,Monte Rio (Weekend),1,806,p_2760,,,
20,73722,t_312940_b_16341_tn_0,Monte Rio (Weekend),1,802,p_2760,,,
20,74189,t_312940_b_none_tn_0,Monte Rio (Weekend),1,802,p_2760,,,
20,73722,t_313143_b_16341_tn_0,Monte Rio (Weekend),1,808,p_2760,,,
20,74189,t_313143_b_none_tn_0,Monte Rio (Weekend),1,808,p_2760,,,
20,74187,t_312961_b_16341_tn_0,Monte Rio (Begins SRTM / No Forestville),1,10,p_2726,,,
20,74187,t_313025_b_16341_tn_0,Monte Rio,1,13,p_2767,,,
20,74187,t_312960_b_16341_tn_0,Monte Rio,1,33,p_2767,,,
