route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"15","SR",15,15 Stony Point Road,"",3,"http://santarosaivl.availtec.com/InfoPoint15","2DACCE","FFFFFF"
"20","SR",20,2b Sebastopol Road,"",3,"http://santarosaivl.availtec.com/InfoPoint20","662D91","FFFFFF"
"40","SR",40,4b Rincon Valley,"",3,"http://santarosaivl.availtec.com/InfoPoint40","39B54A","FFFFFF"
"8","SR",8,8 Bennett Valley,"",3,"http://santarosaivl.availtec.com/InfoPoint8","EF692F","FFFFFF"
"9","SR",9,9 West 9th Street,"",3,"http://santarosaivl.availtec.com/InfoPoint9","8094C4","FFFFFF"
"1","SR",1,1 Mendocino Ave,"",3,"http://santarosaivl.availtec.com/InfoPoint1","0074B3","FFFFFF"
"3","SR",3,3 Santa Rosa Ave,"",3,"http://santarosaivl.availtec.com/InfoPoint3","ED017F","FFFFFF"
"4","SR",4,4 Rincon Valley,"",3,"http://santarosaivl.availtec.com/InfoPoint4","39B54A","FFFFFF"
"5","SR",5,5 Petaluma Hill Rd,"",3,"http://santarosaivl.availtec.com/InfoPoint5","E9C01E","FFFFFF"
"6","SR",6,6 Fulton Road,"",3,"http://santarosaivl.availtec.com/InfoPoint6","B8093D","FFFFFF"
"18","SR",18,18 East Circulator,"",3,"http://santarosaivl.availtec.com/InfoPoint18","274867","FFFFFF"
"19","SR",19,19 North Circulator,"",3,"http://santarosaivl.availtec.com/InfoPoint19","5E0B31","FFFFFF"
"7","SR",7,7 Coddington - Montgomery Village,"",3,"http://santarosaivl.availtec.com/InfoPoint7","AB4A9C","FFFFFF"
"12","SR",12,12 Corby Ave - Roseland,"",3,"http://santarosaivl.availtec.com/InfoPoint12","0BA08E","FFFFFF"
"2","SR",2,2 Sebastopol Rd - Corporate Center,"",3,"http://santarosaivl.availtec.com/InfoPoint2","662D91","FFFFFF"
"10","SR",10,10 North City Connector,"",3,"http://santarosaivl.availtec.com/InfoPoint10","F99F38","FFFFFF"
