shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
10_shp,-122.71373,38.43869,253,0.00000000
10_shp,-122.71296,38.43902,254,251.17619700
10_shp,-122.71255,38.43842,255,499.24927500
10_shp,-122.71236,38.4372,256,946.88056200
10_shp,-122.71234,38.43698,257,1027.20666600
10_shp,-122.71232,38.43666,258,1143.88782300
10_shp,-122.7118,38.43682,259,1303.83227700
10_shp,-122.70985,38.43809,260,2029.03604900
10_shp,-122.70985,38.43809,261,2029.03604900
10_shp,-122.70941,38.43839,262,2195.83411800
10_shp,-122.70844,38.43881,263,2513.00151400
10_shp,-122.70661,38.43935,264,3072.86001900
10_shp,-122.70661,38.43935,265,3072.86001900
10_shp,-122.70301,38.44033,266,4164.04374900
10_shp,-122.70301,38.44033,267,4164.04374900
10_shp,-122.70082,38.44094,268,4829.50555600
10_shp,-122.70082,38.44094,269,4829.50555600
10_shp,-122.69825,38.44165,270,5609.72128400
10_shp,-122.69825,38.44165,271,5609.72128400
10_shp,-122.69477,38.4426,272,6664.82063200
10_shp,-122.69477,38.4426,273,6664.82063200
10_shp,-122.6918,38.44341,274,7565.19099100
10_shp,-122.6918,38.44341,275,7565.19099100
10_shp,-122.68634,38.44489,276,9219.31220300
10_shp,-122.68634,38.44489,277,9219.31220300
10_shp,-122.68608,38.44496,278,9298.02278800
10_shp,-122.68567,38.44507,279,9422.09789100
10_shp,-122.6859,38.44571,280,9664.30926700
10_shp,-122.68613,38.44635,281,9906.52051000
10_shp,-122.68618,38.44648,282,9955.98351200
10_shp,-122.68618,38.44648,283,9955.98351200
10_shp,-122.68637,38.44701,284,10156.52810200
10_shp,-122.68271,38.44801,285,11266.23107500
10_shp,-122.68239,38.44809,286,11362.39937500
10_shp,-122.68239,38.44809,287,11362.39937500
10_shp,-122.68088,38.44854,288,11824.87638800
10_shp,-122.67905,38.44957,289,12469.39282800
10_shp,-122.67905,38.44957,290,12469.39282800
10_shp,-122.67632,38.45131,291,13475.80025800
10_shp,-122.67512,38.45209,292,13921.67073700
10_shp,-122.67512,38.45209,293,13921.67073700
10_shp,-122.67328,38.45329,294,14606.26234500
10_shp,-122.67282,38.45371,295,14808.13067000
10_shp,-122.67237,38.45437,296,15080.86324900
10_shp,-122.67237,38.45437,297,15080.86324900
10_shp,-122.67216,38.45494,298,15296.98725900
10_shp,-122.67185,38.4563,299,15800.17866800
10_shp,-122.67129,38.4573,300,16198.11286600
10_shp,-122.6715,38.45739,301,16266.60204000
10_shp,-122.67309,38.45811,302,16792.02820000
10_shp,-122.67309,38.45811,303,16792.02820000
10_shp,-122.67434,38.45865,304,17200.44664900
10_shp,-122.6749,38.45905,305,17417.09676700
10_shp,-122.6749,38.45905,306,17417.09676700
10_shp,-122.6761,38.46047,307,18038.00246000
10_shp,-122.67628,38.46095,308,18220.25429600
10_shp,-122.67629,38.46143,309,18395.08912000
10_shp,-122.67591,38.46237,310,18754.30498000
10_shp,-122.67581,38.46313,311,19032.56695300
10_shp,-122.67581,38.46313,312,19032.56695300
10_shp,-122.67589,38.46458,313,19561.13982300
10_shp,-122.67608,38.46524,314,19807.58552000
10_shp,-122.67631,38.46569,315,19984.20842400
10_shp,-122.67631,38.46569,316,19984.20842400
10_shp,-122.67678,38.46638,317,20269.26638500
10_shp,-122.67676,38.46867,318,21103.28287400
10_shp,-122.67676,38.46867,319,21103.28287400
10_shp,-122.67675,38.47013,320,21635.00925500
10_shp,-122.67689,38.47186,321,22266.33340100
10_shp,-122.67689,38.47186,322,22266.33340100
10_shp,-122.67696,38.47202,323,22327.95419400
10_shp,-122.67682,38.47207,324,22371.97960400
10_shp,-122.6762,38.47245,325,22597.06251300
10_shp,-122.6755,38.47356,326,23048.26638200
10_shp,-122.6755,38.47356,327,23048.26638200
10_shp,-122.67486,38.47468,328,23495.42559300
10_shp,-122.67452,38.47502,329,23652.93066900
10_shp,-122.67307,38.47562,330,24122.05643500
10_shp,-122.67307,38.47562,331,24122.05643500
10_shp,-122.67047,38.47646,332,24926.82735500
10_shp,-122.66831,38.47691,333,25566.55983500
10_shp,-122.66831,38.47691,334,25566.55983500
10_shp,-122.66448,38.47821,335,26760.88303900
10_shp,-122.66448,38.47821,336,26760.88303900
10_shp,-122.66373,38.47845,337,26992.70404200
10_shp,-122.6628,38.4786,338,27264.49272100
10_shp,-122.6611,38.47857,339,27751.29382300
10_shp,-122.6611,38.47857,340,27751.29382300
10_shp,-122.66022,38.47867,341,28005.84018400
10_shp,-122.65965,38.47882,342,28177.92165400
10_shp,-122.65748,38.47959,343,28859.50847800
10_shp,-122.65689,38.47992,344,29066.80617800
10_shp,-122.6568,38.4798,345,29117.53861000
10_shp,-122.65536,38.47784,346,29941.84274500
10_shp,-122.65536,38.47784,347,29941.84274500
10_shp,-122.65505,38.47741,348,30121.84430800
10_shp,-122.65481,38.47671,349,30385.87506800
10_shp,-122.65442,38.47356,350,31538.49822600
10_shp,-122.65442,38.47356,351,31538.49822600
10_shp,-122.65393,38.46945,352,33041.88337000
10_shp,-122.65393,38.46945,353,33041.88337000
10_shp,-122.65355,38.46636,354,34172.48038200
10_shp,-122.65355,38.46636,355,34172.48038200
10_shp,-122.65336,38.46497,356,34681.62028900
10_shp,-122.65368,38.46498,357,34773.31992700
10_shp,-122.65836,38.46511,358,36114.20383200
10_shp,-122.65836,38.46511,359,36114.20383200
10_shp,-122.66004,38.46501,360,36596.62318200
10_shp,-122.66159,38.46469,361,37055.48960100
10_shp,-122.66159,38.46469,362,37055.48960100
10_shp,-122.66439,38.46403,363,37892.49120600
10_shp,-122.66439,38.46403,364,37892.49120600
10_shp,-122.66714,38.46335,365,38717.95212600
10_shp,-122.6681,38.46294,366,39030.77756200
10_shp,-122.66888,38.46248,367,39309.97293000
10_shp,-122.66888,38.46248,368,39309.97293000
10_shp,-122.67104,38.46095,369,40142.46411800
10_shp,-122.67104,38.46095,370,40142.46411800
10_shp,-122.67366,38.45911,371,41148.40751700
10_shp,-122.67455,38.45877,372,41431.75532900
10_shp,-122.67434,38.45865,373,41506.09393600
10_shp,-122.67374,38.45839,374,41702.27496000
10_shp,-122.67374,38.45839,375,41702.27496000
10_shp,-122.67129,38.4573,376,42508.38427600
10_shp,-122.67151,38.45699,377,42637.67171300
10_shp,-122.67192,38.45609,378,42985.83725500
10_shp,-122.67233,38.45444,379,43598.11405200
