route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"Y","ST",Y,Yellow Line,"Vallejo Transit Center - Walnut Creek BART",3,"http://www.soltransride.com/routes/solanoexpress/yellow","ffba00","000000"
"1","ST",1,Broadway,"Northwest Vallejo - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-1/","da1a32","ffffff"
"15","ST",15,Benicia Schools,"Benicia Middle Schoool - Benicia High School",3,"http://www.soltransride.com/routes/schooltrippers/limitedservice/","f57f29","ffffff"
"2","ST",2,Northeast,"Vallejo Corners - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-2/","9f248f","ffffff"
"20","ST",20,Columbus,"Downtown Benicia - Sereno Transit Center",3,"http://www.soltransride.com/routes/local/route-20/","da1a32","ffffff"
"3","ST",3,Glen Cove,"South Vallejo - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-3/","23ae49","ffffff"
"4","ST",4,Tuolumne,"Sereno Transit Center - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-4/","00accd","ffffff"
"82","ST",82,SF Express,"",3,"http://www.soltransride.com/routes/solanoexpress/route-80/","b87887","000000"
"5","ST",5,Fairgrounds,"Six Flags - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-5/","f57f29","ffffff"
"6","ST",6,Tennessee,"Hogan M.S. - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-6/","a16125","ffffff"
"17","ST",17,Benicia Schools,"Benicia Middle Schoool - Benicia High School",3,"http://www.soltransride.com/routes/schooltrippers/limitedservice/","265eac","ffffff"
"7","ST",7,Springs Rd,"Gateway Plaza - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-7/","265eac","ffffff"
"78","ST",78,I-680 SolanoExpress,"Vallejo Transit Center - Walnut Creek BART",3,"http://www.soltransride.com/routes/solanoexpress/route-78/","5f277e","ffffff"
"8","ST",8,Benicia Rd,"Hogan M.S. - Vallejo Transit Center",3,"http://www.soltransride.com/routes/local/route-8/","006a36","ffffff"
"80","ST",80,I-80 SolanoExpress,"Vallejo Transit Center - El Cerrito Del Norte BART",3,"http://www.soltransride.com/routes/solanoexpress/route-80/","83003f","ffffff"
"85","ST",85,Fairfield SolanoExpress,"Vallejo Transit Center - Solano Town Center",3,"http://www.soltransride.com/routes/solanoexpress/route-85/","00ae9a","ffffff"
"38","ST",38,Jesse Bethel,"",3,"http://www.soltransride.com/routes/schooltrippers/route-38","a0772b","ffffff"
