trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t6E2-sl17-p61F-rC5","5:27:00","5:27:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E2-sl17-p61F-rC5","5:31:00","5:31:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E2-sl17-p61F-rC5",,,826002,3,"Eastbound","0","0",,0
"t6E2-sl17-p61F-rC5",,,826004,4,"Eastbound","0","0",,0
"t6E2-sl17-p61F-rC5","5:43:00","5:43:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E2-sl17-p61F-rC5",,,826007,6,"Eastbound","0","0",,0
"t6E2-sl17-p61F-rC5","6:05:00","6:05:00","827003","7","Eastbound","0","0","30861.50662354",1
"t6E2-sl17-p61F-rC5","6:13:00","6:13:00","827002","8","Eastbound","0","0","34625.06636544",1
"t6E3-sl17-p61F-rC8","5:57:00","5:57:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E3-sl17-p61F-rC8","6:01:00","6:01:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E3-sl17-p61F-rC8",,,826002,3,"Eastbound","0","0",,0
"t6E3-sl17-p61F-rC8",,,826004,4,"Eastbound","0","0",,0
"t6E3-sl17-p61F-rC8","6:13:00","6:13:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E3-sl17-p61F-rC8",,,826007,6,"Eastbound","0","0",,0
"t6E3-sl17-p61F-rC8","6:35:00","6:35:00","827003","7","Eastbound","0","0","30861.50662354",1
"t6E3-sl17-p61F-rC8","6:43:00","6:43:00","827002","8","Eastbound","0","0","34625.06636544",1
"t6E4-sl17-p61F-rC7","6:27:00","6:27:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E4-sl17-p61F-rC7","6:31:00","6:31:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E4-sl17-p61F-rC7",,,826002,3,"Eastbound","0","0",,0
"t6E4-sl17-p61F-rC7",,,826004,4,"Eastbound","0","0",,0
"t6E4-sl17-p61F-rC7","6:43:00","6:43:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E4-sl17-p61F-rC7",,,826007,6,"Eastbound","0","0",,0
"t6E4-sl17-p61F-rC7","7:05:00","7:05:00","827003","7","Eastbound","0","0","30861.50662354",1
"t6E4-sl17-p61F-rC7","7:13:00","7:13:00","827002","8","Eastbound","0","0","34625.06636544",1
"t6E5-sl17-p61F-rCA","6:57:00","6:57:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E5-sl17-p61F-rCA","7:01:00","7:01:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E5-sl17-p61F-rCA",,,826002,3,"Eastbound","0","0",,0
"t6E5-sl17-p61F-rCA",,,826004,4,"Eastbound","0","0",,0
"t6E5-sl17-p61F-rCA","7:13:00","7:13:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E5-sl17-p61F-rCA",,,826007,6,"Eastbound","0","0",,0
"t6E5-sl17-p61F-rCA","7:35:00","7:35:00","827003","7","Eastbound","0","0","30861.50662354",1
"t6E5-sl17-p61F-rCA","7:43:00","7:43:00","827002","8","Eastbound","0","0","34625.06636544",1
"t6E6-sl17-p61F-rC5","7:27:00","7:27:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E6-sl17-p61F-rC5","7:31:00","7:31:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E6-sl17-p61F-rC5",,,826002,3,"Eastbound","0","0",,0
"t6E6-sl17-p61F-rC5",,,826004,4,"Eastbound","0","0",,0
"t6E6-sl17-p61F-rC5","7:43:00","7:43:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E6-sl17-p61F-rC5",,,826007,6,"Eastbound","0","0",,0
"t6E6-sl17-p61F-rC5","8:05:00","8:05:00","827003","7","Eastbound","0","0","30861.50662354",1
"t6E6-sl17-p61F-rC5","8:13:00","8:13:00","827002","8","Eastbound","0","0","34625.06636544",1
"t6E7-sl17-p61F-rC8","7:57:00","7:57:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E7-sl17-p61F-rC8","8:01:00","8:01:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E7-sl17-p61F-rC8",,,826002,3,"Eastbound","0","0",,0
"t6E7-sl17-p61F-rC8",,,826004,4,"Eastbound","0","0",,0
"t6E7-sl17-p61F-rC8","8:13:00","8:13:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E7-sl17-p61F-rC8",,,826007,6,"Eastbound","0","0",,0
"t6E7-sl17-p61F-rC8","8:35:00","8:35:00","827003","7","Eastbound","0","0","30861.50662354",1
"t6E7-sl17-p61F-rC8","8:43:00","8:43:00","827002","8","Eastbound","0","0","34625.06636544",1
"t6E8-sl17-p622-rCA","9:04:00","9:04:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E8-sl17-p622-rCA","9:08:00","9:08:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E8-sl17-p622-rCA",,,826002,3,"Eastbound","0","0",,0
"t6E8-sl17-p622-rCA",,,826004,4,"Eastbound","0","0",,0
"t6E8-sl17-p622-rCA","9:20:00","9:20:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E8-sl17-p622-rCA",,,826007,6,"Eastbound","0","0",,0
"t6E8-sl17-p622-rCA","9:44:00","9:44:00","827002","7","Eastbound","0","0","33600.45574310",1
"t6E9-sl17-p622-rC8","10:04:00","10:04:00","821001","1","Eastbound","0","0","0.00000000",1
"t6E9-sl17-p622-rC8","10:08:00","10:08:00","821017","2","Eastbound","0","0","2655.64094298",1
"t6E9-sl17-p622-rC8",,,826002,3,"Eastbound","0","0",,0
"t6E9-sl17-p622-rC8",,,826004,4,"Eastbound","0","0",,0
"t6E9-sl17-p622-rC8","10:20:00","10:20:00","826005","5","Eastbound","0","0","11340.49031809",1
"t6E9-sl17-p622-rC8",,,826007,6,"Eastbound","0","0",,0
"t6E9-sl17-p622-rC8","10:44:00","10:44:00","827002","7","Eastbound","0","0","33600.45574310",1
"t6EA-sl17-p622-rCA","11:04:00","11:04:00","821001","1","Eastbound","0","0","0.00000000",1
"t6EA-sl17-p622-rCA","11:08:00","11:08:00","821017","2","Eastbound","0","0","2655.64094298",1
