route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Y,73007,t6E2-sl17-p61F-rC5,Eastbound,0,,p_178736,,,
Y,73007,t6E3-sl17-p61F-rC8,Eastbound,0,,p_178736,,,
Y,73007,t6E4-sl17-p61F-rC7,Eastbound,0,,p_178736,,,
Y,73007,t6E5-sl17-p61F-rCA,Eastbound,0,,p_178736,,,
Y,73007,t6E6-sl17-p61F-rC5,Eastbound,0,,p_178736,,,
Y,73007,t6E7-sl17-p61F-rC8,Eastbound,0,,p_178736,,,
Y,73007,t6E8-sl17-p622-rCA,Eastbound,0,,p_178734,,,
Y,73007,t6E9-sl17-p622-rC8,Eastbound,0,,p_178734,,,
Y,73007,t6EA-sl17-p622-rCA,Eastbound,0,,p_178734,,,
Y,73007,t6EB-sl17-p622-rC8,Eastbound,0,,p_178734,,,
Y,73007,t6EC-sl17-p61E-rCA,Eastbound,0,,p_178735,,,
Y,73007,t6ED-sl17-p61E-rEE,Eastbound,0,,p_178735,,,
Y,73007,t6EE-sl17-p61E-rF1,Eastbound,0,,p_178735,,,
Y,73007,t6EF-sl17-p61E-rEE,Eastbound,0,,p_178735,,,
Y,73007,t6F0-sl17-p61E-rF3,Eastbound,0,,p_178735,,,
Y,73007,t6F1-sl17-p61E-rF1,Eastbound,0,,p_178735,,,
Y,73007,t6F2-sl17-p61E-rEE,Eastbound,0,,p_178735,,,
Y,73007,t6F8-sl17-p61E-rF3,Eastbound,0,,p_178735,,,
Y,73007,t6F3-sl17-p620-rF6,Eastbound,0,,p_178737,,,
Y,73007,t6F4-sl17-p620-rF3,Eastbound,0,,p_178737,,,
Y,73007,t6F5-sl17-p620-rF1,Eastbound,0,,p_178737,,,
Y,73007,t6F6-sl17-p620-rF6,Eastbound,0,,p_178737,,,
Y,73007,t6F9-sl17-p620-rF6,Eastbound,0,,p_178737,,,
Y,73007,t6F7-sl17-p621-rEE,Eastbound,0,,p_178738,,,
