service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72877,0,0,0,0,0,1,0,20181221,20190106
72878,1,1,1,1,1,0,0,20181221,20190106
74262,0,0,0,0,0,1,0,20180608,20180815
74263,1,1,1,1,1,0,0,20180608,20180815
74264,0,0,0,0,0,1,0,20181117,20181125
74265,1,1,1,1,1,0,0,20181117,20181125
74266,0,0,1,0,0,0,0,20190107,20190215
74267,1,1,0,1,1,0,0,20190107,20190215
74268,0,0,1,0,0,0,0,20181126,20181220
74269,1,1,0,1,1,0,0,20181126,20181220
74270,0,0,1,0,0,0,0,20180816,20181116
74271,1,1,0,1,1,0,0,20180816,20181116
74272,0,0,0,0,0,1,0,20180608,20190301
74273,1,1,1,1,1,0,0,20180608,20190301
74274,0,0,0,0,0,0,0,20181112,20190218
