trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_297067_b_16110_tn_1","6:00:00","6:00:00","001","1",,"0","0","0.00000000",1
"t_297067_b_16110_tn_1","6:03:00","6:03:00","100","2",,"0","0","889.85313539",1
"t_297067_b_16110_tn_1",,,101,3,,"0","0",,0
"t_297067_b_16110_tn_1",,,102,4,,"0","0",,0
"t_297067_b_16110_tn_1",,,103,5,,"0","0",,0
"t_297067_b_16110_tn_1",,,104,6,,"0","0",,0
"t_297067_b_16110_tn_1","6:07:00","6:07:00","105","7",,"0","0","1981.64008723",1
"t_297067_b_16110_tn_1",,,106,8,,"0","0",,0
"t_297067_b_16110_tn_1",,,107,9,,"0","0",,0
"t_297067_b_16110_tn_1",,,108,10,,"0","0",,0
"t_297067_b_16110_tn_1","6:10:00","6:10:00","109","11",,"2","3","3030.99661837",1
"t_297067_b_16110_tn_1",,,110,12,,"2","3",,0
"t_297067_b_16110_tn_1",,,111,13,,"2","3",,0
"t_297067_b_16110_tn_1",,,112,14,,"2","3",,0
"t_297067_b_16110_tn_1",,,113,15,,"2","3",,0
"t_297067_b_16110_tn_1","6:26:00","6:26:00","114","16",,"2","3","4380.20997510",1
"t_297067_b_16110_tn_1",,,116,17,,"0","0",,0
"t_297067_b_16110_tn_1",,,117,18,,"0","0",,0
"t_297067_b_16110_tn_1",,,137,19,,"0","0",,0
"t_297067_b_16110_tn_1","6:30:00","6:30:00","403","20",,"0","0","7295.04742028",1
"t_297067_b_16110_tn_2","7:00:00","7:00:00","001","1",,"0","0","0.00000000",1
"t_297067_b_16110_tn_2","7:03:00","7:03:00","100","2",,"0","0","889.85313539",1
"t_297067_b_16110_tn_2",,,101,3,,"0","0",,0
"t_297067_b_16110_tn_2",,,102,4,,"0","0",,0
"t_297067_b_16110_tn_2",,,103,5,,"0","0",,0
"t_297067_b_16110_tn_2",,,104,6,,"0","0",,0
"t_297067_b_16110_tn_2","7:07:00","7:07:00","105","7",,"0","0","1981.64008723",1
"t_297067_b_16110_tn_2",,,106,8,,"0","0",,0
"t_297067_b_16110_tn_2",,,107,9,,"0","0",,0
"t_297067_b_16110_tn_2",,,108,10,,"0","0",,0
"t_297067_b_16110_tn_2","7:10:00","7:10:00","109","11",,"2","3","3030.99661837",1
"t_297067_b_16110_tn_2",,,110,12,,"2","3",,0
"t_297067_b_16110_tn_2",,,111,13,,"2","3",,0
"t_297067_b_16110_tn_2",,,112,14,,"2","3",,0
"t_297067_b_16110_tn_2",,,113,15,,"2","3",,0
"t_297067_b_16110_tn_2","7:26:00","7:26:00","114","16",,"2","3","4380.20997510",1
"t_297067_b_16110_tn_2",,,116,17,,"0","0",,0
"t_297067_b_16110_tn_2",,,117,18,,"0","0",,0
"t_297067_b_16110_tn_2",,,137,19,,"0","0",,0
"t_297067_b_16110_tn_2","7:30:00","7:30:00","403","20",,"0","0","7295.04742028",1
"t_297067_b_16110_tn_3","8:00:00","8:00:00","001","1",,"0","0","0.00000000",1
"t_297067_b_16110_tn_3","8:03:00","8:03:00","100","2",,"0","0","889.85313539",1
"t_297067_b_16110_tn_3",,,101,3,,"0","0",,0
"t_297067_b_16110_tn_3",,,102,4,,"0","0",,0
"t_297067_b_16110_tn_3",,,103,5,,"0","0",,0
"t_297067_b_16110_tn_3",,,104,6,,"0","0",,0
"t_297067_b_16110_tn_3","8:07:00","8:07:00","105","7",,"0","0","1981.64008723",1
"t_297067_b_16110_tn_3",,,106,8,,"0","0",,0
