trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t7AF-sl3-p3F8-r6B","6:50:00","6:50:00","891131","1",,"0","0","8.84632130",1
"t7AF-sl3-p3F8-r6B","6:51:05","6:51:05","89114","2",,"0","0","528.51829150",0
"t7AF-sl3-p3F8-r6B","6:52:00","6:52:00","89140","3",,"0","0","1004.36372700",1
"t7AF-sl3-p3F8-r6B","6:53:13","6:53:13","890921","4",,"0","0","1403.59932690",0
"t7AF-sl3-p3F8-r6B","6:53:43","6:53:43","89186","5",,"0","0","1673.43405640",0
"t7AF-sl3-p3F8-r6B","6:55:12","6:55:12","89187","6",,"0","0","2290.33278660",0
"t7AF-sl3-p3F8-r6B","6:56:07","6:56:07","89237","7",,"0","0","2719.58929920",0
"t7AF-sl3-p3F8-r6B","6:56:53","6:56:53","893177","8",,"0","0","2965.42008100",0
"t7AF-sl3-p3F8-r6B","6:57:55","6:57:55","89189","9",,"0","0","3428.05549170",0
"t7AF-sl3-p3F8-r6B","6:59:00","6:59:00","893185","10",,"0","0","3808.62938630",1
"t7AF-sl3-p3F8-r6B","6:59:48","6:59:48","89191","11",,"0","0","4198.90309260",0
"t7AF-sl3-p3F8-r6B","7:03:00","7:03:00","89001","12",,"0","0","5520.04839020",1
"t7AF-sl3-p3F8-r6B","7:05:11","7:05:11","89192","13",,"0","0","6232.81387170",0
"t7AF-sl3-p3F8-r6B","7:06:31","7:06:31","89193","14",,"0","0","6525.52416160",0
"t7AF-sl3-p3F8-r6B","7:08:00","7:08:00","89051","15",,"0","0","7094.70481980",1
"t7AF-sl3-p3F8-r6B","7:08:56","7:08:56","89194","16",,"0","0","7803.20392710",0
"t7AF-sl3-p3F8-r6B","7:12:06","7:12:06","89196","17",,"0","0","10746.39625840",0
"t7AF-sl3-p3F8-r6B","7:12:29","7:12:29","893200","18",,"0","0","11026.63025640",0
